,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,-0.3,2.811335563659668,2.662031950465552,[[0.93187189 0.82753425]],1.777911901473999,1.786439416724749,[[0.74047759 1.06073788]],39.500126681603646,"[18.274883174385092, 17.17817608641353]",104006890373912.08,"[28542610762290.812, 34258411816168.797]",0.0535865522401139,[[0.03300536 0.1401725 ]],0.0866424914346593,[[0.04989637 0.15059409]],-0.3,2.811335563659668,2.662031950465552,[[0.93187189 0.82753425]],1.777911901473999,1.786439416724749,[[0.74047759 1.06073788]],39.500126681603646,"[18.274883174385092, 17.17817608641353]",104006890373912.08,"[28542610762290.812, 34258411816168.797]",0.053586552240113945,[[0.03300536 0.1401725 ]],0.08664249143465931,[[0.04989637 0.15059409]]
1,-0.6,8.488299369812012,8.87417323434348,[[1.23825944 0.97803972]],6.160837650299072,6.195249508437247,[[1.37015821 1.33867915]],39.79167802646451,"[10.879707910068078, 13.689439023051058]",388693600071910.56,"[39919975620816.625, 51581219373518.81]",0.1977490544987331,[[0.09217547 0.18410758]],0.3204993720475029,[[0.13456539 0.22768652]],-0.6,8.488299369812012,8.87417323434348,[[1.23825944 0.97803972]],6.160837650299072,6.195249508437247,[[1.37015821 1.33867915]],39.79167802646451,"[10.879707910068078, 13.689439023051058]",388693600071910.56,"[39919975620816.625, 51581219373518.81]",0.19774905449873312,[[0.09217547 0.18410758]],0.3204993720475029,[[0.13456539 0.22768652]]
2,-0.9,9.474271774291992,9.88219509193098,[[1.70942602 1.43985441]],7.923590660095215,8.05913185617314,[[0.9899642  0.58825538]],29.795210350843995,"[6.503340613530067, 8.962483160278389]",480287753055682.9,"[34996630928382.5, 43813217789152.19]",0.3967208565163991,[[0.15971216 0.24189902]],0.5770365548198211,[[0.1962099  0.24736815]],-0.9,9.474271774291992,9.88219509193098,[[1.70942602 1.43985441]],7.923590660095215,8.05913185617314,[[0.9899642  0.58825538]],29.795210350843995,"[6.503340613530067, 8.962483160278389]",480287753055682.94,"[34996630928382.5, 43813217789152.19]",0.39672085651639916,[[0.15971216 0.24189902]],0.5770365548198211,[[0.1962099  0.24736815]]
3,-1.2,7.769418239593506,7.730063772779109,[[2.63305906 4.5017704 ]],7.903069972991943,7.984490450404857,[[1.64681035 3.19532852]],19.86561306884355,"[5.046744600981027, 6.08849995926305]",500452910649223.4,"[59865848923585.625, 247217762594874.2]",0.7727628387166868,[[0.31884235 0.94887429]],0.9084452950145984,[[0.28875136 0.7249708 ]],-1.2,7.769418239593506,7.7300637727791095,[[2.63305906 4.5017704 ]],7.903069972991943,7.984490450404857,[[1.64681035 3.19532852]],19.86561306884355,"[5.046744600981027, 6.08849995926305]",500452910649223.44,"[59865848923585.625, 247217762594874.2]",0.7727628387166868,[[0.31884235 0.94887429]],0.9084452950145985,[[0.28875136 0.7249708 ]]
4,-1.5,6.899759769439697,7.2257378745789245,[[1.14759043 0.95766381]],4.978403568267822,4.965658239164026,[[1.2591764  1.34848048]],40.14258262233868,"[12.578966968394774, 14.877415168224417]",306485203358127.5,"[37040828334666.56, 47028974560169.875]",0.153588072091757,[[0.07607166 0.17747879]],0.2496314976666711,[[0.11218286 0.21548703]],-1.5,6.899759769439697,7.2257378745789245,[[1.14759043 0.95766381]],4.978403568267822,4.965658239164026,[[1.2591764  1.34848048]],40.14258262233868,"[12.578966968394774, 14.877415168224417]",306485203358127.5,"[37040828334666.56, 47028974560169.875]",0.15358807209175707,[[0.07607166 0.17747879]],0.24963149766667114,[[0.11218286 0.21548703]]
5,-1.8,9.581127166748049,9.662256148485728,[[2.36042785 2.9896482 ]],9.072969436645508,9.18880022711818,[[1.23503468 1.65099882]],23.20963341718177,"[4.944359145150784, 5.718747575673884]",577870821468497.9,"[52551492718074.625, 125507756495864.5]",0.7079491002092987,[[0.25274982 0.51630022]],0.912141862062922,[[0.25850288 0.4494231 ]],-1.8,9.581127166748047,9.662256148485728,[[2.36042785 2.9896482 ]],9.072969436645508,9.188800227118179,[[1.23503468 1.65099882]],23.20963341718177,"[4.944359145150784, 5.718747575673884]",577870821468497.9,"[52551492718074.625, 125507756495864.5]",0.7079491002092987,[[0.25274982 0.51630022]],0.9121418620629219,[[0.25850288 0.4494231 ]]
6,-2.1,11.793353080749512,11.907583552593904,[[2.21436002 2.61483498]],10.760092735290527,10.846743519036467,[[1.06550097 1.29584413]],25.907025445176444,"[4.631010910193989, 5.353553004548623]",715001039275757.6,"[52941796102515.0, 106404438406615.0]",0.7387466058880742,[[0.23318475 0.40826475]],1.0076409583275996,[[0.25734125 0.3987442 ]],-2.1,11.793353080749512,11.907583552593904,[[2.21436002 2.61483498]],10.760092735290527,10.846743519036469,[[1.06550097 1.29584413]],25.907025445176444,"[4.631010910193989, 5.353553004548623]",715001039275757.6,"[52941796102515.0, 106404438406615.0]",0.7387466058880742,[[0.23318475 0.40826475]],1.0076409583275996,[[0.25734125 0.3987442 ]]
7,-2.4,11.518710136413574,11.69598631363245,[[1.24706727 1.01874101]],7.865490913391113,7.858359703371557,[[1.43111387 1.49279376]],45.69497563284892,"[10.097636484486507, 11.362062909239398]",540641926803568.9,"[48247327560149.19, 57971661527014.25]",0.2162982495528807,[[0.08361084 0.15186287]],0.3655572009159259,[[0.12829409 0.20883229]],-2.4,11.518710136413574,11.69598631363245,[[1.24706727 1.01874101]],7.865490913391113,7.8583597033715575,[[1.43111387 1.49279376]],45.694975632848916,"[10.097636484486507, 11.362062909239398]",540641926803568.9,"[48247327560149.19, 57971661527014.25]",0.21629824955288077,[[0.08361084 0.15186287]],0.3655572009159259,[[0.12829409 0.20883229]]
8,-2.7,12.44114589691162,12.86647588403904,[[1.50563532 1.10991556]],9.582893371582031,9.675004763125376,[[1.22700673 0.8281531 ]],36.51633182923403,"[7.048372533416316, 9.466032381309496]",628331387764626.1,"[40192084241767.125, 45275504970502.75]",0.3701413364379926,[[0.13741592 0.19633908]],0.5827499267016768,[[0.18873416 0.23728789]],-2.7,12.441145896911621,12.86647588403904,[[1.50563532 1.10991556]],9.582893371582031,9.675004763125377,[[1.22700673 0.8281531 ]],36.51633182923403,"[7.048372533416316, 9.466032381309496]",628331387764626.1,"[40192084241767.125, 45275504970502.75]",0.37014133643799263,[[0.13741592 0.19633908]],0.5827499267016768,[[0.18873416 0.23728789]]
9,-3.0,12.343557357788086,12.647147105486567,[[1.80412633 1.58719817]],10.33341121673584,10.447022771852392,[[0.79855476 0.55826176]],30.706954064587904,"[5.446550018458414, 6.469077908581447]",669896983804195.6,"[40279414230187.125, 48020136356308.375]",0.5267695330352544,[[0.16697015 0.24497193]],0.776023608361476,[[0.20600519 0.26347117]],-3.0,12.343557357788086,12.647147105486567,[[1.80412633 1.58719817]],10.33341121673584,10.447022771852392,[[0.79855476 0.55826176]],30.706954064587904,"[5.446550018458414, 6.469077908581447]",669896983804195.6,"[40279414230187.125, 48020136356308.375]",0.5267695330352544,[[0.16697015 0.24497193]],0.776023608361476,[[0.20600519 0.26347117]]
