,Unnamed: 0,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r_prediction.1,Tb7_empkep_bs_err_qtls.1,Tb6_empkep_bs_fix_r.1,Tb6_empkep_bs_fix_r_prediction.1,Tb6_empkep_bs_err_qtls.1,Texe_bs_empkep_fix_r.1,Texe_err_bs_empkep_fix_r.1,Ncol_bs_empkep_fix_r.1,Ncol_err_bs_empkep_fix_r.1,Tau_nu_b6.1,Tau_nu_errs_b6.1,Tau_nu_b7.1,Tau_nu_errs_b7.1,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0,-0.3,4.54207706451416,5.22018149597077,[[2.66546412 2.80779617]],4.509018421173096,4.785185280903904,[[1.19456592 1.46536979]],22.84276495445495,"[9.86554109125574, 16.565881408467312]",250268411453942.16,"[35491842031511.78, 95550456061740.1]",0.3141264740812331,[[0.20302773 0.62251962]],0.4011953060596189,[[0.22169898 0.38824729]],-0.3,4.54207706451416,5.22018149597077,[[2.66546412 2.80779617]],4.509018421173096,4.785185280903904,[[1.19456592 1.46536979]],22.84276495445495,"[9.86554109125574, 16.565881408467312]",250268411453942.16,"[35491842031511.78, 95550456061740.1]",0.3141264740812331,[[0.20302773 0.62251962]],0.4011953060596189,[[0.22169898 0.38824729]],-0.3,4.54207706451416,5.22018149597077,[[2.66546412 2.80779617]],4.509018421173096,4.785185280903904,[[1.19456592 1.46536979]],22.84276495445495,"[9.86554109125574, 16.565881408467312]",250268411453942.16,"[35491842031511.78, 95550456061740.1]",0.3141264740812331,[[0.20302773 0.62251962]],0.40119530605961895,[[0.22169898 0.38824729]]
1,1,-0.6,9.68992805480957,10.075024002067352,[[1.82052207 1.59744351]],8.239550590515137,8.391230882044374,[[0.95768601 0.58873902]],28.83938522860277,"[6.201474875358208, 8.77713676558956]",502824796362440.1,"[36974962852665.81, 45140987948120.625]",0.4378818302440015,[[0.17695049 0.25935669]],0.6279159454408146,[[0.21285257 0.25812356]],-0.6,9.68992805480957,10.075024002067352,[[1.82052207 1.59744351]],8.239550590515137,8.391230882044374,[[0.95768601 0.58873902]],28.83938522860277,"[6.201474875358208, 8.77713676558956]",502824796362440.1,"[36974962852665.81, 45140987948120.625]",0.4378818302440015,[[0.17695049 0.25935669]],0.6279159454408146,[[0.21285257 0.25812356]],-0.6,9.68992805480957,10.075024002067352,[[1.82052207 1.59744351]],8.239550590515137,8.391230882044374,[[0.95768601 0.58873902]],28.839385228602772,"[6.201474875358208, 8.77713676558956]",502824796362440.1,"[36974962852665.81, 45140987948120.625]",0.4378818302440015,[[0.17695049 0.25935669]],0.6279159454408146,[[0.21285257 0.25812356]]
2,2,-0.9,10.922607421875,11.408299732480549,[[1.56952949 1.14504452]],8.531359672546387,8.640327279811162,[[1.28593207 0.86099492]],35.06953346840403,"[7.6252659123765305, 10.807665262569962]",542098301632043.4,"[38849334349142.5, 47224032793270.06]",0.3418976818561411,[[0.14196097 0.21384199]],0.5305252505852672,[[0.19224035 0.24866842]],-0.9,10.922607421875,11.408299732480549,[[1.56952949 1.14504452]],8.531359672546387,8.640327279811162,[[1.28593207 0.86099492]],35.06953346840403,"[7.6252659123765305, 10.807665262569962]",542098301632043.4,"[38849334349142.5, 47224032793270.06]",0.3418976818561411,[[0.14196097 0.21384199]],0.5305252505852672,[[0.19224035 0.24866842]],-0.9,10.922607421875,11.408299732480547,[[1.56952949 1.14504452]],8.531359672546387,8.640327279811162,[[1.28593207 0.86099492]],35.06953346840403,"[7.6252659123765305, 10.807665262569962]",542098301632043.44,"[38849334349142.5, 47224032793270.06]",0.34189768185614117,[[0.14196097 0.21384199]],0.5305252505852672,[[0.19224035 0.24866842]]
3,3,-1.2,8.758785247802734,9.313974587978276,[[2.09205643 1.95278757]],6.083094596862793,6.025416700196471,[[1.92666072 2.4429421 ]],48.39062576916695,"[15.72071546759203, 23.734404501711865]",416536636700109.94,"[55988742163196.94, 102883122671736.56]",0.1506432403135573,[[0.08728016 0.2181337 ]],0.2586399210572085,[[0.13981887 0.29842055]],-1.2,8.758785247802734,9.313974587978276,[[2.09205643 1.95278757]],6.083094596862793,6.025416700196471,[[1.92666072 2.4429421 ]],48.39062576916695,"[15.72071546759203, 23.734404501711865]",416536636700109.94,"[55988742163196.94, 102883122671736.56]",0.1506432403135573,[[0.08728016 0.2181337 ]],0.2586399210572085,[[0.13981887 0.29842055]],-1.2,8.758785247802734,9.313974587978276,[[2.09205643 1.95278757]],6.083094596862793,6.0254167001964705,[[1.92666072 2.4429421 ]],48.390625769166945,"[15.72071546759203, 23.734404501711865]",416536636700109.94,"[55988742163196.94, 102883122671736.56]",0.1506432403135573,[[0.08728016 0.2181337 ]],0.25863992105720857,[[0.13981887 0.29842055]]
4,4,-1.5,6.750086784362793,7.231462851826177,[[2.07244419 1.82624903]],4.705970764160156,4.55002731157388,[[1.69889163 2.38485482]],50.54359596760774,"[18.789277872221817, 27.7707041265038]",316677886087921.94,"[52456259371501.59, 90130946608578.12]",0.1060219954777994,[[0.06614705 0.19671077]],0.1841145024231974,[[0.10826513 0.26803941]],-1.5,6.750086784362793,7.231462851826177,[[2.07244419 1.82624903]],4.705970764160156,4.55002731157388,[[1.69889163 2.38485482]],50.54359596760774,"[18.789277872221817, 27.7707041265038]",316677886087921.94,"[52456259371501.59, 90130946608578.12]",0.1060219954777994,[[0.06614705 0.19671077]],0.1841145024231974,[[0.10826513 0.26803941]],-1.5,6.750086784362793,7.231462851826177,[[2.07244419 1.82624903]],4.705970764160156,4.55002731157388,[[1.69889163 2.38485482]],50.54359596760774,"[18.789277872221817, 27.7707041265038]",316677886087921.94,"[52456259371501.59, 90130946608578.12]",0.10602199547779949,[[0.06614705 0.19671077]],0.18411450242319743,[[0.10826513 0.26803941]]
5,5,-1.8,6.699515342712402,7.366244770792868,[[1.63201254 1.61807692]],5.0923027992248535,5.043318941958848,[[1.74556408 1.89608943]],40.59251895408787,"[14.12158045643488, 26.155889734333364]",313365428283000.1,"[40876767974133.03, 80817478898805.81]",0.1540490942422564,[[0.09883574 0.23962374]],0.2512732735926311,[[0.14922784 0.29134339]],-1.8,6.699515342712402,7.366244770792868,[[1.63201254 1.61807692]],5.0923027992248535,5.043318941958848,[[1.74556408 1.89608943]],40.59251895408787,"[14.12158045643488, 26.155889734333364]",313365428283000.1,"[40876767974133.03, 80817478898805.81]",0.1540490942422564,[[0.09883574 0.23962374]],0.2512732735926311,[[0.14922784 0.29134339]],-1.8,6.699515342712402,7.366244770792868,[[1.63201254 1.61807692]],5.0923027992248535,5.043318941958848,[[1.74556408 1.89608943]],40.59251895408787,"[14.12158045643488, 26.155889734333364]",313365428283000.1,"[40876767974133.03, 80817478898805.81]",0.15404909424225643,[[0.09883574 0.23962374]],0.25127327359263113,[[0.14922784 0.29134339]]
6,6,-2.1,9.85396671295166,10.26212744444108,[[1.78234064 1.52118705]],8.318650245666504,8.450991923465098,[[0.93628294 0.59224141]],29.50052030427928,"[6.336755402570091, 8.347722520455985]",508628968257435.8,"[35845113432379.44, 45314401500994.0]",0.4269734770464736,[[0.16491488 0.25371195]],0.6183833607518513,[[0.20065302 0.25768308]],-2.1,9.85396671295166,10.26212744444108,[[1.78234064 1.52118705]],8.318650245666504,8.450991923465098,[[0.93628294 0.59224141]],29.50052030427928,"[6.336755402570091, 8.347722520455985]",508628968257435.8,"[35845113432379.44, 45314401500994.0]",0.4269734770464736,[[0.16491488 0.25371195]],0.6183833607518513,[[0.20065302 0.25768308]],-2.1,9.85396671295166,10.262127444441079,[[1.78234064 1.52118705]],8.318650245666504,8.450991923465098,[[0.93628294 0.59224141]],29.50052030427928,"[6.336755402570091, 8.347722520455985]",508628968257435.8,"[35845113432379.44, 45314401500994.0]",0.42697347704647365,[[0.16491488 0.25371195]],0.6183833607518513,[[0.20065302 0.25768308]]
7,7,-2.4,12.326227188110352,12.755506358460613,[[1.36001498 1.02115684]],9.123547554016112,9.16744998763336,[[1.51256805 1.21350979]],39.93594180077831,"[8.095452794301668, 12.204287870057875]",607353874760308.1,"[43774793164593.75, 59293262550109.75]",0.3070763831460203,[[0.1285613  0.18680547]],0.4982726934668751,[[0.18582781 0.24018238]],-2.4,12.326227188110352,12.755506358460613,[[1.36001498 1.02115684]],9.123547554016112,9.16744998763336,[[1.51256805 1.21350979]],39.93594180077831,"[8.095452794301668, 12.204287870057875]",607353874760308.1,"[43774793164593.75, 59293262550109.75]",0.3070763831460203,[[0.1285613  0.18680547]],0.4982726934668751,[[0.18582781 0.24018238]],-2.4,12.326227188110352,12.755506358460613,[[1.36001498 1.02115684]],9.123547554016113,9.167449987633361,[[1.51256805 1.21350979]],39.93594180077831,"[8.095452794301668, 12.204287870057875]",607353874760308.1,"[43774793164593.75, 59293262550109.75]",0.30707638314602037,[[0.1285613  0.18680547]],0.49827269346687514,[[0.18582781 0.24018238]]
8,8,-2.7,7.847309589385986,7.910413014619795,[[2.46009259 3.39376764]],7.590163230895996,7.724944899239387,[[1.2967618  1.87475313]],21.63024156317195,"[5.606958580217608, 6.943128945341982]",461069577614727.7,"[45228091773411.875, 136258523920427.31]",0.6282159335425597,[[0.26062799 0.61465823]],0.7778047352950634,[[0.25285791 0.47817857]],-2.7,7.847309589385986,7.910413014619795,[[2.46009259 3.39376764]],7.590163230895996,7.724944899239387,[[1.2967618  1.87475313]],21.63024156317195,"[5.606958580217608, 6.943128945341982]",461069577614727.7,"[45228091773411.875, 136258523920427.31]",0.6282159335425597,[[0.26062799 0.61465823]],0.7778047352950634,[[0.25285791 0.47817857]],-2.7,7.847309589385986,7.910413014619795,[[2.46009259 3.39376764]],7.590163230895996,7.724944899239387,[[1.2967618  1.87475313]],21.63024156317195,"[5.606958580217608, 6.943128945341982]",461069577614727.7,"[45228091773411.875, 136258523920427.31]",0.6282159335425597,[[0.26062799 0.61465823]],0.7778047352950634,[[0.25285791 0.47817857]]
9,9,-3.0,7.860769748687744,8.086085023699782,[[2.31984049 2.71946009]],7.40801191329956,7.575220270412724,[[1.07821247 1.13796856]],23.08209618602301,"[5.948623201509523, 7.823027250131776]",442556101789845.0,"[41409453767547.31, 89362813095234.81]",0.5467465213733215,[[0.23461571 0.4647437 ]],0.7023210433552511,[[0.24126726 0.37278261]],-3.0,7.860769748687744,8.086085023699782,[[2.31984049 2.71946009]],7.40801191329956,7.575220270412724,[[1.07821247 1.13796856]],23.08209618602301,"[5.948623201509523, 7.823027250131776]",442556101789845.0,"[41409453767547.31, 89362813095234.81]",0.5467465213733215,[[0.23461571 0.4647437 ]],0.7023210433552511,[[0.24126726 0.37278261]],-3.0,7.860769748687744,8.086085023699782,[[2.31984049 2.71946009]],7.4080119132995605,7.575220270412724,[[1.07821247 1.13796856]],23.08209618602301,"[5.948623201509523, 7.823027250131776]",442556101789845.0,"[41409453767547.31, 89362813095234.81]",0.5467465213733215,[[0.23461571 0.4647437 ]],0.7023210433552511,[[0.24126726 0.37278261]]
