,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,-0.3,2.811335563659668,2.741228114239485,[[1.18631414 1.28993453]],1.777911901473999,1.620962520267062,[[0.78852331 1.59233972]],57.30423489926168,"[29.100557843748067, 29.154519675450423]",118508801117622.72,"[36277586466437.39, 47921713178968.67]",0.0316870213758477,[[0.02136583 0.11854676]],0.0567162834227817,[[0.03677335 0.15657743]],-0.3,2.811335563659668,2.741228114239485,[[1.18631414 1.28993453]],1.777911901473999,1.6209625202670621,[[0.78852331 1.59233972]],57.30423489926168,"[29.100557843748067, 29.154519675450423]",118508801117622.73,"[36277586466437.39, 47921713178968.67]",0.0316870213758477,[[0.02136583 0.11854676]],0.05671628342278173,[[0.03677335 0.15657743]]
1,-0.6,8.488299369812012,9.074891215742134,[[1.71370083 1.73088976]],6.160837650299072,6.167548160075581,[[1.88862434 2.03381985]],42.50874412535374,"[12.661680292180506, 23.285394925439846]",399028180368580.8,"[46070444900447.125, 91837463319762.12]",0.1811111481091925,[[0.10768301 0.22320134]],0.2996752630589124,[[0.16434798 0.28884203]],-0.6,8.488299369812012,9.074891215742134,[[1.71370083 1.73088976]],6.160837650299072,6.167548160075581,[[1.88862434 2.03381985]],42.50874412535374,"[12.661680292180506, 23.285394925439846]",399028180368580.8,"[46070444900447.125, 91837463319762.12]",0.18111114810919257,[[0.10768301 0.22320134]],0.2996752630589124,[[0.16434798 0.28884203]]
2,-0.9,9.474271774291992,9.917187186262616,[[1.75872366 1.45240099]],7.923590660095215,8.05663631568126,[[1.01815661 0.60863847]],30.014515817674443,"[6.7772583679370015, 9.187049389698984]",480670904193976.1,"[35442373643917.44, 45292886846422.75]",0.3923239366601108,[[0.1599269  0.25086588]],0.5724333936471245,[[0.19760948 0.2568091 ]],-0.9,9.474271774291992,9.917187186262616,[[1.75872366 1.45240099]],7.923590660095215,8.05663631568126,[[1.01815661 0.60863847]],30.014515817674443,"[6.7772583679370015, 9.187049389698984]",480670904193976.1,"[35442373643917.44, 45292886846422.75]",0.3923239366601108,[[0.1599269  0.25086588]],0.5724333936471245,[[0.19760948 0.2568091 ]]
3,-1.2,7.8979339599609375,8.389391282269814,[[1.88833043 1.60639611]],6.835914611816406,7.016139547559703,[[1.08676476 0.67168861]],27.79564070027154,"[7.122396156428742, 10.91322043029949]",401580127464353.2,"[35812934505433.625, 47579505056681.25]",0.3710719773199721,[[0.17596983 0.2833194 ]],0.5233399789030783,[[0.2099803  0.26526368]],-1.2,7.8979339599609375,8.389391282269814,[[1.88833043 1.60639611]],6.835914611816406,7.016139547559703,[[1.08676476 0.67168861]],27.79564070027154,"[7.122396156428742, 10.91322043029949]",401580127464353.2,"[35812934505433.625, 47579505056681.25]",0.3710719773199721,[[0.17596983 0.2833194 ]],0.5233399789030783,[[0.2099803  0.26526368]]
4,-1.5,6.899759769439697,7.5172840999237875,[[1.97342    1.82108712]],4.978403568267822,4.916895508505855,[[1.79906263 2.24610898]],45.60867326093776,"[16.553804816388308, 27.305331815380953]",324016594705864.9,"[49656930596985.19, 90505216259354.0]",0.1300621495443888,[[0.0828038  0.22660368]],0.2196953838027633,[[0.13090142 0.29344102]],-1.5,6.899759769439697,7.5172840999237875,[[1.97342    1.82108712]],4.978403568267822,4.916895508505855,[[1.79906263 2.24610898]],45.60867326093776,"[16.553804816388308, 27.305331815380953]",324016594705864.9,"[49656930596985.19, 90505216259354.0]",0.13006214954438888,[[0.0828038  0.22660368]],0.21969538380276338,[[0.13090142 0.29344102]]
5,-1.8,9.581127166748049,9.668851487463776,[[2.44063374 3.13714474]],9.072969436645508,9.191913989683693,[[1.27446527 1.74236431]],23.224475051451684,"[5.125566113445689, 5.954098998805627]",578042249335227.9,"[52824904309027.81, 133550327026510.5]",0.707469012419837,[[0.258655   0.54703951]],0.911841567493804,[[0.26492627 0.47459476]],-1.8,9.581127166748047,9.668851487463776,[[2.44063374 3.13714474]],9.072969436645508,9.191913989683693,[[1.27446527 1.74236431]],23.224475051451684,"[5.125566113445689, 5.954098998805627]",578042249335227.9,"[52824904309027.81, 133550327026510.5]",0.707469012419837,[[0.258655   0.54703951]],0.911841567493804,[[0.26492627 0.47459476]]
6,-2.1,9.657830238342283,10.216788813400523,[[1.37715834 1.30979546]],7.087208271026611,7.061333699431894,[[1.74413653 1.66126349]],41.65666773779984,"[11.114271799496237, 18.056802680972147]",458997159581762.7,"[44372733203735.06, 72637255894792.94]",0.2157742008335961,[[0.11286478 0.20596683]],0.3548215124847758,[[0.16893468 0.26508337]],-2.1,9.657830238342285,10.216788813400525,[[1.37715834 1.30979546]],7.087208271026611,7.061333699431894,[[1.74413653 1.66126349]],41.65666773779984,"[11.114271799496237, 18.056802680972147]",458997159581762.7,"[44372733203735.06, 72637255894792.94]",0.2157742008335961,[[0.11286478 0.20596683]],0.35482151248477584,[[0.16893468 0.26508337]]
7,-2.4,11.518710136413574,11.946304010440707,[[2.01529983 1.79793033]],7.865490913391113,7.7739419031464,[[2.02399455 2.28863004]],49.78206677098335,"[12.801714980858115, 19.854474647009013]",558619412695193.2,"[58727747425806.19, 102810070948264.81]",0.1921342596027181,[[0.09841677 0.18924827]],0.3323500929258828,[[0.15773627 0.27075678]],-2.4,11.518710136413574,11.946304010440707,[[2.01529983 1.79793033]],7.865490913391113,7.7739419031464,[[2.02399455 2.28863004]],49.78206677098335,"[12.801714980858115, 19.854474647009013]",558619412695193.2,"[58727747425806.19, 102810070948264.81]",0.1921342596027181,[[0.09841677 0.18924827]],0.3323500929258828,[[0.15773627 0.27075678]]
8,-2.7,11.658109664916992,12.045202800480384,[[1.75257248 1.46375314]],9.64791774749756,9.76920376383717,[[0.89963183 0.54995518]],31.31335943866324,"[5.943595620192351, 7.23620988272625]",615345206116385.2,"[38640372402680.5, 44948701939128.5]",0.4685882871414353,[[0.15879326 0.23643249]],0.6959078649557151,[[0.19901963 0.25578103]],-2.7,11.658109664916992,12.045202800480384,[[1.75257248 1.46375314]],9.647917747497559,9.76920376383717,[[0.89963183 0.54995518]],31.31335943866324,"[5.943595620192351, 7.23620988272625]",615345206116385.2,"[38640372402680.5, 44948701939128.5]",0.4685882871414353,[[0.15879326 0.23643249]],0.6959078649557151,[[0.19901963 0.25578103]]
9,-3.0,12.343557357788086,12.612256774997205,[[1.79938579 1.68510932]],10.33341121673584,10.465036645200682,[[0.8143454  0.57172056]],30.45668795561421,"[5.349288308139883, 6.980299382232619]",671075570098037.9,"[39913919760971.5, 49435348602409.75]",0.5348109209273421,[[0.17839431 0.24709959]],0.7851768584319798,[[0.21915419 0.26478905]],-3.0,12.343557357788086,12.612256774997205,[[1.79938579 1.68510932]],10.33341121673584,10.465036645200682,[[0.8143454  0.57172056]],30.45668795561421,"[5.349288308139883, 6.980299382232619]",671075570098037.9,"[39913919760971.5, 49435348602409.75]",0.5348109209273421,[[0.17839431 0.24709959]],0.7851768584319798,[[0.21915419 0.26478905]]
