,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.970211505889893,3.597181183706504,[[0.95230551 0.96051699]],1.923558235168457,2.228457847311353,[[0.68943224 1.04342447]],49.88833934402135,"[15.026560910646324, 10.770708132174562]",149666535413085.1,"[32695723360493.438, 34008468535676.688]",0.0512825826981237,[[0.02306581 0.06572284]],0.08875674239787,[[0.03761537 0.09240568]],0.3,4.970211505889893,3.597181183706504,[[0.95230551 0.96051699]],1.923558235168457,2.228457847311353,[[0.68943224 1.04342447]],49.88833934402135,"[15.026560910646324, 10.770708132174562]",149666535413085.1,"[32695723360493.438, 34008468535676.688]",0.05128258269812372,[[0.02306581 0.06572284]],0.08875674239787007,[[0.03761537 0.09240568]]
1,0.6,8.867889404296875,9.167298223414932,[[1.16472797 0.97974782]],6.3262248039245605,6.311649362163631,[[1.35264402 1.38976161]],41.28762077821074,"[11.144189859812013, 13.223221875935508]",403586985478448.4,"[40288410751769.81, 51759788983419.81]",0.1926695177884311,[[0.08639363 0.17639659]],0.3159525851692654,[[0.12792312 0.22352792]],0.6,8.867889404296875,9.167298223414932,[[1.16472797 0.97974782]],6.3262248039245605,6.311649362163631,[[1.35264402 1.38976161]],41.28762077821074,"[11.144189859812013, 13.223221875935508]",403586985478448.4,"[40288410751769.81, 51759788983419.81]",0.1926695177884311,[[0.08639363 0.17639659]],0.3159525851692654,[[0.12792312 0.22352792]]
2,0.9,7.502863883972168,7.688264076956847,[[1.19074544 0.98049994]],5.204370498657227,5.175029328386785,[[1.24139015 1.42718514]],42.5194222354167,"[12.645081997178387, 13.732589325947409]",329775290259258.8,"[38967974384756.625, 48596465396239.81]",0.1496133325984923,[[0.0692165  0.16157794]],0.2475763222207145,[[0.1042827  0.20557094]],0.9,7.502863883972168,7.688264076956847,[[1.19074544 0.98049994]],5.204370498657227,5.175029328386785,[[1.24139015 1.42718514]],42.5194222354167,"[12.645081997178387, 13.732589325947409]",329775290259258.8,"[38967974384756.625, 48596465396239.81]",0.14961333259849238,[[0.0692165  0.16157794]],0.24757632222071457,[[0.1042827  0.20557094]]
3,1.2,4.182346343994141,4.917263797467048,[[2.04163173 1.23262534]],3.877713441848755,4.054142356533105,[[1.22508806 0.79048236]],26.942530646985716,"[11.242661143245318, 18.049744006240292]",211985326961283.25,"[32165046760479.688, 46949616177291.94]",0.2058664474544044,[[0.13194356 0.34756018]],0.286155692715325,[[0.16177188 0.26422141]],1.2,4.182346343994141,4.917263797467048,[[2.04163173 1.23262534]],3.877713441848755,4.054142356533105,[[1.22508806 0.79048236]],26.942530646985713,"[11.242661143245318, 18.049744006240292]",211985326961283.25,"[32165046760479.688, 46949616177291.94]",0.2058664474544044,[[0.13194356 0.34756018]],0.28615569271532504,[[0.16177188 0.26422141]]
4,1.5,7.015799045562744,7.24176660129918,[[2.51218099 3.16930587]],6.814337730407715,6.974072523641877,[[1.24792019 1.56574619]],21.84873794644804,"[6.408182663560053, 7.934038236222488]",400388682349361.06,"[41588854278100.31, 115552594468339.56]",0.5374060386954186,[[0.24083366 0.58953708]],0.6692731098436279,[[0.23798132 0.43663749]],1.5,7.015799045562744,7.24176660129918,[[2.51218099 3.16930587]],6.814337730407715,6.974072523641877,[[1.24792019 1.56574619]],21.84873794644804,"[6.408182663560053, 7.934038236222488]",400388682349361.06,"[41588854278100.31, 115552594468339.56]",0.5374060386954186,[[0.24083366 0.58953708]],0.6692731098436279,[[0.23798132 0.43663749]]
5,1.8,11.677614212036133,11.89727027020322,[[1.97167829 2.00987267]],10.221548080444336,10.348059032709912,[[0.78271486 0.6769728 ]],27.816037557146267,"[4.9449502011656, 6.277744963882952]",661265853272179.8,"[44859206241341.625, 61314886332665.5]",0.6103120185205229,[[0.20270352 0.29493688]],0.8610410447875078,[[0.23514402 0.29591707]],1.8,11.677614212036133,11.897270270203219,[[1.97167829 2.00987267]],10.221548080444336,10.348059032709912,[[0.78271486 0.6769728 ]],27.816037557146267,"[4.9449502011656, 6.277744963882952]",661265853272179.8,"[44859206241341.625, 61314886332665.5]",0.6103120185205229,[[0.20270352 0.29493688]],0.8610410447875078,[[0.23514402 0.29591707]]
6,2.1,12.296735763549805,12.292760217442073,[[2.2949587  3.06094327]],11.621731758117676,11.678708021106276,[[1.34910349 1.95246872]],24.55545821202153,"[3.876047894861337, 4.486077997307593]",817635984595888.2,"[75010335608411.62, 165761438490003.12]",0.9185187705265982,[[0.27906885 0.51358885]],1.219451363695694,[[0.29965817 0.50668825]],2.1,12.296735763549805,12.292760217442073,[[2.2949587  3.06094327]],11.621731758117676,11.678708021106276,[[1.34910349 1.95246872]],24.555458212021534,"[3.876047894861337, 4.486077997307593]",817635984595888.2,"[75010335608411.62, 165761438490003.12]",0.9185187705265982,[[0.27906885 0.51358885]],1.219451363695694,[[0.29965817 0.50668825]]
7,2.4,13.025872230529783,13.076939046558964,[[2.21207529 2.68277447]],11.91960334777832,11.978141266010862,[[1.14330664 1.46416632]],26.353897665825063,"[4.1744203969546945, 4.750130825580321]",827159792206577.9,"[62006414949417.0, 123134564335020.0]",0.8318967181864736,[[0.24276964 0.41517195]],1.1441922887257343,[[0.27167459 0.4223478 ]],2.4,13.025872230529785,13.076939046558964,[[2.21207529 2.68277447]],11.91960334777832,11.978141266010862,[[1.14330664 1.46416632]],26.353897665825063,"[4.1744203969546945, 4.750130825580321]",827159792206577.9,"[62006414949417.0, 123134564335020.0]",0.8318967181864736,[[0.24276964 0.41517195]],1.1441922887257345,[[0.27167459 0.4223478 ]]
8,2.7,10.874272346496582,10.850770306607016,[[2.14505593 3.62870491]],11.448241233825684,11.450200616307637,[[1.75437279 3.04412978]],20.438146848388627,"[2.4324811763614846, 3.7438365949833]",919260935498639.6,"[150556077369671.38, 321857403249035.0]",1.361940182342216,[[0.47767255 0.84192802]],1.6297855743372838,[[0.46514822 0.79712284]],2.7,10.874272346496582,10.850770306607016,[[2.14505593 3.62870491]],11.448241233825684,11.450200616307635,[[1.75437279 3.04412978]],20.438146848388627,"[2.4324811763614846, 3.7438365949833]",919260935498639.5,"[150556077369671.38, 321857403249035.0]",1.3619401823422161,[[0.47767255 0.84192802]],1.6297855743372838,[[0.46514822 0.79712284]]
9,3.0,10.15962028503418,10.252372682109836,[[2.02927351 3.47903454]],11.131322860717772,11.136069637615051,[[1.78885694 3.03476611]],19.310364010016837,"[2.0191644049998345, 3.477055391216968]",939064336385076.4,"[183016364652163.5, 341532874317949.6]",1.5104851659417828,[[0.55802643 0.89436108]],1.743632135148824,[[0.52881083 0.82954176]],3.0,10.15962028503418,10.252372682109836,[[2.02927351 3.47903454]],11.131322860717773,11.136069637615053,[[1.78885694 3.03476611]],19.310364010016833,"[2.0191644049998345, 3.477055391216968]",939064336385076.4,"[183016364652163.5, 341532874317949.6]",1.5104851659417828,[[0.55802643 0.89436108]],1.743632135148824,[[0.52881083 0.82954176]]
