,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,5.139361381530762,5.416233499332895,[[1.11182584 0.88487358]],3.7377114295959473,3.7254259804157632,[[1.09131074 1.23404297]],38.89203346421806,"[14.155320761003729, 16.086764752733664]",221865187794585.7,"[32641105554483.53, 40588671606771.03]",0.1173914845586611,[[0.06288036 0.17409917]],0.1888417322361669,[[0.09220211 0.1996196 ]],0.3,5.139361381530762,5.416233499332895,[[1.11182584 0.88487358]],3.7377114295959473,3.7254259804157632,[[1.09131074 1.23404297]],38.89203346421806,"[14.155320761003729, 16.086764752733664]",221865187794585.66,"[32641105554483.53, 40588671606771.03]",0.1173914845586611,[[0.06288036 0.17409917]],0.1888417322361669,[[0.09220211 0.1996196 ]]
1,0.6,8.642086029052734,9.124725519049369,[[1.76250962 1.43001562]],7.297767639160156,7.436189871917231,[[1.04696299 0.62122276]],29.4322008362374,"[7.084551179833333, 9.905312838688921]",434603389634291.25,"[34451364141920.938, 44677008011390.06]",0.3662075459676328,[[0.15857583 0.25563833]],0.5298432511959954,[[0.19458193 0.25466788]],0.6,8.642086029052734,9.124725519049367,[[1.76250962 1.43001562]],7.297767639160156,7.4361898719172315,[[1.04696299 0.62122276]],29.4322008362374,"[7.084551179833333, 9.905312838688921]",434603389634291.25,"[34451364141920.938, 44677008011390.06]",0.3662075459676328,[[0.15857583 0.25563833]],0.5298432511959954,[[0.19458193 0.25466788]]
2,0.9,6.148114204406738,6.417040619059497,[[1.13950622 0.94998943]],4.379810810089111,4.375691655414423,[[1.18840809 1.34461178]],40.34948444392195,"[13.52752883478139, 15.2319994769393]",268195764800783.7,"[36235879054920.625, 45152862154916.375]",0.1332155998557507,[[0.06768941 0.17326348]],0.2168761483925685,[[0.10041119 0.20822682]],0.9,6.148114204406738,6.417040619059497,[[1.13950622 0.94998943]],4.379810810089111,4.375691655414423,[[1.18840809 1.34461178]],40.34948444392195,"[13.52752883478139, 15.2319994769393]",268195764800783.7,"[36235879054920.625, 45152862154916.375]",0.13321559985575074,[[0.06768941 0.17326348]],0.21687614839256855,[[0.10041119 0.20822682]]
3,1.2,5.741756439208984,6.379247256250533,[[1.88182193 1.35770595]],5.112181663513184,5.276857198338421,[[1.19620568 0.71151832]],27.396784274583645,"[8.852691070070499, 14.347085759893034]",286450005925196.5,"[33117610462294.53, 45318818157849.125]",0.2708740983490054,[[0.15221319 0.29440461]],0.379482470379207,[[0.18422892 0.25573019]],1.2,5.741756439208984,6.379247256250533,[[1.88182193 1.35770595]],5.112181663513184,5.276857198338421,[[1.19620568 0.71151832]],27.396784274583645,"[8.852691070070499, 14.347085759893034]",286450005925196.5,"[33117610462294.53, 45318818157849.125]",0.27087409834900544,[[0.15221319 0.29440461]],0.379482470379207,[[0.18422892 0.25573019]]
4,1.5,8.852046012878418,9.30644883876242,[[1.70308753 1.33276603]],7.334933757781982,7.469054414124977,[[1.11094627 0.61022818]],30.334258182731475,"[7.198692581036372, 10.43170025976319]",439391585915942.5,"[34933419200386.812, 43111756400704.375]",0.3524840718637034,[[0.15511112 0.24151746]],0.516619084811585,[[0.19424402 0.24737228]],1.5,8.852046012878418,9.30644883876242,[[1.70308753 1.33276603]],7.334933757781982,7.469054414124977,[[1.11094627 0.61022818]],30.334258182731475,"[7.198692581036372, 10.43170025976319]",439391585915942.5,"[34933419200386.812, 43111756400704.375]",0.35248407186370345,[[0.15511112 0.24151746]],0.516619084811585,[[0.19424402 0.24737228]]
5,1.8,10.798869132995604,10.903424511612602,[[2.267148   2.78255838]],9.996609687805176,10.102696354787946,[[1.12950692 1.42250029]],24.73150783504418,"[4.7462234189266646, 5.643462802279142]",651692648551141.1,"[52795681182427.5, 112674252176560.62]",0.7240298278526783,[[0.2446407  0.44601623]],0.9647897047364652,[[0.26177467 0.41592797]],1.8,10.798869132995605,10.903424511612602,[[2.267148   2.78255838]],9.996609687805176,10.102696354787946,[[1.12950692 1.42250029]],24.73150783504418,"[4.7462234189266646, 5.643462802279142]",651692648551141.1,"[52795681182427.5, 112674252176560.62]",0.7240298278526783,[[0.2446407  0.44601623]],0.9647897047364652,[[0.26177467 0.41592797]]
6,2.1,10.218705177307127,10.243361503633263,[[2.45676628 3.32973459]],9.782756805419922,9.871211479135946,[[1.38106603 2.0365258 ]],23.016633827678927,"[4.662127909425777, 5.400997711923786]",644975509257002.2,"[61203377190383.5, 160049136982903.12]",0.8002727353048658,[[0.27967798 0.59134293]],1.0263828422201058,[[0.28474777 0.5264997 ]],2.1,10.218705177307129,10.243361503633263,[[2.45676628 3.32973459]],9.782756805419922,9.871211479135946,[[1.38106603 2.0365258 ]],23.016633827678927,"[4.662127909425777, 5.400997711923786]",644975509257002.2,"[61203377190383.5, 160049136982903.12]",0.8002727353048658,[[0.27967798 0.59134293]],1.0263828422201058,[[0.28474777 0.5264997 ]]
7,2.4,10.466789245605469,10.362909950090875,[[2.3695064  4.03971727]],10.689620971679688,10.70977433324492,[[1.73257623 3.17105121]],20.83222493699537,"[3.2493156830278913, 4.502914512691429]",788203257999171.4,"[110146407404581.5, 297452283140835.1]",1.1354841374672635,[[0.40994922 0.85691425]],1.3747565368034131,[[0.39604698 0.78286581]],2.4,10.466789245605469,10.362909950090875,[[2.3695064  4.03971727]],10.689620971679688,10.709774333244921,[[1.73257623 3.17105121]],20.832224936995374,"[3.2493156830278913, 4.502914512691429]",788203257999171.4,"[110146407404581.5, 297452283140835.1]",1.1354841374672635,[[0.40994922 0.85691425]],1.3747565368034131,[[0.39604698 0.78286581]]
8,2.7,6.033979415893555,6.623549200192285,[[1.70674464 3.30695296]],8.315190315246582,8.187490721190787,[[1.68694    3.15246054]],14.657792197226485,"[1.3144074017945275, 3.032323953289554]",775541307491093.6,"[228270838159713.12, 446819789550780.1]",1.81071372674679,[[0.8147622  1.39270418]],1.702193792020566,[[0.61898358 1.0690479 ]],2.7,6.033979415893555,6.623549200192285,[[1.70674464 3.30695296]],8.315190315246582,8.187490721190787,[[1.68694    3.15246054]],14.657792197226483,"[1.3144074017945275, 3.032323953289554]",775541307491093.6,"[228270838159713.12, 446819789550780.1]",1.81071372674679,[[0.8147622  1.39270418]],1.702193792020566,[[0.61898358 1.0690479 ]]
9,3.0,5.607514381408691,7.017501343673706,[[1.46409493 2.24198222]],8.903849601745605,8.64158939610164,[[1.47279443 2.19029369]],14.636147372989033,"[0.9650385858947992, 1.9994007323794953]",923619483128176.0,"[270277746843818.12, 394582008907490.4]",2.160470288562419,[[0.86741008 1.19464295]],2.02844871337581,[[0.68375487 0.93909977]],3.0,5.607514381408691,7.017501343673706,[[1.46409493 2.24198222]],8.903849601745605,8.64158939610164,[[1.47279443 2.19029369]],14.636147372989033,"[0.9650385858947992, 1.9994007323794953]",923619483128175.9,"[270277746843818.12, 394582008907490.4]",2.160470288562419,[[0.86741008 1.19464295]],2.02844871337581,[[0.68375487 0.93909977]]
