,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.252113342285156,5.14173737385882,[[1.56827531 1.49118685]],3.581673145294189,3.571462186318141,[[1.51494248 1.62983844]],37.85112601463439,"[17.31017672709725, 31.411587368910247]",209365065957095.6,"[36594457753482.09, 68743450185274.5]",0.116033555235015,[[0.0833213  0.29298447]],0.1849662332089706,[[0.12407837 0.30600545]],0.3,4.252113342285156,5.14173737385882,[[1.56827531 1.49118685]],3.5816731452941895,3.571462186318141,[[1.51494248 1.62983844]],37.85112601463439,"[17.31017672709725, 31.411587368910247]",209365065957095.56,"[36594457753482.09, 68743450185274.5]",0.11603355523501502,[[0.0833213  0.29298447]],0.18496623320897063,[[0.12407837 0.30600545]]
1,0.6,8.97927188873291,9.308885292819168,[[2.05691662 1.94068814]],7.987300395965576,8.148557384593376,[[0.80963178 0.70680239]],26.206190589988083,"[6.06355104799891, 7.853817627729548]",482092926859681.44,"[38665039820684.31, 55469906149210.19]",0.4891753585489468,[[0.19546518 0.32436556]],0.6709826643802449,[[0.22014878 0.29378093]],0.6,8.97927188873291,9.308885292819168,[[2.05691662 1.94068814]],7.987300395965576,8.148557384593376,[[0.80963178 0.70680239]],26.206190589988083,"[6.06355104799891, 7.853817627729548]",482092926859681.44,"[38665039820684.31, 55469906149210.19]",0.4891753585489468,[[0.19546518 0.32436556]],0.6709826643802449,[[0.22014878 0.29378093]]
2,0.9,6.570132732391357,7.030512733026894,[[2.31192013 2.27432226]],6.116665840148926,6.330801320562083,[[0.94509249 0.96918257]],24.109548776316075,"[7.4707742231247565, 10.411149786371972]",350751078040130.94,"[37041486457322.06, 68882327945369.5]",0.4053527934053605,[[0.20218675 0.42494712]],0.5330341648487166,[[0.21960972 0.33054647]],0.9,6.570132732391357,7.030512733026894,[[2.31192013 2.27432226]],6.116665840148926,6.330801320562083,[[0.94509249 0.96918257]],24.109548776316075,"[7.4707742231247565, 10.411149786371972]",350751078040130.94,"[37041486457322.06, 68882327945369.5]",0.4053527934053605,[[0.20218675 0.42494712]],0.5330341648487166,[[0.21960972 0.33054647]]
3,1.2,6.346589088439941,7.060128826864325,[[1.8840332  1.34483086]],5.444021701812744,5.602724073833929,[[1.38553031 0.85074371]],29.79645991251686,"[9.701969076441067, 16.52063259979756]",312755121326426.7,"[35084893918576.03, 55438229965778.375]",0.2583201678979793,[[0.149838   0.30084279]],0.3757373976954031,[[0.19169829 0.28637039]],1.2,6.346589088439941,7.060128826864325,[[1.8840332  1.34483086]],5.444021701812744,5.602724073833929,[[1.38553031 0.85074371]],29.79645991251686,"[9.701969076441067, 16.52063259979756]",312755121326426.7,"[35084893918576.03, 55438229965778.375]",0.25832016789797935,[[0.149838   0.30084279]],0.3757373976954031,[[0.19169829 0.28637039]]
4,1.5,7.599102020263672,7.798906649288256,[[2.46814665 3.08271343]],7.332788944244385,7.490747167670865,[[1.24623971 1.5395658 ]],22.128844672650487,"[5.950982377559043, 7.324080814549777]",439426174148178.56,"[45252310116359.44, 113425116175909.31]",0.5786423226963978,[[0.24688088 0.55713798]],0.7259293082782853,[[0.24577732 0.43039678]],1.5,7.599102020263672,7.798906649288256,[[2.46814665 3.08271343]],7.332788944244385,7.490747167670865,[[1.24623971 1.5395658 ]],22.128844672650487,"[5.950982377559043, 7.324080814549777]",439426174148178.56,"[45252310116359.44, 113425116175909.31]",0.5786423226963978,[[0.24688088 0.55713798]],0.7259293082782853,[[0.24577732 0.43039678]]
5,1.8,9.568395614624023,10.157300712907809,[[1.41984787 1.10872296]],7.256082057952881,7.297998626027808,[[1.59672991 1.35475734]],38.17835615701624,"[9.678190424172481, 15.592258360325545]",458833911222589.3,"[41202869462936.94, 63320433922170.625]",0.2505860225609657,[[0.12538533 0.21289007]],0.4006186930436187,[[0.17983007 0.26050524]],1.8,9.568395614624023,10.157300712907809,[[1.41984787 1.10872296]],7.256082057952881,7.297998626027808,[[1.59672991 1.35475734]],38.17835615701624,"[9.678190424172481, 15.592258360325545]",458833911222589.3,"[41202869462936.94, 63320433922170.625]",0.2505860225609657,[[0.12538533 0.21289007]],0.4006186930436187,[[0.17983007 0.26050524]]
6,2.1,11.17001724243164,11.46319804082546,[[1.97560439 1.92876606]],9.781512260437012,9.913372312246048,[[0.74440279 0.66437439]],27.830541762275598,"[5.2453528721903275, 6.482053646042964]",623636663641748.0,"[42277629044209.125, 58014831788034.0]",0.5751020174597451,[[0.19476457 0.29530487]],0.8115600154546966,[[0.22613488 0.29309537]],2.1,11.17001724243164,11.46319804082546,[[1.97560439 1.92876606]],9.781512260437012,9.913372312246047,[[0.74440279 0.66437439]],27.830541762275594,"[5.2453528721903275, 6.482053646042964]",623636663641748.0,"[42277629044209.125, 58014831788034.0]",0.5751020174597451,[[0.19476457 0.29530487]],0.8115600154546966,[[0.22613488 0.29309537]]
7,2.4,8.950225830078125,8.83009163068596,[[2.41557617 4.5090137 ]],9.482054710388184,9.52221574788126,[[1.86245383 3.74543696]],18.970242503762627,"[3.2470829678029762, 4.663228022249619]",694628103970646.4,"[116812809200937.25, 361922774664815.9]",1.1460311849502467,[[0.45747034 1.10777439]],1.3075654540459754,[[0.41166712 0.93645602]],2.4,8.950225830078125,8.83009163068596,[[2.41557617 4.5090137 ]],9.482054710388184,9.52221574788126,[[1.86245383 3.74543696]],18.970242503762627,"[3.2470829678029762, 4.663228022249619]",694628103970646.4,"[116812809200937.25, 361922774664815.9]",1.1460311849502467,[[0.45747034 1.10777439]],1.3075654540459754,[[0.41166712 0.93645602]]
8,2.7,6.426898002624512,7.102961229579116,[[1.68259992 3.07120578]],8.790343284606934,8.651918744575172,[[1.66747442 2.9289321 ]],15.055555851958385,"[1.2429232136520625, 2.844520099996725]",842936583400949.4,"[244643999211831.75, 423708436812438.6]",1.9021462639940887,[[0.83101621 1.28159077]],1.828606207659209,[[0.653909   1.01355981]],2.7,6.426898002624512,7.102961229579116,[[1.68259992 3.07120578]],8.790343284606934,8.651918744575172,[[1.66747442 2.9289321 ]],15.055555851958385,"[1.2429232136520625, 2.844520099996725]",842936583400949.4,"[244643999211831.75, 423708436812438.6]",1.9021462639940891,[[0.83101621 1.28159077]],1.828606207659209,[[0.653909   1.01355981]]
9,3.0,2.733532190322876,4.5213395211774765,[[1.4019159  2.47882567]],6.60666561126709,6.272305447433657,[[1.44538488 2.4167335 ]],12.00152357253524,"[1.0270230464419097, 2.147795851839293]",671399864354532.0,"[227137099635177.0, 443233849406452.1]",1.9883838649007104,[[0.90430065 1.64526498]],1.5518123914686932,[[0.56319391 1.02655514]],3.0,2.733532190322876,4.5213395211774765,[[1.4019159  2.47882567]],6.60666561126709,6.272305447433657,[[1.44538488 2.4167335 ]],12.001523572535241,"[1.0270230464419097, 2.147795851839293]",671399864354532.0,"[227137099635177.0, 443233849406452.1]",1.9883838649007104,[[0.90430065 1.64526498]],1.5518123914686932,[[0.56319391 1.02655514]]
