,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,-0.3,4.54207706451416,5.759263491241446,[[1.5796933  1.56227427]],4.509018421173096,3.975164622960461,[[1.6129314  1.76347676]],38.79243312871934,"[15.83849664088796, 31.023116987581034]",237415839774007.72,"[37305191325254.375, 73666906037052.62]",0.1261722651595087,[[0.08883304 0.26141725]],0.2027944900765773,[[0.13319097 0.29355798]],-0.3,4.54207706451416,5.759263491241446,[[1.5796933  1.56227427]],4.509018421173096,3.975164622960461,[[1.6129314  1.76347676]],38.79243312871934,"[15.83849664088796, 31.023116987581034]",237415839774007.75,"[37305191325254.375, 73666906037052.62]",0.1261722651595087,[[0.08883304 0.26141725]],0.2027944900765773,[[0.13319097 0.29355798]]
1,-0.6,9.68992805480957,11.07327216653003,[[1.98467762 1.81645184]],8.239550590515137,7.235492465909953,[[1.98354264 2.27347383]],48.52761485813769,"[13.039949799328731, 20.67850237460228]",509102958871378.3,"[56400712157658.5, 101256339621544.62]",0.1832023197051828,[[0.09735919 0.19414083]],0.3147781251744854,[[0.15502143 0.2732805 ]],-0.6,9.68992805480957,11.07327216653003,[[1.98467762 1.81645184]],8.239550590515137,7.235492465909953,[[1.98354264 2.27347383]],48.52761485813769,"[13.039949799328731, 20.67850237460228]",509102958871378.25,"[56400712157658.5, 101256339621544.62]",0.1832023197051828,[[0.09735919 0.19414083]],0.31477812517448545,[[0.15502143 0.2732805 ]]
2,-0.9,10.922607421875,12.25019871328287,[[2.7109276  2.46685985]],8.531359672546387,7.466011744080213,[[2.16905172 2.75129123]],60.49875913858109,"[15.91402997821099, 21.78530687769863]",600039537829807.4,"[81600969386258.25, 120855557468038.0]",0.1454435319243783,[[0.07407619 0.15566775]],0.2634591062431873,[[0.12661164 0.24186791]],-0.9,10.922607421875,12.25019871328287,[[2.7109276  2.46685985]],8.531359672546387,7.466011744080213,[[2.16905172 2.75129123]],60.49875913858109,"[15.91402997821099, 21.78530687769863]",600039537829807.4,"[81600969386258.25, 120855557468038.0]",0.14544353192437834,[[0.07407619 0.15566775]],0.26345910624318736,[[0.12661164 0.24186791]]
3,-1.2,8.758785247802734,9.470535878251631,[[2.50858838 2.62288266]],6.083094596862793,5.462129849980846,[[1.69857559 2.46573912]],70.15459243628935,"[21.203906392862038, 19.660949922314245]",476217348009887.6,"[86029781612782.69, 89474507453140.31]",0.0880706789427381,[[0.04246677 0.11239209]],0.1643191915968659,[[0.0757038 0.1809102]],-1.2,8.758785247802734,9.470535878251633,[[2.50858838 2.62288266]],6.083094596862793,5.462129849980846,[[1.69857559 2.46573912]],70.15459243628935,"[21.203906392862038, 19.660949922314245]",476217348009887.56,"[86029781612782.69, 89474507453140.31]",0.08807067894273811,[[0.04246677 0.11239209]],0.16431919159686592,[[0.0757038 0.1809102]]
4,-1.5,6.750086784362793,7.325640306856494,[[2.23850746 2.48248634]],4.705970764160156,4.253569915067615,[[1.51217201 2.47051208]],66.0294785769527,"[23.87116798365542, 22.51129904534072]",351669014788556.6,"[72407078211481.16, 85460174635299.31]",0.0726838069879249,[[0.03915869 0.1285916 ]],0.1340498358001298,[[0.06904142 0.1981512 ]],-1.5,6.750086784362793,7.325640306856494,[[2.23850746 2.48248634]],4.705970764160156,4.253569915067615,[[1.51217201 2.47051208]],66.0294785769527,"[23.87116798365542, 22.51129904534072]",351669014788556.6,"[72407078211481.16, 85460174635299.31]",0.07268380698792495,[[0.03915869 0.1285916 ]],0.13404983580012986,[[0.06904142 0.1981512 ]]
5,-1.8,6.699515342712402,7.575393869175023,[[2.34286778 2.3412312 ]],5.0923027992248535,4.481116889788765,[[1.64899207 2.55720385]],61.94895820167586,"[22.908174092948926, 24.8169529508369]",355225047389741.2,"[71128695903772.06, 89222389444215.94]",0.0824774003332775,[[0.04705488 0.15115211]],0.1501535083889939,[[0.08167247 0.22614881]],-1.8,6.699515342712402,7.5753938691750236,[[2.34286778 2.3412312 ]],5.0923027992248535,4.481116889788765,[[1.64899207 2.55720385]],61.94895820167586,"[22.908174092948926, 24.8169529508369]",355225047389741.2,"[71128695903772.06, 89222389444215.94]",0.08247740033327758,[[0.04705488 0.15115211]],0.15015350838899394,[[0.08167247 0.22614881]]
6,-2.1,9.85396671295166,11.286589208856304,[[2.07637891 1.91217101]],8.318650245666504,7.342743403330158,[[2.04029821 2.3530778 ]],49.26666243695321,"[12.951123818963381, 21.081505893048515]",521663717182245.75,"[59074441887264.75, 107305543072970.25]",0.1827655818939599,[[0.09764779 0.19122744]],0.3152859190891247,[[0.15639507 0.2723831 ]],-2.1,9.85396671295166,11.286589208856304,[[2.07637891 1.91217101]],8.318650245666504,7.342743403330158,[[2.04029821 2.3530778 ]],49.26666243695321,"[12.951123818963381, 21.081505893048515]",521663717182245.75,"[59074441887264.75, 107305543072970.25]",0.18276558189395994,[[0.09764779 0.19122744]],0.31528591908912473,[[0.15639507 0.2723831 ]]
7,-2.4,12.326227188110352,13.73565497025889,[[3.0334402  2.78135945]],9.123547554016112,8.11933342206111,[[2.23929932 2.85698295]],68.63482856263388,"[17.655297757650672, 19.405456353060273]",713296907933905.9,"[105025782598150.75, 120490104725233.12]",0.1373328051941474,[[0.0635314  0.13758263]],0.2551811444196129,[[0.11219293 0.22327511]],-2.4,12.326227188110352,13.73565497025889,[[3.0334402  2.78135945]],9.123547554016113,8.11933342206111,[[2.23929932 2.85698295]],68.63482856263388,"[17.655297757650672, 19.405456353060273]",713296907933905.9,"[105025782598150.75, 120490104725233.12]",0.13733280519414748,[[0.0635314  0.13758263]],0.2551811444196129,[[0.11219293 0.22327511]]
8,-2.7,7.847309589385986,9.191835073135996,[[1.51990409 1.09000824]],7.590163230895996,6.813398677655118,[[1.54570969 1.19472421]],35.19324596859544,"[9.312314886230912, 16.20116989247822]",411523752787345.6,"[37984165812752.69, 59940154325169.25]",0.2580119996332753,[[0.13661363 0.22988213]],0.4008749544159925,[[0.18916258 0.26427684]],-2.7,7.847309589385986,9.191835073135996,[[1.51990409 1.09000824]],7.590163230895996,6.813398677655118,[[1.54570969 1.19472421]],35.19324596859544,"[9.312314886230912, 16.20116989247822]",411523752787345.6,"[37984165812752.69, 59940154325169.25]",0.2580119996332753,[[0.13661363 0.22988213]],0.4008749544159925,[[0.18916258 0.26427684]]
9,-3.0,7.860769748687744,9.226019014687123,[[1.48364295 1.18233915]],7.40801191329956,6.624033493995941,[[1.62035702 1.4134326 ]],37.63062009480197,"[10.676581495006133, 17.247769808163937]",408868212008920.56,"[40562018488486.375, 65056716919731.69]",0.2288687460851658,[[0.1224194  0.23106432]],0.3641080690329721,[[0.17547155 0.27533101]],-3.0,7.860769748687744,9.226019014687123,[[1.48364295 1.18233915]],7.4080119132995605,6.624033493995941,[[1.62035702 1.4134326 ]],37.63062009480197,"[10.676581495006133, 17.247769808163937]",408868212008920.56,"[40562018488486.375, 65056716919731.69]",0.22886874608516583,[[0.1224194  0.23106432]],0.3641080690329721,[[0.17547155 0.27533101]]
