,Unnamed: 0,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r.1,Tb7_empkep_rs_fix_r.1,Tb7_empkep_rs_fix_r_prediction.1,Tb7_empkep_rs_err_qtl_err.1,Tb6_empkep_rs_fix_r.1,Tb6_empkep_rs_fix_r_prediction.1,Tb6_empkep_rs_err_qtl_err.1,Texe_rs_empkep_fix_r.1,Texe_err_rs_empkep_fix_r.1,Ncol_rs_empkep_fix_r.1,Ncol_err_rs_empkep_fix_r.1,Tau_nu_b6.1,Tau_nu_errs_b6.1,Tau_nu_b7.1,Tau_nu_errs_b7.1,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0,0.3,4.970211505889893,3.860255889232853,[[1.33392775 1.91119504]],1.923558235168457,2.1567816833299296,[[0.81582809 1.53240047]],72.9727650827671,"[25.801679695962747, 19.17531205542518]",188513386849097.2,"[48662341411344.484, 55279192064820.0]",0.0324231247774271,[[0.01684528 0.05980944]],0.0609287352516832,[[0.0305471  0.09633554]],0.3,4.970211505889893,3.860255889232853,[[1.33392775 1.91119504]],1.923558235168457,2.1567816833299296,[[0.81582809 1.53240047]],72.9727650827671,"[25.801679695962747, 19.17531205542518]",188513386849097.2,"[48662341411344.484, 55279192064820.0]",0.0324231247774271,[[0.01684528 0.05980944]],0.0609287352516832,[[0.0305471  0.09633554]],0.3,4.970211505889893,3.8331010730749133,[[1.3249876  1.86610271]],1.923558235168457,2.1317336444954633,[[0.80122697 1.46999372]],74.45564188776805,"[25.791554874955374, 17.970917399430192]",189131997218713.25,"[50040052621426.016, 53061751490362.16]",0.03134303377029071,[[0.01593728 0.05537924]],0.05910863942696711,[[0.02904981 0.09000895]]
1,1,0.6,8.867889404296875,9.722883278824373,[[2.63850875 2.44065506]],6.3262248039245605,5.852651097781905,[[1.97213095 2.75827398]],60.44011729086765,"[19.616228450497907, 23.84323624601734]",462485425665332.5,"[79336201644879.44, 107192624452942.56]",0.1122991659768142,[[0.06186422 0.16501958]],0.2033784457593529,[[0.10630499 0.24977771]],0.6,8.867889404296875,9.722883278824373,[[2.63850875 2.44065506]],6.3262248039245605,5.852651097781905,[[1.97213095 2.75827398]],60.44011729086765,"[19.616228450497907, 23.84323624601734]",462485425665332.5,"[79336201644879.44, 107192624452942.56]",0.1122991659768142,[[0.06186422 0.16501958]],0.2033784457593529,[[0.10630499 0.24977771]],0.6,8.867889404296875,9.741294185681278,[[2.60701817 2.64262155]],6.3262248039245605,5.679078679458878,[[1.81285085 2.5884923 ]],67.64865574495349,"[20.68004901154697, 21.291548829616275]",483524733234641.6,"[85511629379934.12, 96621527127828.25]",0.09559907995012426,[[0.04821907 0.12555375]],0.1771449064965901,[[0.08520974 0.19949404]]
2,2,0.9,7.502863883972168,8.18976610333433,[[2.46693478 2.4015694 ]],5.204370498657227,4.855227315727533,[[1.74854275 2.63512569]],62.091491021904574,"[22.282662112670494, 24.071382811221923]",386850999746033.7,"[76370786925074.81, 93894555937596.25]",0.0894458401895647,[[0.05022562 0.15495382]],0.1629182128449192,[[0.08717492 0.23324481]],0.9,7.502863883972168,8.18976610333433,[[2.46693478 2.4015694 ]],5.204370498657227,4.855227315727533,[[1.74854275 2.63512569]],62.091491021904574,"[22.282662112670494, 24.071382811221923]",386850999746033.7,"[76370786925074.81, 93894555937596.25]",0.0894458401895647,[[0.05022562 0.15495382]],0.1629182128449192,[[0.08717492 0.23324481]],0.9,7.502863883972168,8.072090315557078,[[2.27662484 2.52656608]],5.204370498657227,4.6434467668882355,[[1.51931264 2.38428692]],69.27817172388444,"[22.925947748562315, 20.14400042049799]",398512215414527.9,"[77002086120759.25, 82677784134848.69]",0.07542307625255865,[[0.03753561 0.11232122]],0.14039209246882486,[[0.06681794 0.17818192]]
3,3,1.2,4.182346343994141,5.291191451546223,[[1.62422808 1.58097884]],3.877713441848755,3.632197309728486,[[1.57873035 1.76274832]],38.995048363375474,"[17.469710603944993, 33.02137019887492]",216266587112721.7,"[38688535082843.03, 73147052404533.69]",0.1139118742961536,[[0.08261729 0.28328738]],0.1834045905468022,[[0.12473567 0.3069757 ]],1.2,4.182346343994141,5.291191451546223,[[1.62422808 1.58097884]],3.877713441848755,3.632197309728486,[[1.57873035 1.76274832]],38.995048363375474,"[17.469710603944993, 33.02137019887492]",216266587112721.72,"[38688535082843.03, 73147052404533.69]",0.1139118742961536,[[0.08261729 0.28328738]],0.1834045905468022,[[0.12473567 0.3069757 ]],1.2,4.182346343994141,5.172297654050058,[[1.73371962 1.52339072]],3.877713441848755,3.309659689132915,[[1.421572   1.99656079]],46.57608081876633,"[20.41391301169967, 31.89177292585113]",216024981795850.3,"[41972442890025.09, 69948539199348.44]",0.0835746228952017,[[0.05740285 0.20737068]],0.14200380561490653,[[0.09220415 0.2567483 ]]
4,4,1.5,7.015799045562744,8.01248895955746,[[1.82717897 1.45505207]],6.814337730407715,6.5109926842915415,[[1.24732757 0.72185572]],29.01921996524679,"[8.020220138389494, 13.442388183235892]",369955533573829.2,"[34311799724668.812, 49346594475728.875]",0.3189526103978434,[[0.16631666 0.27803075]],0.4586304578856675,[[0.2061567 0.2676384]],1.5,7.015799045562744,8.01248895955746,[[1.82717897 1.45505207]],6.814337730407715,6.5109926842915415,[[1.24732757 0.72185572]],29.01921996524679,"[8.020220138389494, 13.442388183235892]",369955533573829.2,"[34311799724668.812, 49346594475728.875]",0.3189526103978434,[[0.16631666 0.27803075]],0.4586304578856675,[[0.2061567 0.2676384]],1.5,7.015799045562744,8.351636174497523,[[1.50883076 1.11004009]],6.814337730407715,6.091360432561024,[[1.59474606 1.28851188]],35.86262826270144,"[10.600716671043898, 18.53895038260473]",365139850542016.25,"[37812766077081.56, 59674626650859.69]",0.22177289080347515,[[0.12567455 0.23484859]],0.3469258492441252,[[0.17698425 0.26813752]]
5,5,1.8,11.677614212036133,12.752401835193607,[[1.47170083 1.16170374]],10.221548080444336,9.615686698989869,[[1.22342503 0.84354028]],36.2461249209305,"[6.935246643668243, 9.818691153328622]",622335072613075.9,"[38047345404176.0, 47462541492537.125]",0.3712483532453808,[[0.14077334 0.19693351]],0.5829609234571121,[[0.19255889 0.23763036]],1.8,11.677614212036133,12.752401835193607,[[1.47170083 1.16170374]],10.221548080444336,9.615686698989869,[[1.22342503 0.84354028]],36.2461249209305,"[6.935246643668243, 9.818691153328622]",622335072613075.9,"[38047345404176.0, 47462541492537.125]",0.3712483532453808,[[0.14077334 0.19693351]],0.5829609234571121,[[0.19255889 0.23763036]],1.8,11.677614212036133,13.222001206800364,[[1.27238438 1.2411529 ]],10.221548080444336,9.078425856563427,[[1.74516006 1.63410354]],44.54613840728655,"[9.560507706739351, 14.360434636244854]",628671569221983.9,"[49948039738128.75, 76180089650059.0]",0.2629882511646925,[[0.11576808 0.18335108]],0.4412379644378448,[[0.17610238 0.25074219]]
6,6,2.1,12.296735763549805,13.286443881389086,[[1.78039883 1.62423307]],11.621731758117676,10.959147750854722,[[0.78733412 0.55663798]],31.17311921256644,"[5.225541032800191, 6.405965439326867]",714412676265001.1,"[41064649886898.625, 49244043975436.5]",0.5480580612821818,[[0.17026299 0.23902093]],0.812433863496335,[[0.21168012 0.26195657]],2.1,12.296735763549805,13.286443881389086,[[1.78039883 1.62423307]],11.621731758117676,10.959147750854722,[[0.78733412 0.55663798]],31.17311921256644,"[5.225541032800191, 6.405965439326867]",714412676265001.1,"[41064649886898.625, 49244043975436.5]",0.5480580612821818,[[0.17026299 0.23902093]],0.812433863496335,[[0.21168012 0.26195657]],2.1,12.296735763549805,13.813811743553437,[[1.48817523 1.19195154]],11.621731758117676,10.411003755861115,[[1.23569996 0.81593905]],36.997409485720354,"[6.5226712371987325, 9.305770063881198]",689626987516905.6,"[41681933938453.875, 47775045599760.125]",0.39733004348165063,[[0.14405257 0.18977043]],0.6284265337743773,[[0.1987794  0.23373315]]
7,7,2.4,13.025872230529783,14.070654157137604,[[1.66467213 1.47052713]],11.91960334777832,11.244349642504243,[[0.89793406 0.52848129]],33.41091812200703,"[5.433012399323928, 6.918032796650138]",744034085901827.6,"[40667752783755.125, 46316318778965.75]",0.5089100557845967,[[0.15923426 0.21378862]],0.7754615765244904,[[0.20627891 0.24684654]],2.4,13.025872230529783,14.070654157137604,[[1.66467213 1.47052713]],11.91960334777832,11.244349642504243,[[0.89793406 0.52848129]],33.41091812200703,"[5.433012399323928, 6.918032796650138]",744034085901827.6,"[40667752783755.125, 46316318778965.75]",0.5089100557845967,[[0.15923426 0.21378862]],0.7754615765244904,[[0.20627891 0.24684654]],2.4,13.025872230529785,14.618562083672089,[[1.36246092 1.07283001]],11.91960334777832,10.655971646597962,[[1.35532409 1.01310088]],40.105733610876314,"[6.9534958810675676, 9.93959144479151]",727335878067378.4,"[43304883749515.25, 53149385195535.75]",0.3650644075500865,[[0.13198783 0.17573243]],0.5931756480496662,[[0.18945267 0.22840942]]
8,8,2.7,10.874272346496582,11.53147075060212,[[2.26903436 2.95497349]],11.448241233825684,10.758419853126272,[[1.18561064 1.61556421]],24.799156932866914,"[4.427931161036739, 5.398345495703531]",715355627937476.9,"[57336746998496.5, 129548088550594.0]",0.791393026387956,[[0.25961516 0.46640041]],1.0560323251919097,[[0.27811791 0.44607626]],2.7,10.874272346496582,11.53147075060212,[[2.26903436 2.95497349]],11.448241233825684,10.758419853126272,[[1.18561064 1.61556421]],24.799156932866914,"[4.427931161036739, 5.398345495703531]",715355627937476.9,"[57336746998496.5, 129548088550594.0]",0.791393026387956,[[0.25961516 0.46640041]],1.0560323251919097,[[0.27811791 0.44607626]],2.7,10.874272346496582,12.18184644689569,[[1.84238546 1.77660997]],11.448241233825684,10.293167381327429,[[0.75186433 0.6078145 ]],29.307443552404166,"[5.167842718963701, 6.561529216057259]",655563810986248.2,"[40878847660459.875, 52956736546489.25]",0.5562131428279948,[[0.18298699 0.26103161]],0.8032645349980401,[[0.21937889 0.27210753]]
9,9,3.0,10.15962028503418,10.729642751841322,[[2.44201851 3.54855017]],11.131322860717772,10.448982286723131,[[1.46238722 2.33069657]],22.891351375910062,"[4.246466503401443, 5.116172778285556]",706940042916244.8,"[71178457965031.12, 191147316092542.25]",0.8844640360561165,[[0.30410752 0.63405766]],1.1309484622142627,[[0.30959724 0.58169773]],3.0,10.15962028503418,10.729642751841322,[[2.44201851 3.54855017]],11.131322860717772,10.448982286723131,[[1.46238722 2.33069657]],22.891351375910062,"[4.246466503401443, 5.116172778285556]",706940042916244.8,"[71178457965031.12, 191147316092542.25]",0.8844640360561165,[[0.30410752 0.63405766]],1.1309484622142627,[[0.30959724 0.58169773]],3.0,10.15962028503418,11.305119617475397,[[2.03490387 2.17002215]],11.131322860717773,9.996801070579691,[[0.8363594  0.78069773]],26.783265070552385,"[5.018288942540096, 6.193697372103198]",632571830364795.5,"[43099599908536.0, 70363163518954.25]",0.6201227579793378,[[0.20806163 0.32879994]],0.8595534786388778,[[0.23483095 0.31958322]]
