,Tb_on_pix_b6,Tb_on_pix_b7,V,R_arcsec,Tb_on_pix_avg_b6_rs,Tb_on_pix_avg_b7_rs,max_pix_ridx_b6_rs,Tb_max_pix_rs_b6,Tb_max_pix_avg_rs_b6,max_pix_ridx_b7_rs,Tb_max_pix_rs_b7,Tb_max_pix_avg_rs_b7
0,-0.9509415,0.6403179,0.9875646076980376,7.50000000238375,-0.9621938,0.6284437,154,5.4575067,5.421184,156,6.744381,6.435631
1,4.305109,1.1804762,1.1959183475196502,5.10000000162095,4.2981076,1.1614188,191,5.9032016,5.8838687,155,6.238018,0.54835457
2,6.4936004,2.983046,1.404272087341261,3.72000000118234,6.49015,2.9801228,187,7.4067707,7.3964195,155,8.358636,5.322823
3,8.4851265,5.739009,1.6126258271628737,2.82000000089629,8.491591,5.7666802,189,9.485272,9.461328,185,10.29962,9.357427
4,10.194399,11.192422,1.8209795669844864,2.22000000070559,10.1450205,11.155419,187,10.194399,10.1450205,186,11.236896,11.155419
5,9.795219,9.064416,2.0293333068060972,1.8000000005721,9.769731,9.056468,185,10.425909,10.400406,184,9.872499,9.819995
6,7.669295,7.0030136,2.23768704662771,1.44000000045768,7.6541176,7.009971,180,9.722253,9.67524,157,8.946918,8.16718
7,4.4562016,5.336269,2.4460407864493225,1.2000000003814,4.482857,5.365001,159,6.0762253,6.0399303,158,8.546779,8.423411
8,5.1943097,5.7213726,2.6543945262709334,1.02000000032419,5.1746645,5.7345886,162,6.679899,6.651745,159,8.345398,7.7247047
9,7.425684,8.185954,2.862748266092546,0.90000000028605,7.3887367,8.151521,163,7.6799836,7.6531563,160,8.90612,8.656945
10,9.07251,9.087442,3.0711020059141587,0.78000000024791,9.034577,9.047021,161,9.31765,9.278153,162,9.166123,9.111331
11,8.245838,9.014219,3.2794557457357696,0.66000000020977,8.1888,8.957339,162,8.333261,8.267768,161,9.014219,8.822948
12,7.5702043,10.349794,3.4878094855573822,0.6000000001907,7.5201626,10.263322,161,7.5939846,7.537271,160,10.349794,10.026539
13,7.1347404,10.219104,3.6961632253789967,0.54000000017163,7.0788054,10.130512,160,7.1365924,7.0742645,159,10.219104,10.044486
14,6.1246996,7.708628,3.9045169652006058,0.48000000015256,6.0669684,7.641268,159,6.1270533,6.068049,158,7.708628,7.600584
15,6.913176,7.88183,4.11287070502222,0.42000000013349,6.8265586,7.7942643,157,6.913176,6.8265586,158,7.905093,7.7942643
16,4.435978,6.145469,4.321224444843833,0.42000000013349,4.3831367,6.0649376,157,4.435978,4.3831367,157,6.145469,6.0649376
17,3.7834356,4.3635883,4.529578184665442,0.36000000011442,3.730954,4.3160233,157,3.827753,3.7691834,156,4.3635883,4.284674
18,4.926085,5.077046,4.737931924487056,0.30000000009535,4.869963,5.0086455,156,4.9782605,4.9159007,155,5.077046,5.0070004
19,2.0338016,4.7943516,4.946285664308669,0.30000000009535,2.0080774,4.746096,155,2.0338016,2.0080774,155,4.7943516,4.746096
20,2.0319667,2.3666687,5.154639404130282,0.30000000009535,2.0015736,2.3196046,155,2.0319667,2.0015736,155,2.3666687,2.3196046
21,1.5972126,1.6524904,5.3629931439518925,0.24000000007628,1.5819987,1.639104,153,1.6058508,1.593371,150,1.8686816,1.7466682
22,1.0806992,1.022662,5.571346883773505,0.24000000007628,1.0693802,1.0151271,155,1.0808775,1.0632662,241,1.6318913,0.96059746
23,0.7933223,0.35772422,5.779700623595118,0.24000000007628,0.78922075,0.35515067,151,1.0467749,1.0292689,284,1.6943091,0.42386612
24,0.39702114,1.4860834,5.988054363416729,0.18000000005721,0.39430347,1.4613209,238,0.75839686,0.7470544,152,1.4871732,0.69880766
25,0.45659217,1.4043162,6.196408103238341,0.18000000005721,0.46563148,1.3707609,174,1.176976,1.1608479,152,1.421056,0.044778842
