,Unnamed: 0,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,r_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r.1,Tb6_empkep_bs_fix_r.1,Texe_bs_empkep_fix_r.1,Texe_err_bs_empkep_fix_r.1,Ncol_bs_empkep_fix_r.1,Ncol_err_bs_empkep_fix_r.1,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r
0,0,-0.3,4.54207706451416,4.509018421173096,9.96156257591324,"[0.5326272768464655, 11.554222276394412]",5.335450962528144e+17,"[5.3331592862824115e+17, 5.181325886746806e+22]",-0.3,4.54207706451416,4.509018421173096,9.96156257591324,"[0.5326272768464655, 11.554222276394412]",5.335450962528144e+17,"[5.3331592862824115e+17, 5.181325886746806e+22]",-0.3,4.54207706451416,4.509018421173096,9.509396055189557,"[0.6720100645796148, 13.058272742380732]",7.108625845248182e+17,"[7.10617422570364e+17, 5.5435722925178475e+22]"
1,1,-0.6,9.68992805480957,8.239550590515137,25.315957584162565,"[10.909781748641562, 12.151521618471055]",530562844321372.4,"[72575616241672.44, 7.278021992533323e+19]",-0.6,9.68992805480957,8.239550590515137,25.315957584162565,"[10.909781748641562, 12.151521618471055]",530562844321372.4,"[72575616241672.44, 7.278021992533323e+19]",-0.6,9.68992805480957,8.239550590515137,25.126052404364284,"[11.520082631630112, 9.940643884754838]",527041248622136.6,"[51814586446472.69, 7.092639303779792e+19]"
2,2,-0.9,10.922607421875,8.531359672546387,34.819792652739,"[11.323642907050477, 13.592225983588222]",547786637693578.0,"[54736530523270.19, 87338354509136.88]",-0.9,10.922607421875,8.531359672546387,34.819792652739,"[11.323642907050477, 13.592225983588222]",547786637693578.0,"[54736530523270.19, 87338354509136.88]",-0.9,10.922607421875,8.531359672546387,32.02684264909535,"[17.70027852532653, 11.025420461966974]",555390078567278.5,"[46442837648171.19, 4.289802585299949e+17]"
3,3,-1.2,8.758785247802734,6.083094596862793,38.529530094309166,"[26.197198636850043, 15.496619337473511]",412799560637509.1,"[49142212405018.75, 7.174307434870135e+18]",-1.2,8.758785247802734,6.083094596862793,38.529530094309166,"[26.197198636850043, 15.496619337473511]",412799560637509.1,"[49142212405018.75, 7.174307434870135e+18]",-1.2,8.758785247802734,6.083094596862793,34.947534286427526,"[23.528084836892177, 18.077426953254083]",431304808178183.06,"[67703751974706.06, 1.770525522209968e+20]"
4,4,-1.5,6.750086784362793,4.705970764160156,10.967718548817292,"[0.8355764795243896, 35.88186539407286]",9175985552447722.0,"[8895548451357806.0, 1.4228022897552036e+22]",-1.5,6.750086784362793,4.705970764160156,10.967718548817292,"[0.8355764795243896, 35.88186539407286]",9175985552447722.0,"[8895548451357806.0, 1.4228022897552036e+22]",-1.5,6.750086784362793,4.705970764160156,34.94301936733038,"[25.038677648002697, 18.6463058163544]",316943678541874.44,"[52540756858300.59, 4.0501827241870705e+19]"
5,5,-1.8,6.699515342712402,5.0923027992248535,27.23147889529294,"[16.567224308181302, 17.116722028442158]",330634099823941.1,"[48311411405556.81, 1.0367100709034665e+21]",-1.8,6.699515342712402,5.0923027992248535,27.23147889529294,"[16.567224308181302, 17.116722028442158]",330634099823941.1,"[48311411405556.81, 1.0367100709034665e+21]",-1.8,6.699515342712402,5.0923027992248535,25.76585164630053,"[15.725050219604856, 20.261192819714974]",345614654913447.8,"[64782710824057.75, 9.828648868682758e+20]"
6,6,-2.1,9.85396671295166,8.318650245666504,26.36836838810801,"[11.718346328632702, 12.24595384263597]",532770946944826.6,"[68526883929341.94, 1.2859567519210529e+19]",-2.1,9.85396671295166,8.318650245666504,26.36836838810801,"[11.718346328632702, 12.24595384263597]",532770946944826.6,"[68526883929341.94, 1.2859567519210529e+19]",-2.1,9.85396671295166,8.318650245666504,24.439980586451057,"[10.839615865944609, 10.342077733624471]",542696488007561.94,"[58931996308150.0, 3.486606109895627e+20]"
7,7,-2.4,12.326227188110352,9.123547554016112,39.39968087170078,"[10.930846243145599, 13.839472688388263]",614315117628366.2,"[59947621884656.06, 74973261903128.25]",-2.4,12.326227188110352,9.123547554016112,39.39968087170078,"[10.930846243145599, 13.839472688388263]",614315117628366.2,"[59947621884656.06, 74973261903128.25]",-2.4,12.326227188110352,9.123547554016113,37.26770181890946,"[21.534500052645456, 11.296008960096906]",615691316587385.1,"[47628730234804.5, 1613157827359415.5]"
8,8,-2.7,7.847309589385986,7.590163230895996,13.705660952436794,"[0.8304198603430777, 9.72438630471536]",2.0812411046624902e+17,"[2.0769202681750886e+17, 3.696257795102449e+22]",-2.7,7.847309589385986,7.590163230895996,13.705660952436794,"[0.8304198603430777, 9.72438630471536]",2.0812411046624902e+17,"[2.0769202681750886e+17, 3.696257795102449e+22]",-2.7,7.847309589385986,7.590163230895996,12.930433140427676,"[0.6234410184591574, 9.38425015634252]",7.646115908170597e+17,"[7.641563154544699e+17, 5.454475385507999e+22]"
9,9,-3.0,7.860769748687744,7.40801191329956,13.680298172773226,"[0.9114246516394058, 11.319631378873025]",6.209223109570734e+16,"[6.1678918494957016e+16, 2.5255758330675493e+22]",-3.0,7.860769748687744,7.40801191329956,13.680298172773226,"[0.9114246516394058, 11.319631378873025]",6.209223109570734e+16,"[6.1678918494957016e+16, 2.5255758330675493e+22]",-3.0,7.860769748687744,7.4080119132995605,12.796926160108878,"[0.6488392141998265, 11.151727025694914]",2.8191773318347155e+17,"[2.8148109479279325e+17, 3.5310013301386864e+22]"
