,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r
0,-0.3,4.54207706451416,4.509018421173096,11.339577891960635,"[2.3405962418295303, 18.84321791004986]",388821086333276.2,"[162219727391956.16, 4.434258543312624e+17]",-0.3,4.54207706451416,4.509018421173096,11.339577891960635,"[2.3405962418295303, 18.84321791004986]",388821086333276.2,"[162219727391956.16, 4.434258543312624e+17]"
1,-0.6,9.68992805480957,8.239550590515137,28.1791803998862,"[7.681831791856094, 8.814624220304673]",507826000672358.8,"[39257547275960.5, 69205116908362.56]",-0.6,9.68992805480957,8.239550590515137,28.1791803998862,"[7.681831791856094, 8.814624220304673]",507826000672358.8,"[39257547275960.5, 69205116908362.56]"
2,-0.9,10.922607421875,8.531359672546387,34.20772604040437,"[8.623578200622521, 10.655694851240852]",542986988478264.5,"[39125227331890.875, 57600974589311.25]",-0.9,10.922607421875,8.531359672546387,34.20772604040437,"[8.623578200622521, 10.655694851240852]",542986988478264.5,"[39125227331890.875, 57600974589311.25]"
3,-1.2,8.758785247802734,6.083094596862793,40.969893982830094,"[14.521793608933724, 14.346327354701756]",401985021209160.06,"[47065956877710.19, 77079736724487.88]",-1.2,8.758785247802734,6.083094596862793,40.969893982830094,"[14.521793608933724, 14.346327354701756]",401985021209160.06,"[47065956877710.19, 77079736724487.88]"
4,-1.5,6.750086784362793,4.705970764160156,39.7138481241918,"[16.530117542296328, 15.765961907510338]",301471781377593.6,"[42253380710189.41, 65728564837043.56]",-1.5,6.750086784362793,4.705970764160156,39.7138481241918,"[16.530117542296328, 15.765961907510338]",301471781377593.6,"[42253380710189.41, 65728564837043.56]"
5,-1.8,6.699515342712402,5.0923027992248535,34.04413767888208,"[15.013983751148967, 16.76900636736847]",309881697569962.7,"[40430881554431.31, 80248604074978.88]",-1.8,6.699515342712402,5.0923027992248535,34.04413767888208,"[15.013983751148967, 16.76900636736847]",309881697569962.7,"[40430881554431.31, 80248604074978.88]"
6,-2.1,9.85396671295166,8.318650245666504,28.344031094125192,"[9.425035914478173, 9.059428164868663]",516993074822703.4,"[40738756559224.75, 101361344118633.69]",-2.1,9.85396671295166,8.318650245666504,28.344031094125192,"[9.425035914478173, 9.059428164868663]",516993074822703.44,"[40738756559224.75, 101361344118633.69]"
7,-2.4,12.326227188110352,9.123547554016112,38.86985328831845,"[8.920221544189644, 10.762898325696938]",608492037034883.4,"[43102855329218.5, 62129103594093.75]",-2.4,12.326227188110352,9.123547554016113,38.86985328831845,"[8.920221544189644, 10.762898325696938]",608492037034883.4,"[43102855329218.5, 62129103594093.75]"
8,-2.7,7.847309589385986,7.590163230895996,13.412800908803444,"[0.995683618539827, 11.321256397447378]",1607674658337069.8,"[1172024345646551.0, 5.6010753452145856e+17]",-2.7,7.847309589385986,7.590163230895996,13.412800908803444,"[0.995683618539827, 11.321256397447378]",1607674658337069.8,"[1172024345646551.0, 5.6010753452145856e+17]"
9,-3.0,7.860769748687744,7.40801191329956,16.472401608439743,"[4.134045987911344, 10.928217915212315]",550099779235909.3,"[134577438756796.31, 3.922518366170669e+17]",-3.0,7.860769748687744,7.4080119132995605,16.472401608439743,"[4.134045987911344, 10.928217915212315]",550099779235909.3,"[134577438756796.31, 3.922518366170669e+17]"
