,Unnamed: 0,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,r_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r.1,Tb6_empkep_bs_fix_r.1,Texe_bs_empkep_fix_r.1,Texe_err_bs_empkep_fix_r.1,Ncol_bs_empkep_fix_r.1,Ncol_err_bs_empkep_fix_r.1,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r
0,0,-0.3,4.54207706451416,4.509018421173096,22.57777092267585,"[9.01522780254966, 14.177481010457377]",247149550042720.03,"[34991545596337.312, 71490220292668.03]",-0.3,4.54207706451416,4.509018421173096,22.57777092267585,"[9.01522780254966, 14.177481010457377]",247149550042720.03,"[34991545596337.312, 71490220292668.03]",-0.3,4.54207706451416,4.509018421173096,22.577770922675846,"[9.01522780254966, 14.177481010457377]",247149550042720.03,"[34991545596337.312, 71490220292668.03]"
1,1,-0.6,9.68992805480957,8.239550590515137,28.94014060457563,"[6.284135943522589, 8.381288465239557]",503382936192835.5,"[38069009288423.69, 44619175963481.06]",-0.6,9.68992805480957,8.239550590515137,28.94014060457563,"[6.284135943522589, 8.381288465239557]",503382936192835.5,"[38069009288423.69, 44619175963481.06]",-0.6,9.68992805480957,8.239550590515137,28.94014060457563,"[6.284135943522589, 8.381288465239557]",503382936192835.5,"[38069009288423.69, 44619175963481.06]"
2,2,-0.9,10.922607421875,8.531359672546387,34.970653010570885,"[7.4580402948510915, 10.024645071828026]",539333597540775.75,"[38176137665150.5, 44133678731199.125]",-0.9,10.922607421875,8.531359672546387,34.970653010570885,"[7.4580402948510915, 10.024645071828026]",539333597540775.75,"[38176137665150.5, 44133678731199.125]",-0.9,10.922607421875,8.531359672546387,34.970653010570885,"[7.4580402948510915, 10.024645071828026]",539333597540775.75,"[38176137665150.5, 44133678731199.125]"
3,3,-1.2,8.758785247802734,6.083094596862793,42.91771904318651,"[11.708086058465486, 13.332878099495368]",396507623040977.4,"[43309520549438.125, 53003154300132.125]",-1.2,8.758785247802734,6.083094596862793,42.91771904318651,"[11.708086058465486, 13.332878099495368]",396507623040977.4,"[43309520549438.125, 53003154300132.125]",-1.2,8.758785247802734,6.083094596862793,42.91771904318651,"[11.708086058465486, 13.332878099495368]",396507623040977.4,"[43309520549438.125, 53003154300132.125]"
4,4,-1.5,6.750086784362793,4.705970764160156,41.84727744427572,"[12.802252032266185, 14.330902428680062]",293265842228969.2,"[37284316736673.06, 46151946411992.125]",-1.5,6.750086784362793,4.705970764160156,41.84727744427572,"[12.802252032266185, 14.330902428680062]",293265842228969.2,"[37284316736673.06, 46151946411992.125]",-1.5,6.750086784362793,4.705970764160156,41.84727744427572,"[12.802252032266185, 14.330902428680062]",293265842228969.2,"[37284316736673.06, 46151946411992.125]"
5,5,-1.8,6.699515342712402,5.0923027992248535,37.02862422817773,"[11.749061281170007, 15.195815467599267]",303886698424818.44,"[34492236243103.375, 45043225713237.5]",-1.8,6.699515342712402,5.0923027992248535,37.02862422817773,"[11.749061281170007, 15.195815467599267]",303886698424818.44,"[34492236243103.375, 45043225713237.5]",-1.8,6.699515342712402,5.0923027992248535,37.02862422817773,"[11.749061281170007, 15.195815467599267]",303886698424818.44,"[34492236243103.375, 45043225713237.5]"
6,6,-2.1,9.85396671295166,8.318650245666504,29.27300615310148,"[6.359838864842185, 8.441449409896766]",509793014657344.7,"[37500346374577.625, 46998352088031.06]",-2.1,9.85396671295166,8.318650245666504,29.27300615310148,"[6.359838864842185, 8.441449409896766]",509793014657344.7,"[37500346374577.625, 46998352088031.06]",-2.1,9.85396671295166,8.318650245666504,29.27300615310148,"[6.359838864842185, 8.441449409896766]",509793014657344.7,"[37500346374577.625, 46998352088031.06]"
7,7,-2.4,12.326227188110352,9.123547554016112,39.71416144112727,"[8.018370899059338, 10.602433573010565]",603512859292633.2,"[41265951963861.94, 52913617915057.5]",-2.4,12.326227188110352,9.123547554016112,39.71416144112727,"[8.018370899059338, 10.602433573010565]",603512859292633.2,"[41265951963861.94, 52913617915057.5]",-2.4,12.326227188110352,9.123547554016113,39.71416144112727,"[8.018370899059338, 10.602433573010565]",603512859292633.2,"[41265951963861.94, 52913617915057.5]"
8,8,-2.7,7.847309589385986,7.590163230895996,22.316520010810542,"[5.84379370498279, 6.88189165591459]",457338118367722.5,"[44473839732803.19, 119710041298325.0]",-2.7,7.847309589385986,7.590163230895996,22.316520010810542,"[5.84379370498279, 6.88189165591459]",457338118367722.5,"[44473839732803.19, 119710041298325.0]",-2.7,7.847309589385986,7.590163230895996,22.316520010810542,"[5.84379370498279, 6.88189165591459]",457338118367722.5,"[44473839732803.19, 119710041298325.0]"
9,9,-3.0,7.860769748687744,7.40801191329956,23.42126608742052,"[6.219716377180941, 7.674671627962898]",441568762783219.1,"[42204030406062.56, 87105560195827.62]",-3.0,7.860769748687744,7.40801191329956,23.421266087420516,"[6.219716377180941, 7.674671627962898]",441568762783219.1,"[42204030406062.56, 87105560195827.62]",-3.0,7.860769748687744,7.4080119132995605,23.421266087420513,"[6.219716377180941, 7.674671627962898]",441568762783219.06,"[42204030406062.56, 87105560195827.62]"
