,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r
0,-0.3,2.9996085166931152,1.916771411895752,33.91338998284356,"[27.265237429996336, 20.82739676186661]",121860813017254.95,"[34480496790471.453, 3.685317748783721e+17]",-0.3,2.9996085166931152,1.916771411895752,33.91338998284356,"[27.265237429996336, 20.82739676186661]",121860813017254.95,"[34480496790471.453, 3.685317748783721e+17]"
1,-0.6,9.505992889404297,6.791179180145264,33.02133832371389,"[20.851525013940844, 16.99451259853771]",475257603832847.2,"[68181507058033.375, 3.165563902757168e+20]",-0.6,9.505992889404297,6.791179180145264,33.02133832371389,"[20.851525013940844, 16.99451259853771]",475257603832847.2,"[68181507058033.375, 3.165563902757168e+20]"
2,-0.9,10.6989107131958,8.9989652633667,28.024295968509104,"[12.95039896324218, 8.339344714335734]",573290453977810.0,"[44541284970612.56, 4633666164366207.0]",-0.9,10.6989107131958,8.9989652633667,28.024295968509104,"[12.95039896324218, 8.339344714335734]",573290453977810.0,"[44541284970612.56, 4633666164366207.0]"
3,-1.2,9.755528450012209,9.22134780883789,14.749336884054811,"[0.6430582309052753, 8.705740049664254]",4.839956956473048e+17,"[4.834065499961196e+17, 4.991787677000614e+22]",-1.2,9.755528450012207,9.22134780883789,14.749336884054813,"[0.6430582309052753, 8.705740049664254]",4.839956956473048e+17,"[4.834065499961196e+17, 4.991787677000614e+22]"
4,-1.5,7.152706623077393,5.836849212646484,23.955958926592505,"[13.115651916951059, 16.2225021779707]",376066974172535.6,"[59426163621140.69, 5.344305960726862e+20]",-1.5,7.152706623077393,5.836849212646484,23.955958926592505,"[13.115651916951059, 16.2225021779707]",376066974172535.6,"[59426163621140.69, 5.344305960726862e+20]"
5,-1.8,6.405479431152344,5.9344258308410645,11.284610653009388,"[0.7149243457984529, 14.682430285587227]",9.735654926635853e+16,"[9.702567302250782e+16, 2.768192191898823e+22]",-1.8,6.405479431152344,5.9344258308410645,11.284610653009388,"[0.7149243457984529, 14.682430285587227]",9.735654926635851e+16,"[9.702567302250782e+16, 2.768192191898823e+22]"
6,-2.1,6.428050518035889,5.806877613067627,11.276790869493537,"[0.810965953554847, 16.92447315341896]",3.495663043147192e+16,"[3.4638462450371844e+16, 1.90456659097061e+22]",-2.1,6.428050518035889,5.806877613067627,11.276790869493537,"[0.810965953554847, 16.92447315341896]",3.4956630431471916e+16,"[3.4638462450371844e+16, 1.90456659097061e+22]"
7,-2.4,9.95009708404541,6.509674549102783,39.23225386705329,"[27.21008547003939, 16.50483861342454]",484774250350500.4,"[71016252229498.69, 2.371121048381512e+20]",-2.4,9.95009708404541,6.509674549102783,39.23225386705329,"[27.21008547003939, 16.50483861342454]",484774250350500.4,"[71016252229498.69, 2.371121048381512e+20]"
8,-2.7,9.836066246032717,6.170684814453125,44.41361211673299,"[32.53708039124926, 13.697541854534222]",456797098912186.56,"[60709546122794.875, 4.0682949422132895e+18]",-2.7,9.836066246032715,6.170684814453125,44.41361211673299,"[32.53708039124926, 13.697541854534222]",456797098912186.56,"[60709546122794.875, 4.0682949422132895e+18]"
9,-3.0,10.8198881149292,7.732658863067627,38.637355688868446,"[24.748952158331214, 13.04306844098366]",522194345798786.6,"[50646231062908.69, 1.8513047225311016e+16]",-3.0,10.8198881149292,7.732658863067627,38.637355688868446,"[24.748952158331214, 13.04306844098366]",522194345798786.6,"[50646231062908.69, 1.8513047225311016e+16]"
10,-3.3,9.95129680633545,7.06655740737915,38.215687833353535,"[25.266930752933277, 14.662559940971747]",476049496631445.06,"[53028696150882.75, 1.0333078100047627e+17]",-3.3,9.95129680633545,7.06655740737915,38.215687833353535,"[25.266930752933277, 14.662559940971747]",476049496631445.06,"[53028696150882.75, 1.0333078100047627e+17]"
11,-3.6,7.589373588562012,6.331023693084717,25.388350023909425,"[13.85319492231124, 13.764216745003445]",389586466298272.1,"[45423317325161.125, 1.9284088205035057e+19]",-3.6,7.589373588562012,6.331023693084717,25.388350023909425,"[13.85319492231124, 13.764216745003445]",389586466298272.1,"[45423317325161.125, 1.9284088205035057e+19]"
12,-3.9,6.536109447479248,5.084223747253418,26.86885143247684,"[16.80603119603819, 18.88422344420875]",331552030332392.3,"[56793680247683.84, 2.785223345911178e+20]",-3.9,6.536109447479248,5.084223747253418,26.868851432476838,"[16.80603119603819, 18.88422344420875]",331552030332392.3,"[56793680247683.84, 2.785223345911178e+20]"
13,-4.2,4.397741794586182,3.3198251724243164,23.577357881865133,"[15.67881328893811, 25.252516320050006]",225725482834800.8,"[55446400485125.375, 1.1325660162300494e+21]",-4.2,4.397741794586182,3.3198251724243164,23.577357881865133,"[15.67881328893811, 25.252516320050006]",225725482834800.8,"[55446400485125.375, 1.1325660162300494e+21]"
14,-4.5,1.672533631324768,1.8818085193634035,7.071574227988473,"[1.3478737831512673, 32.716597839052355]",425076787518678.4,"[346831550473690.9, 7.975499838130383e+21]",-4.5,1.672533631324768,1.8818085193634033,7.071574227988473,"[1.3478737831512673, 32.716597839052355]",425076787518678.44,"[346831550473690.9, 7.975499838130383e+21]"
15,-4.8,0.9763157963752748,0.6448569893836975,34.558429524797006,"[21.539674323047286, 20.84035323174826]",5556009050342.49,"[5468484974786.584, 34914943283909.25]",-4.8,0.9763157963752747,0.6448569893836975,34.558429524797006,"[21.539674323047286, 20.84035323174826]",5556009050342.49,"[5468484974786.584, 34914943283909.25]"
16,-5.1,0.8337869048118591,0.1986185610294342,35.93626934976689,"[21.308921004945795, 20.309122725459957]",1038860502381.402,"[992813700742.4435, 14744912325898.625]",-5.1,0.8337869048118591,0.1986185610294342,35.93626934976689,"[21.308921004945795, 20.309122725459957]",1038860502381.402,"[992813700742.4435, 14744912325898.625]"
17,-5.4,0.424276053905487,0.7786693572998047,33.71965560851322,"[20.93784379051468, 21.01475239350585]",5555056379634.572,"[5476196667607.258, 34246486461208.547]",-5.4,0.42427605390548706,0.7786693572998047,33.71965560851322,"[20.93784379051468, 21.01475239350585]",5555056379634.572,"[5476196667607.258, 34246486461208.547]"
18,-5.7,-0.5018399953842163,-0.3234434723854065,34.94866695736539,"[20.913333998365687, 20.277548191544284]",372731092818.3804,"[340246680657.91205, 4278272332468.5366]",-5.7,-0.5018399953842163,-0.3234434723854065,34.94866695736539,"[20.913333998365687, 20.277548191544284]",372731092818.3804,"[340246680657.91205, 4278272332468.5366]"
