,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,-0.3,4.210981369018555,192.0955969133813,[[0.12339499 0.04304741]],2.4186832904815674,194.49351511977116,[[2.93000729 0.04305986]],199.94268178330384,"[0.09733325083277578, 0.04306982280533589]",2.1331575614046968e+18,"[1.9660196126450747e+18, 4.115528091390612e+19]",53.91884481566655,[[  49.69594377 1041.29914909]],113.52168396373686,[[ 104.63058827 2192.29588142]],-0.3,4.210981369018555,192.09559691338134,[[0.12339499 0.04304741]],2.4186832904815674,194.49351511977113,[[2.93000729 0.04305986]],199.94268178330384,"[0.09733325083277578, 0.04306982280533589]",2.1331575614046968e+18,"[1.9660196126450747e+18, 4.115528091390612e+19]",53.918844815666546,[[  49.69594377 1041.29914909]],113.52168396373686,[[ 104.63058827 2192.29588142]]
1,-0.6,8.266666412353516,186.40465612550187,[[5.95128162 4.42204934]],6.608358860015869,163.60884299949453,[[11.22353414 16.44496892]],197.7112009577218,"[3.579603353929059, 1.710223449863065]",7.368536705012349e+16,"[1.2106399189078144e+16, 3.001394766348157e+16]",1.9035788678917545,[[0.33915866 0.87216062]],4.004862808475773,[[0.71166961 1.82776651]],-0.6,8.266666412353516,186.40465612550187,[[5.95128162 4.42204934]],6.608358860015869,163.60884299949453,[[11.22353414 16.44496892]],197.71120095772181,"[3.579603353929059, 1.710223449863065]",7.368536705012349e+16,"[1.2106399189078144e+16, 3.001394766348157e+16]",1.9035788678917545,[[0.33915866 0.87216062]],4.004862808475773,[[0.71166961 1.82776651]]
2,-0.9,9.895329475402832,121.58440827114109,[[17.46796848 29.6591569 ]],9.027311325073242,122.49206200049856,[[36.66463448 31.13456528]],129.38969246797765,"[11.605767615499772, 29.674210548806798]",7.573114249630939e+16,"[5.495058391090102e+16, 1.4325068350906378e+19]",4.432234651961654,[[   3.61425988 1003.94437262]],9.004261574352912,[[   7.31085182 2019.25264711]],-0.9,9.895329475402832,121.58440827114109,[[17.46796848 29.6591569 ]],9.027311325073242,122.49206200049855,[[36.66463448 31.13456528]],129.38969246797765,"[11.605767615499772, 29.674210548806798]",7.573114249630939e+16,"[5.495058391090102e+16, 1.4325068350906378e+19]",4.432234651961654,[[   3.61425988 1003.94437262]],9.004261574352912,[[   7.31085182 2019.25264711]]
3,-1.2,7.8979339599609375,61.07687689796755,[[14.1146365  65.85582148]],6.835914611816406,61.63534657747008,[[27.83085291 67.66729329]],68.80812226284334,"[10.505559443237026, 65.92128953593772]",1.8554857960011784e+16,"[1.296004147919294e+16, 8.23548186113221e+18]",3.555911249091375,[[   3.25286238 2135.66360362]],6.610471316555094,[[   5.99234316 3837.22743657]],-1.2,7.8979339599609375,61.07687689796755,[[14.1146365  65.85582148]],6.835914611816406,61.63534657747008,[[27.83085291 67.66729329]],68.80812226284334,"[10.505559443237026, 65.92128953593772]",1.8554857960011784e+16,"[1.296004147919294e+16, 8.23548186113221e+18]",3.555911249091375,[[   3.25286238 2135.66360362]],6.610471316555094,[[   5.99234316 3837.22743657]]
4,-1.5,7.799201488494873,43.42592252492864,[[13.31868686 82.45535729]],6.808534622192383,44.16772766114428,[[24.71526316 84.08281841]],51.09935715211773,"[10.559858185319207, 82.57742021675995]",1.0182301235314978e+16,"[7190779521346668.0, 7.002066980546209e+18]",3.343298144444354,[[3.17880610e+00 3.45162542e+03]],5.822061836345487,[[5.48680426e+00 5.62732307e+03]],-1.5,7.799201488494873,43.42592252492864,[[13.31868686 82.45535729]],6.808534622192383,44.167727661144276,[[24.71526316 84.08281841]],51.09935715211773,"[10.559858185319207, 82.57742021675995]",1.0182301235314978e+16,"[7190779521346668.0, 7.002066980546209e+18]",3.343298144444354,[[3.17880610e+00 3.45162542e+03]],5.822061836345487,[[5.48680426e+00 5.62732307e+03]]
5,-1.8,9.581127166748049,40.43400102688961,[[13.7267158  76.43369258]],9.072969436645508,42.62867794038415,[[24.46009898 76.60202516]],47.95192865185568,"[11.265079773245631, 76.69999604770867]",2.077369613447966e+16,"[1.8143240305972708e+16, 8.389059213356432e+18]",7.634826574560284,[[   7.46950169 4907.51552625]],13.076251997172193,[[  12.74167593 7738.00250607]],-1.8,9.581127166748047,40.43400102688961,[[13.7267158  76.43369258]],9.072969436645508,42.62867794038415,[[24.46009898 76.60202516]],47.95192865185568,"[11.265079773245631, 76.69999604770867]",2.077369613447966e+16,"[1.8143240305972708e+16, 8.389059213356432e+18]",7.634826574560284,[[   7.46950169 4907.51552625]],13.076251997172191,[[  12.74167593 7738.00250607]]
6,-2.1,9.657830238342283,33.14333743814122,[[14.88689577 98.35082091]],7.087208271026611,30.37741541537621,[[ 20.28380062 103.4894957 ]],42.92348580674325,"[14.42778694457538, 96.3724479877062]",3685872125231524.0,"[2143049745494592.2, 4.684938026383661e+18]",1.6449546756081197,[[1.56656021e+00 4.16113523e+03]],2.7298151440531906,[[2.56940411e+00 5.93483717e+03]],-2.1,9.657830238342285,33.14333743814122,[[14.88689577 98.35082091]],7.087208271026611,30.37741541537621,[[ 20.28380062 103.4894957 ]],42.923485806743244,"[14.42778694457538, 96.3724479877062]",3685872125231524.0,"[2143049745494592.2, 4.684938026383661e+18]",1.6449546756081197,[[1.56656021e+00 4.16113523e+03]],2.7298151440531906,[[2.56940411e+00 5.93483717e+03]]
7,-2.4,11.518710136413574,33.15833928298196,[[ 18.84948216 103.42696046]],7.865490913391113,29.142908101050864,[[ 21.85066642 109.81807211]],44.34957120481587,"[18.180578925224562, 100.04277555986852]",3251290647747862.0,"[2114661871139588.2, 2.6383757930531784e+18]",1.3706461564576526,[[1.31674219e+00 2.68507709e+03]],2.296698231921067,[[2.18603331e+00 3.68005411e+03]],-2.4,11.518710136413574,33.15833928298196,[[ 18.84948216 103.42696046]],7.865490913391113,29.142908101050864,[[ 21.85066642 109.81807211]],44.34957120481587,"[18.180578925224562, 100.04277555986852]",3251290647747862.0,"[2114661871139588.2, 2.6383757930531784e+18]",1.3706461564576526,[[1.31674219e+00 2.68507709e+03]],2.296698231921067,[[2.18603331e+00 3.68005411e+03]]
8,-2.7,11.658109664916992,31.065504985797823,[[ 23.23541945 106.31535763]],9.64791774749756,26.31712031077553,[[ 22.38071222 113.43986169]],43.96856326485066,"[19.454810700999246, 101.22013668361775]",2664766469120031.0,"[2055924552498524.2, 2.311656917237526e+18]",1.140439315216956,[[1.11186895e+00 2.60558878e+03]],1.906141943169,[[1.84745776e+00 3.45581596e+03]],-2.7,11.658109664916992,31.065504985797826,[[ 23.23541945 106.31535763]],9.647917747497559,26.31712031077553,[[ 22.38071222 113.43986169]],43.96856326485066,"[19.454810700999246, 101.22013668361775]",2664766469120031.0,"[2055924552498524.2, 2.311656917237526e+18]",1.140439315216956,[[1.11186895e+00 2.60558878e+03]],1.9061419431689997,[[1.84745776e+00 3.45581596e+03]]
9,-3.0,12.343557357788086,29.163502696300693,[[ 25.85527357 111.85505399]],10.33341121673584,23.01260271953429,[[ 21.36846649 120.38402048]],46.17081670298241,"[23.42520834880347, 102.65908321022071]",2107089536739479.2,"[1849352494440639.2, 2.2433010780201057e+18]",0.8278017862540434,[[8.16269894e-01 2.83579345e+03]],1.4031182055540043,[[1.37937912e+00 3.61289304e+03]],-3.0,12.343557357788086,29.163502696300693,[[ 25.85527357 111.85505399]],10.33341121673584,23.01260271953429,[[ 21.36846649 120.38402048]],46.17081670298241,"[23.42520834880347, 102.65908321022071]",2107089536739479.0,"[1849352494440639.2, 2.2433010780201057e+18]",0.8278017862540434,[[8.16269894e-01 2.83579345e+03]],1.4031182055540043,[[1.37937912e+00 3.61289304e+03]]
