r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,bff_tb7,bff_err_tb7,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,bff_tb6,bff_err_tb6,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
-0.3,4.54207706451416,186.15241989743694,[[9.54938492 4.48454803]],0.012023020326141776,0.09,4.509018421173096,188.52932536005815,[[11.18413374  4.50513336]],0.012023020326141776,0.09,193.9963151619499,"[9.545139548442364, 4.486972326054229]",3.428680006666147e+17,"[1.8454105534133226e+17, 3.684262677819846e+17]",9.19004563330105,[[ 5.13070505 11.83596106]],19.310027217252653,[[10.76754063 24.71536265]]
-0.6,9.68992805480957,181.90274561174186,[[10.32338161  7.18980964]],0.042886173677061934,0.09,8.239550590515137,183.36831049163155,[[19.37771742  8.12123314]],0.042886173677061934,0.09,189.7470085412316,"[9.852067884358632, 7.191043596610598]",1.8894905854189098e+17,"[9.825621988093731e+16, 3.951081683413179e+17]",5.286970191942455,[[ 2.92611896 12.8353854 ]],11.092125250566893,[[ 6.12651863 26.78520759]]
-0.9,10.922607421875,128.55743587338105,[[11.08090588  8.68390974]],0.08888600786532541,0.09,8.531359672546387,86.84310812638098,[[8.78978911 7.30805706]],0.08888600786532541,0.09,171.2624185743492,"[24.42308980294422, 19.51014792954024]",2.173468689397845e+16,"[1989332015897256.0, 2136012048976264.0]",0.7417409270952227,[[0.19499703 0.35432668]],1.5446220462828035,[[0.3971208 0.709009 ]]
-1.2,8.140767097473145,55.31562297973764,[[13.25585882 10.31938084]],0.14686842268907851,0.09,4.83017635345459,30.67497578223938,[[ 8.88413285 11.86999273]],0.14686842268907851,0.09,151.5796611286033,"[44.05822374324502, 33.71261213340338]",5454215540114075.0,"[1046240283169085.0, 1019049050674728.0]",0.23558784690644632,[[0.10643157 0.30337989]],0.4857462435102976,[[0.21522459 0.58691787]]
-1.5,5.564485549926758,31.19226969792325,[[13.07127519  9.96333145]],0.21370406872963832,0.09,4.167293548583984,17.87160639229562,[[ 8.72228839 11.36908423]],0.21370406872963832,0.09,99.75116574690892,"[51.13841814244313, 64.0803313769776]",2188749525067595.5,"[588524273956019.5, 945862387350326.5]",0.21000680823203008,[[0.15050776 0.91450126]],0.4140238115368791,[[0.29055053 1.51900737]]
-1.8,6.699515342712402,27.633642366839002,[[11.33816676  8.67455629]],0.2863258809287944,0.09,5.0923027992248535,15.663909227967348,[[ 7.44296068 10.81423451]],0.2863258809287944,0.09,98.98060893238718,"[43.864559420988684, 61.61625999640518]",1881503338148243.5,"[472648439149246.75, 764644007923600.0]",0.18318713963510694,[[0.12874784 0.57570181]],0.36078164944243557,[[0.24799022 0.98539882]]
-2.1,9.85396671295166,31.5437223069367,[[5.25448986 4.69856864]],0.36184001352770456,0.09,8.318650245666504,20.581646900460587,[[5.87837062 5.22293192]],0.36184001352770456,0.09,68.11036402682103,"[19.33389251085041, 34.52272390148245]",2035640503660366.5,"[232369847340760.25, 489357425235760.5]",0.3974829804771313,[[0.23352178 0.50295945]],0.7374953663700918,[[0.41305916 0.81174964]]
-2.4,9.158965110778809,24.48441111741907,[[6.69381113 6.16969606]],0.43763741308150395,0.09,7.56005859375,15.3147961757136,[[5.82833519 6.58193987]],0.43763741308150395,0.09,68.09874997475802,"[22.259461197302876, 46.17319333187376]",1432754590972925.2,"[203485133489393.75, 519256280662691.75]",0.2798498823033313,[[0.18867087 0.49679441]],0.5192204006188796,[[0.33644668 0.79452456]]
-2.7,7.847309589385986,17.891994045451387,[[5.18924089 5.67294249]],0.5114821287208138,0.09,7.590163230895996,13.851452470058705,[[2.8106374  3.26242708]],0.5114821287208138,0.09,38.07362646134222,"[13.724268728887978, 18.469845400976602]",999147940242828.2,"[112597970008772.88, 343941552025606.5]",0.5482358835156481,[[0.30540967 0.9803887 ]],0.8756673112604836,[[0.4423565 1.1449106]]
-3.0,7.860769748687744,16.002233590293148,[[3.53052928 3.29225408]],0.5815673892199709,0.09,7.4080119132995605,11.744762354700491,[[2.98279501 2.4057321 ]],0.5815673892199709,0.09,40.57440583561739,"[13.396935511606014, 22.3635213091745]",822074468624312.9,"[90446451353732.12, 218912050943217.38]",0.4044394022910055,[[0.23939328 0.59263447]],0.6595975834911825,[[0.35813291 0.73202177]]
