,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,-0.3,2.9996085166931152,2.855626697844309,[[0.93188023 0.82572722]],1.916771411895752,1.9102054094211496,[[0.75118008 1.08637536]],39.93592306076616,"[18.269969204029604, 16.498889543014947]",112084343644834.77,"[28616367484436.062, 34428619275061.594]",0.0566695695257439,[[0.03372834 0.14246633]],0.0919539773184065,[[0.05103461 0.15483721]],-0.3,2.9996085166931152,2.855626697844309,[[0.93188023 0.82572722]],1.916771411895752,1.9102054094211498,[[0.75118008 1.08637536]],39.93592306076616,"[18.269969204029604, 16.498889543014947]",112084343644834.75,"[28616367484436.062, 34428619275061.594]",0.05666956952574395,[[0.03372834 0.14246633]],0.09195397731840653,[[0.05103461 0.15483721]]
1,-0.6,9.505992889404297,9.809856227541893,[[1.13805886 0.97284291]],6.791179180145264,6.784587488945212,[[1.38722856 1.35395015]],41.30511373360586,"[10.111246849471986, 13.023188516810748]",437291673574441.75,"[40769036337443.56, 52783409212288.75]",0.2086070542519199,[[0.09191223 0.16694072]],0.3421332834464034,[[0.13583486 0.21472576]],-0.6,9.505992889404297,9.809856227541891,[[1.13805886 0.97284291]],6.791179180145264,6.784587488945212,[[1.38722856 1.35395015]],41.305113733605864,"[10.111246849471986, 13.023188516810748]",437291673574441.75,"[40769036337443.56, 52783409212288.75]",0.20860705425191994,[[0.09191223 0.16694072]],0.3421332834464034,[[0.13583486 0.21472576]]
2,-0.9,10.6989107131958,11.063976869729071,[[1.77099639 1.55272715]],8.9989652633667,9.139627549731268,[[0.90615871 0.56210355]],29.7845799546844,"[5.846305979945942, 7.786563628284881]",562001743194638.5,"[38162663231091.31, 44812823632518.25]",0.4644867651681712,[[0.17047083 0.24453601]],0.6754996397195209,[[0.20800176 0.25335103]],-0.9,10.6989107131958,11.063976869729071,[[1.77099639 1.55272715]],8.9989652633667,9.139627549731268,[[0.90615871 0.56210355]],29.784579954684396,"[5.846305979945942, 7.786563628284881]",562001743194638.5,"[38162663231091.31, 44812823632518.25]",0.4644867651681712,[[0.17047083 0.24453601]],0.6754996397195209,[[0.20800176 0.25335103]]
3,-1.2,9.755528450012209,9.871322350945444,[[2.34802945 2.93034248]],9.22134780883789,9.319370457876255,[[1.20651268 1.61598696]],23.5586879485564,"[4.965362053712369, 5.5969170477181684]",587215661045832.2,"[52044087988413.06, 124493994676389.75]",0.7031699670938819,[[0.2452662  0.50493482]],0.9133488632083552,[[0.25355936 0.44665437]],-1.2,9.755528450012207,9.871322350945444,[[2.34802945 2.93034248]],9.22134780883789,9.319370457876255,[[1.20651268 1.61598696]],23.5586879485564,"[4.965362053712369, 5.5969170477181684]",587215661045832.2,"[52044087988413.06, 124493994676389.75]",0.7031699670938819,[[0.2452662  0.50493482]],0.9133488632083553,[[0.25355936 0.44665437]]
4,-1.5,7.152706623077393,7.768084213672284,[[1.53884133 0.93942402]],5.836849212646484,5.919823139290338,[[1.27443029 0.86864173]],32.521557257166904,"[9.197443874365359, 13.773328489006403]",341535126003013.7,"[33993629736212.25, 41719741083860.69]",0.2443198151503533,[[0.124066   0.22169289]],0.3684002800400711,[[0.16441797 0.23363597]],-1.5,7.152706623077393,7.768084213672284,[[1.53884133 0.93942402]],5.836849212646484,5.919823139290338,[[1.27443029 0.86864173]],32.521557257166904,"[9.197443874365359, 13.773328489006403]",341535126003013.7,"[33993629736212.25, 41719741083860.69]",0.24431981515035334,[[0.124066   0.22169289]],0.36840028004007114,[[0.16441797 0.23363597]]
5,-1.8,6.405479431152344,6.883310231705374,[[2.17502494 1.95737838]],5.9344258308410645,6.135366182850384,[[0.97331512 0.78703291]],24.44029018667424,"[7.428704667980568, 10.928394103984463]",337606832385751.75,"[35393978387830.94, 54381785375684.81]",0.382034166842033,[[0.19413641 0.37065195]],0.5059643089003648,[[0.2134973  0.28988523]],-1.8,6.405479431152344,6.883310231705374,[[2.17502494 1.95737838]],5.9344258308410645,6.135366182850384,[[0.97331512 0.78703291]],24.440290186674236,"[7.428704667980568, 10.928394103984463]",337606832385751.75,"[35393978387830.94, 54381785375684.81]",0.38203416684203306,[[0.19413641 0.37065195]],0.5059643089003648,[[0.2134973  0.28988523]]
6,-2.1,6.428050518035889,6.986294566171908,[[1.97563641 1.6551841 ]],5.806877613067627,5.995792581572619,[[1.07455924 0.71270924]],26.011322813268688,"[7.661382515841758, 12.015354821092952]",329865041707164.25,"[33968062642513.75, 47822857631336.81]",0.3386718259056936,[[0.17596995 0.31445119]],0.4628550862527159,[[0.20308867 0.26583085]],-2.1,6.428050518035889,6.986294566171908,[[1.97563641 1.6551841 ]],5.806877613067627,5.995792581572619,[[1.07455924 0.71270924]],26.011322813268688,"[7.661382515841758, 12.015354821092952]",329865041707164.25,"[33968062642513.75, 47822857631336.81]",0.33867182590569367,[[0.17596995 0.31445119]],0.46285508625271593,[[0.20308867 0.26583085]]
7,-2.4,9.95009708404541,9.973979076112483,[[1.36028962 1.02256252]],6.509674549102783,6.527857289838988,[[1.32163007 1.56102239]],47.435964853333815,"[11.858971461591253, 11.118151877743166]",449351725287758.3,"[49010160181486.31, 54305593584771.06]",0.1683306608547286,[[0.06537739 0.14172898]],0.2874574819839306,[[0.10228987 0.1961847 ]],-2.4,9.95009708404541,9.973979076112485,[[1.36028962 1.02256252]],6.509674549102783,6.527857289838988,[[1.32163007 1.56102239]],47.435964853333815,"[11.858971461591253, 11.118151877743166]",449351725287758.25,"[49010160181486.31, 54305593584771.06]",0.16833066085472867,[[0.06537739 0.14172898]],0.2874574819839306,[[0.10228987 0.1961847 ]]
8,-2.7,9.836066246032717,9.676176077560688,[[1.37776089 0.96972014]],6.170684814453125,6.258052607675667,[[1.27150524 1.51998737]],48.71917694954987,"[11.989111725348728, 10.669594831024227]",435590928147462.6,"[49425951560400.25, 50842165721212.5]",0.1556600288053012,[[0.05886311 0.12807012]],0.267735413910213,[[0.09309731 0.17988503]],-2.7,9.836066246032715,9.676176077560688,[[1.37776089 0.96972014]],6.170684814453125,6.258052607675667,[[1.27150524 1.51998737]],48.71917694954987,"[11.989111725348728, 10.669594831024227]",435590928147462.6,"[49425951560400.25, 50842165721212.5]",0.15566002880530122,[[0.05886311 0.12807012]],0.26773541391021305,[[0.09309731 0.17988503]]
9,-3.0,10.8198881149292,11.146848143026356,[[1.19793882 0.95536808]],7.732658863067627,7.734757062784121,[[1.42032874 1.35226816]],41.9429949716505,"[9.702018357033644, 12.041535547600759]",509980922901456.06,"[43035831278761.875, 54594256924543.44]",0.2369137765634001,[[0.09792145 0.1727972 ]],0.3904078474193991,[[0.14506382 0.22526417]],-3.0,10.8198881149292,11.146848143026357,[[1.19793882 0.95536808]],7.732658863067627,7.734757062784121,[[1.42032874 1.35226816]],41.9429949716505,"[9.702018357033644, 12.041535547600759]",509980922901456.06,"[43035831278761.875, 54594256924543.44]",0.23691377656340018,[[0.09792145 0.1727972 ]],0.39040784741939916,[[0.14506382 0.22526417]]
