,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_err_prop_err,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_err_prop_err,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_err_prop_err,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_err_prop_err,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,-0.3,4.54207706451416,[[2.37719526 2.18104543]],4.509018421173096,[[1.07487436 1.03377881]],22.853819136837608,"[9.04575261931637, 14.413835888594846]",246750675354826.1,"[33896938235516.75, 65885263959812.75]",0.3094838156541771,[[0.18835498 0.47664993]],0.3953718728012552,[[0.20330811 0.30621295]],-0.3,4.54207706451416,[[2.37719526 2.18104543]],4.509018421173096,[[1.07487436 1.03377881]],22.853819136837608,"[9.04575261931637, 14.413835888594846]",246750675354826.06,"[33896938235516.75, 65885263959812.75]",0.30948381565417715,[[0.18835498 0.47664993]],0.39537187280125524,[[0.20330811 0.30621295]]
1,-0.6,9.68992805480957,[[1.82819587 1.53137361]],8.239550590515137,[[0.94676488 0.58804683]],29.15163933582137,"[6.340627109383373, 8.265583439162015]",501838075717865.6,"[37657840504382.19, 44889993065118.75]",0.4294775225005984,[[0.16711958 0.25820269]],0.6187934881090085,[[0.20222033 0.25881841]],-0.6,9.68992805480957,[[1.82819587 1.53137361]],8.239550590515137,[[0.94676488 0.58804683]],29.151639335821372,"[6.340627109383373, 8.265583439162015]",501838075717865.56,"[37657840504382.19, 44889993065118.75]",0.42947752250059845,[[0.16711958 0.25820269]],0.6187934881090085,[[0.20222033 0.25881841]]
2,-0.9,10.922607421875,[[1.48876878 1.13682845]],8.531359672546387,[[1.22657799 0.81999656]],34.72037832956483,"[7.161606190436807, 10.400787976707441]",539344967046594.8,"[37040658966862.0, 45197796864836.375]",0.3459289957378774,[[0.14046701 0.20165042]],0.5348077022718064,[[0.18881053 0.2344285 ]],-0.9,10.922607421875,[[1.48876878 1.13682845]],8.531359672546387,[[1.22657799 0.81999656]],34.72037832956483,"[7.161606190436807, 10.400787976707441]",539344967046594.75,"[37040658966862.0, 45197796864836.375]",0.3459289957378774,[[0.14046701 0.20165042]],0.5348077022718064,[[0.18881053 0.2344285 ]]
3,-1.2,8.758785247802734,[[1.18581371 1.05574217]],6.083094596862793,[[1.33192095 1.48306977]],42.47983790160261,"[11.578756243863783, 13.064468469034821]",394079760345472.5,"[41363545840843.0, 55057486454438.19]",0.1790765619693032,[[0.07931808 0.17047054]],0.296247556371145,[[0.11896647 0.22004651]],-1.2,8.758785247802734,[[1.18581371 1.05574217]],6.083094596862793,[[1.33192095 1.48306977]],42.47983790160261,"[11.578756243863783, 13.064468469034821]",394079760345472.5,"[41363545840843.0, 55057486454438.19]",0.17907656196930324,[[0.07931808 0.17047054]],0.296247556371145,[[0.11896647 0.22004651]]
4,-1.5,6.750086784362793,[[1.17037486 0.97909465]],4.705970764160156,[[1.19090002 1.41138052]],41.90586308601634,"[13.337274212463957, 14.085910052295588]",293854879557631.0,"[37817514740375.94, 47291974458503.31]",0.136721205908366,[[0.06534375 0.16492089]],0.2252401357852209,[[0.09815822 0.2054982 ]],-1.5,6.750086784362793,[[1.17037486 0.97909465]],4.705970764160156,[[1.19090002 1.41138052]],41.90586308601634,"[13.337274212463957, 14.085910052295588]",293854879557631.0,"[37817514740375.94, 47291974458503.31]",0.136721205908366,[[0.06534375 0.16492089]],0.22524013578522098,[[0.09815822 0.2054982 ]]
5,-1.8,6.699515342712402,[[1.25611484 0.89988147]],5.0923027992248535,[[1.28959684 1.19436489]],37.15833557310728,"[11.370264218076123, 15.5402826875669]",304153684109943.9,"[34738240707384.094, 44857738679025.375]",0.1739514613996189,[[0.09022137 0.18926906]],0.2755402207232409,[[0.12860594 0.21876646]],-1.8,6.699515342712402,[[1.25611484 0.89988147]],5.0923027992248535,[[1.28959684 1.19436489]],37.15833557310728,"[11.370264218076123, 15.5402826875669]",304153684109943.9,"[34738240707384.094, 44857738679025.375]",0.17395146139961895,[[0.09022137 0.18926906]],0.27554022072324097,[[0.12860594 0.21876646]]
6,-2.1,9.85396671295166,[[1.85728255 1.54544612]],8.318650245666504,[[0.93908763 0.60379437]],29.40899573711869,"[6.539193835511732, 8.309942929360513]",509256408824804.4,"[36507841122592.625, 46285207363910.81]",0.4296615344012234,[[0.16608966 0.2663802 ]],0.6214379678422524,[[0.20178476 0.26811413]],-2.1,9.85396671295166,[[1.85728255 1.54544612]],8.318650245666504,[[0.93908763 0.60379437]],29.40899573711869,"[6.539193835511732, 8.309942929360513]",509256408824804.4,"[36507841122592.625, 46285207363910.81]",0.4296615344012234,[[0.16608966 0.2663802 ]],0.6214379678422524,[[0.20178476 0.26811413]]
7,-2.4,12.326227188110352,[[1.32554496 0.97377905]],9.123547554016112,[[1.35467621 1.09937372]],39.39225963001861,"[7.849483890203668, 10.698835452475429]",604492488813157.5,"[40640539353197.75, 52240942129519.25]",0.3129126798946152,[[0.12109751 0.1812198 ]],0.5054876203143357,[[0.17315697 0.2305423 ]],-2.4,12.326227188110352,[[1.32554496 0.97377905]],9.123547554016113,[[1.35467621 1.09937372]],39.392259630018614,"[7.849483890203668, 10.698835452475429]",604492488813157.5,"[40640539353197.75, 52240942129519.25]",0.31291267989461524,[[0.12109751 0.1812198 ]],0.5054876203143357,[[0.17315697 0.2305423 ]]
8,-2.7,7.847309589385986,[[2.4910664  3.30039622]],7.590163230895996,[[1.26616479 1.75268064]],22.141366535680767,"[5.870458197055751, 7.15318489211116]",457486263175086.56,"[44925426215967.56, 129844439303553.56]",0.6019121604528558,[[0.25162515 0.59552942]],0.7553664916828978,[[0.2495907  0.46912377]],-2.7,7.847309589385986,[[2.4910664  3.30039622]],7.590163230895996,[[1.26616479 1.75268064]],22.141366535680767,"[5.870458197055751, 7.15318489211116]",457486263175086.56,"[44925426215967.56, 129844439303553.56]",0.6019121604528558,[[0.25162515 0.59552942]],0.7553664916828978,[[0.2495907  0.46912377]]
9,-3.0,7.860769748687744,[[2.52667707 2.88416603]],7.40801191329956,[[1.17173815 1.3149232 ]],23.16458442963119,"[6.501568633218724, 7.658341314959827]",442641750296878.5,"[41906248135763.44, 102825014908866.81]",0.543888704442275,[[0.23071315 0.5332746 ]],0.7000177326217616,[[0.23793136 0.42154556]],-3.0,7.860769748687744,[[2.52667707 2.88416603]],7.4080119132995605,[[1.17173815 1.3149232 ]],23.16458442963119,"[6.501568633218724, 7.658341314959827]",442641750296878.5,"[41906248135763.44, 102825014908866.81]",0.543888704442275,[[0.23071315 0.5332746 ]],0.7000177326217616,[[0.23793136 0.42154556]]
