,Unnamed: 0.1,Unnamed: 0,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r_prediction.1,Tb7_empkep_bs_err_qtls.1,Tb6_empkep_bs_fix_r.1,Tb6_empkep_bs_fix_r_prediction.1,Tb6_empkep_bs_err_qtls.1,Texe_bs_empkep_fix_r.1,Texe_err_bs_empkep_fix_r.1,Ncol_bs_empkep_fix_r.1,Ncol_err_bs_empkep_fix_r.1,Tau_nu_b6.1,Tau_nu_errs_b6.1,Tau_nu_b7.1,Tau_nu_errs_b7.1,r_empkep_bs_fix_r.2,Tb7_empkep_bs_fix_r.2,Tb7_empkep_bs_fix_r_prediction.2,Tb7_empkep_bs_err_qtls.2,Tb6_empkep_bs_fix_r.2,Tb6_empkep_bs_fix_r_prediction.2,Tb6_empkep_bs_err_qtls.2,Texe_bs_empkep_fix_r.2,Texe_err_bs_empkep_fix_r.2,Ncol_bs_empkep_fix_r.2,Ncol_err_bs_empkep_fix_r.2,Tau_nu_b6.2,Tau_nu_errs_b6.2,Tau_nu_b7.2,Tau_nu_errs_b7.2,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0,0,-0.3,4.54207706451416,5.22018149597077,[[2.66546412 2.80779617]],4.509018421173096,4.785185280903904,[[1.19456592 1.46536979]],22.84276495445495,"[9.86554109125574, 16.565881408467312]",250268411453942.16,"[35491842031511.78, 95550456061740.1]",0.3141264740812331,[[0.20302773 0.62251962]],0.4011953060596189,[[0.22169898 0.38824729]],-0.3,4.54207706451416,5.22018149597077,[[2.66546412 2.80779617]],4.509018421173096,4.785185280903904,[[1.19456592 1.46536979]],22.84276495445495,"[9.86554109125574, 16.565881408467312]",250268411453942.16,"[35491842031511.78, 95550456061740.1]",0.3141264740812331,[[0.20302773 0.62251962]],0.4011953060596189,[[0.22169898 0.38824729]],-0.3,4.54207706451416,5.22018149597077,[[2.66546412 2.80779617]],4.509018421173096,4.785185280903904,[[1.19456592 1.46536979]],22.84276495445495,"[9.86554109125574, 16.565881408467312]",250268411453942.16,"[35491842031511.78, 95550456061740.1]",0.3141264740812331,[[0.20302773 0.62251962]],0.4011953060596189,[[0.22169898 0.38824729]],-0.3,4.54207706451416,5.759263491241446,[[1.5796933  1.56227427]],4.509018421173096,3.975164622960461,[[1.6129314  1.76347676]],38.79243312871934,"[15.83849664088796, 31.023116987581034]",237415839774007.75,"[37305191325254.375, 73666906037052.62]",0.1261722651595087,[[0.08883304 0.26141725]],0.2027944900765773,[[0.13319097 0.29355798]]
1,1,1,-0.6,9.68992805480957,10.075024002067352,[[1.82052207 1.59744351]],8.239550590515137,8.391230882044374,[[0.95768601 0.58873902]],28.83938522860277,"[6.201474875358208, 8.77713676558956]",502824796362440.1,"[36974962852665.81, 45140987948120.625]",0.4378818302440015,[[0.17695049 0.25935669]],0.6279159454408146,[[0.21285257 0.25812356]],-0.6,9.68992805480957,10.075024002067352,[[1.82052207 1.59744351]],8.239550590515137,8.391230882044374,[[0.95768601 0.58873902]],28.83938522860277,"[6.201474875358208, 8.77713676558956]",502824796362440.1,"[36974962852665.81, 45140987948120.625]",0.4378818302440015,[[0.17695049 0.25935669]],0.6279159454408146,[[0.21285257 0.25812356]],-0.6,9.68992805480957,10.075024002067352,[[1.82052207 1.59744351]],8.239550590515137,8.391230882044374,[[0.95768601 0.58873902]],28.83938522860277,"[6.201474875358208, 8.77713676558956]",502824796362440.1,"[36974962852665.81, 45140987948120.625]",0.4378818302440015,[[0.17695049 0.25935669]],0.6279159454408146,[[0.21285257 0.25812356]],-0.6,9.68992805480957,11.07327216653003,[[1.98467762 1.81645184]],8.239550590515137,7.235492465909953,[[1.98354264 2.27347383]],48.52761485813769,"[13.039949799328731, 20.67850237460228]",509102958871378.25,"[56400712157658.5, 101256339621544.62]",0.1832023197051828,[[0.09735919 0.19414083]],0.31477812517448545,[[0.15502143 0.2732805 ]]
2,2,2,-0.9,10.922607421875,11.408299732480549,[[1.56952949 1.14504452]],8.531359672546387,8.640327279811162,[[1.28593207 0.86099492]],35.06953346840403,"[7.6252659123765305, 10.807665262569962]",542098301632043.4,"[38849334349142.5, 47224032793270.06]",0.3418976818561411,[[0.14196097 0.21384199]],0.5305252505852672,[[0.19224035 0.24866842]],-0.9,10.922607421875,11.408299732480549,[[1.56952949 1.14504452]],8.531359672546387,8.640327279811162,[[1.28593207 0.86099492]],35.06953346840403,"[7.6252659123765305, 10.807665262569962]",542098301632043.4,"[38849334349142.5, 47224032793270.06]",0.3418976818561411,[[0.14196097 0.21384199]],0.5305252505852672,[[0.19224035 0.24866842]],-0.9,10.922607421875,11.408299732480549,[[1.56952949 1.14504452]],8.531359672546387,8.640327279811162,[[1.28593207 0.86099492]],35.06953346840403,"[7.6252659123765305, 10.807665262569962]",542098301632043.4,"[38849334349142.5, 47224032793270.06]",0.3418976818561411,[[0.14196097 0.21384199]],0.5305252505852672,[[0.19224035 0.24866842]],-0.9,10.922607421875,12.25019871328287,[[2.7109276  2.46685985]],8.531359672546387,7.466011744080213,[[2.16905172 2.75129123]],60.49875913858109,"[15.91402997821099, 21.78530687769863]",600039537829807.4,"[81600969386258.25, 120855557468038.0]",0.14544353192437834,[[0.07407619 0.15566775]],0.26345910624318736,[[0.12661164 0.24186791]]
3,3,3,-1.2,8.758785247802734,9.313974587978276,[[2.09205643 1.95278757]],6.083094596862793,6.025416700196471,[[1.92666072 2.4429421 ]],48.39062576916695,"[15.72071546759203, 23.734404501711865]",416536636700109.94,"[55988742163196.94, 102883122671736.56]",0.1506432403135573,[[0.08728016 0.2181337 ]],0.2586399210572085,[[0.13981887 0.29842055]],-1.2,8.758785247802734,9.313974587978276,[[2.09205643 1.95278757]],6.083094596862793,6.025416700196471,[[1.92666072 2.4429421 ]],48.39062576916695,"[15.72071546759203, 23.734404501711865]",416536636700109.94,"[55988742163196.94, 102883122671736.56]",0.1506432403135573,[[0.08728016 0.2181337 ]],0.2586399210572085,[[0.13981887 0.29842055]],-1.2,8.758785247802734,9.313974587978276,[[2.09205643 1.95278757]],6.083094596862793,6.025416700196471,[[1.92666072 2.4429421 ]],48.39062576916695,"[15.72071546759203, 23.734404501711865]",416536636700109.94,"[55988742163196.94, 102883122671736.56]",0.1506432403135573,[[0.08728016 0.2181337 ]],0.2586399210572085,[[0.13981887 0.29842055]],-1.2,8.758785247802734,9.470535878251633,[[2.50858838 2.62288266]],6.083094596862793,5.462129849980846,[[1.69857559 2.46573912]],70.15459243628935,"[21.203906392862038, 19.660949922314245]",476217348009887.56,"[86029781612782.69, 89474507453140.31]",0.08807067894273811,[[0.04246677 0.11239209]],0.16431919159686592,[[0.0757038 0.1809102]]
4,4,4,-1.5,6.750086784362793,7.231462851826177,[[2.07244419 1.82624903]],4.705970764160156,4.55002731157388,[[1.69889163 2.38485482]],50.54359596760774,"[18.789277872221817, 27.7707041265038]",316677886087921.94,"[52456259371501.59, 90130946608578.12]",0.1060219954777994,[[0.06614705 0.19671077]],0.1841145024231974,[[0.10826513 0.26803941]],-1.5,6.750086784362793,7.231462851826177,[[2.07244419 1.82624903]],4.705970764160156,4.55002731157388,[[1.69889163 2.38485482]],50.54359596760774,"[18.789277872221817, 27.7707041265038]",316677886087921.94,"[52456259371501.59, 90130946608578.12]",0.1060219954777994,[[0.06614705 0.19671077]],0.1841145024231974,[[0.10826513 0.26803941]],-1.5,6.750086784362793,7.231462851826177,[[2.07244419 1.82624903]],4.705970764160156,4.55002731157388,[[1.69889163 2.38485482]],50.54359596760774,"[18.789277872221817, 27.7707041265038]",316677886087921.94,"[52456259371501.59, 90130946608578.12]",0.1060219954777994,[[0.06614705 0.19671077]],0.1841145024231974,[[0.10826513 0.26803941]],-1.5,6.750086784362793,7.325640306856494,[[2.23850746 2.48248634]],4.705970764160156,4.253569915067615,[[1.51217201 2.47051208]],66.0294785769527,"[23.87116798365542, 22.51129904534072]",351669014788556.6,"[72407078211481.16, 85460174635299.31]",0.07268380698792495,[[0.03915869 0.1285916 ]],0.13404983580012986,[[0.06904142 0.1981512 ]]
5,5,5,-1.8,6.699515342712402,7.366244770792868,[[1.63201254 1.61807692]],5.0923027992248535,5.043318941958848,[[1.74556408 1.89608943]],40.59251895408787,"[14.12158045643488, 26.155889734333364]",313365428283000.1,"[40876767974133.03, 80817478898805.81]",0.1540490942422564,[[0.09883574 0.23962374]],0.2512732735926311,[[0.14922784 0.29134339]],-1.8,6.699515342712402,7.366244770792868,[[1.63201254 1.61807692]],5.0923027992248535,5.043318941958848,[[1.74556408 1.89608943]],40.59251895408787,"[14.12158045643488, 26.155889734333364]",313365428283000.1,"[40876767974133.03, 80817478898805.81]",0.1540490942422564,[[0.09883574 0.23962374]],0.2512732735926311,[[0.14922784 0.29134339]],-1.8,6.699515342712402,7.366244770792868,[[1.63201254 1.61807692]],5.0923027992248535,5.043318941958848,[[1.74556408 1.89608943]],40.59251895408787,"[14.12158045643488, 26.155889734333364]",313365428283000.1,"[40876767974133.03, 80817478898805.81]",0.1540490942422564,[[0.09883574 0.23962374]],0.2512732735926311,[[0.14922784 0.29134339]],-1.8,6.699515342712402,7.5753938691750236,[[2.34286778 2.3412312 ]],5.0923027992248535,4.481116889788765,[[1.64899207 2.55720385]],61.94895820167586,"[22.908174092948926, 24.8169529508369]",355225047389741.2,"[71128695903772.06, 89222389444215.94]",0.08247740033327758,[[0.04705488 0.15115211]],0.15015350838899394,[[0.08167247 0.22614881]]
6,6,6,-2.1,9.85396671295166,10.26212744444108,[[1.78234064 1.52118705]],8.318650245666504,8.450991923465098,[[0.93628294 0.59224141]],29.50052030427928,"[6.336755402570091, 8.347722520455985]",508628968257435.8,"[35845113432379.44, 45314401500994.0]",0.4269734770464736,[[0.16491488 0.25371195]],0.6183833607518513,[[0.20065302 0.25768308]],-2.1,9.85396671295166,10.26212744444108,[[1.78234064 1.52118705]],8.318650245666504,8.450991923465098,[[0.93628294 0.59224141]],29.50052030427928,"[6.336755402570091, 8.347722520455985]",508628968257435.8,"[35845113432379.44, 45314401500994.0]",0.4269734770464736,[[0.16491488 0.25371195]],0.6183833607518513,[[0.20065302 0.25768308]],-2.1,9.85396671295166,10.26212744444108,[[1.78234064 1.52118705]],8.318650245666504,8.450991923465098,[[0.93628294 0.59224141]],29.50052030427928,"[6.336755402570091, 8.347722520455985]",508628968257435.8,"[35845113432379.44, 45314401500994.0]",0.4269734770464736,[[0.16491488 0.25371195]],0.6183833607518513,[[0.20065302 0.25768308]],-2.1,9.85396671295166,11.286589208856304,[[2.07637891 1.91217101]],8.318650245666504,7.342743403330158,[[2.04029821 2.3530778 ]],49.26666243695321,"[12.951123818963381, 21.081505893048515]",521663717182245.75,"[59074441887264.75, 107305543072970.25]",0.18276558189395994,[[0.09764779 0.19122744]],0.31528591908912473,[[0.15639507 0.2723831 ]]
7,7,7,-2.4,12.326227188110352,12.755506358460613,[[1.36001498 1.02115684]],9.123547554016112,9.16744998763336,[[1.51256805 1.21350979]],39.93594180077831,"[8.095452794301668, 12.204287870057875]",607353874760308.1,"[43774793164593.75, 59293262550109.75]",0.3070763831460203,[[0.1285613  0.18680547]],0.4982726934668751,[[0.18582781 0.24018238]],-2.4,12.326227188110352,12.755506358460613,[[1.36001498 1.02115684]],9.123547554016112,9.16744998763336,[[1.51256805 1.21350979]],39.93594180077831,"[8.095452794301668, 12.204287870057875]",607353874760308.1,"[43774793164593.75, 59293262550109.75]",0.3070763831460203,[[0.1285613  0.18680547]],0.4982726934668751,[[0.18582781 0.24018238]],-2.4,12.326227188110352,12.755506358460613,[[1.36001498 1.02115684]],9.123547554016112,9.16744998763336,[[1.51256805 1.21350979]],39.93594180077831,"[8.095452794301668, 12.204287870057875]",607353874760308.1,"[43774793164593.75, 59293262550109.75]",0.3070763831460203,[[0.1285613  0.18680547]],0.4982726934668751,[[0.18582781 0.24018238]],-2.4,12.326227188110352,13.73565497025889,[[3.0334402  2.78135945]],9.123547554016113,8.11933342206111,[[2.23929932 2.85698295]],68.63482856263388,"[17.655297757650672, 19.405456353060273]",713296907933905.9,"[105025782598150.75, 120490104725233.12]",0.13733280519414748,[[0.0635314  0.13758263]],0.2551811444196129,[[0.11219293 0.22327511]]
8,8,8,-2.7,7.847309589385986,7.910413014619795,[[2.46009259 3.39376764]],7.590163230895996,7.724944899239387,[[1.2967618  1.87475313]],21.63024156317195,"[5.606958580217608, 6.943128945341982]",461069577614727.7,"[45228091773411.875, 136258523920427.31]",0.6282159335425597,[[0.26062799 0.61465823]],0.7778047352950634,[[0.25285791 0.47817857]],-2.7,7.847309589385986,7.910413014619795,[[2.46009259 3.39376764]],7.590163230895996,7.724944899239387,[[1.2967618  1.87475313]],21.63024156317195,"[5.606958580217608, 6.943128945341982]",461069577614727.7,"[45228091773411.875, 136258523920427.31]",0.6282159335425597,[[0.26062799 0.61465823]],0.7778047352950634,[[0.25285791 0.47817857]],-2.7,7.847309589385986,7.910413014619795,[[2.46009259 3.39376764]],7.590163230895996,7.724944899239387,[[1.2967618  1.87475313]],21.63024156317195,"[5.606958580217608, 6.943128945341982]",461069577614727.7,"[45228091773411.875, 136258523920427.31]",0.6282159335425597,[[0.26062799 0.61465823]],0.7778047352950634,[[0.25285791 0.47817857]],-2.7,7.847309589385986,9.191835073135996,[[1.51990409 1.09000824]],7.590163230895996,6.813398677655118,[[1.54570969 1.19472421]],35.19324596859544,"[9.312314886230912, 16.20116989247822]",411523752787345.6,"[37984165812752.69, 59940154325169.25]",0.2580119996332753,[[0.13661363 0.22988213]],0.4008749544159925,[[0.18916258 0.26427684]]
9,9,9,-3.0,7.860769748687744,8.086085023699782,[[2.31984049 2.71946009]],7.40801191329956,7.575220270412724,[[1.07821247 1.13796856]],23.08209618602301,"[5.948623201509523, 7.823027250131776]",442556101789845.0,"[41409453767547.31, 89362813095234.81]",0.5467465213733215,[[0.23461571 0.4647437 ]],0.7023210433552511,[[0.24126726 0.37278261]],-3.0,7.860769748687744,8.086085023699782,[[2.31984049 2.71946009]],7.40801191329956,7.575220270412724,[[1.07821247 1.13796856]],23.08209618602301,"[5.948623201509523, 7.823027250131776]",442556101789845.0,"[41409453767547.31, 89362813095234.81]",0.5467465213733215,[[0.23461571 0.4647437 ]],0.7023210433552511,[[0.24126726 0.37278261]],-3.0,7.860769748687744,8.086085023699782,[[2.31984049 2.71946009]],7.40801191329956,7.575220270412724,[[1.07821247 1.13796856]],23.08209618602301,"[5.948623201509523, 7.823027250131776]",442556101789845.0,"[41409453767547.31, 89362813095234.81]",0.5467465213733215,[[0.23461571 0.4647437 ]],0.7023210433552511,[[0.24126726 0.37278261]],-3.0,7.860769748687744,9.226019014687123,[[1.48364295 1.18233915]],7.4080119132995605,6.624033493995941,[[1.62035702 1.4134326 ]],37.63062009480197,"[10.676581495006133, 17.247769808163937]",408868212008920.56,"[40562018488486.375, 65056716919731.69]",0.22886874608516583,[[0.1224194  0.23106432]],0.3641080690329721,[[0.17547155 0.27533101]]
