,Unnamed: 0,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r.1,Tb7_empkep_bs_fix_r_prediction.1,Tb7_empkep_bs_err_qtls.1,Tb6_empkep_bs_fix_r.1,Tb6_empkep_bs_fix_r_prediction.1,Tb6_empkep_bs_err_qtls.1,Texe_bs_empkep_fix_r.1,Texe_err_bs_empkep_fix_r.1,Ncol_bs_empkep_fix_r.1,Ncol_err_bs_empkep_fix_r.1,Tau_nu_b6.1,Tau_nu_errs_b6.1,Tau_nu_b7.1,Tau_nu_errs_b7.1,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0,-0.3,2.811335563659668,2.6103828338604584,[[1.12498461 1.40805506]],1.777911901473999,1.518714268930225,[[0.72528794 1.47826019]],60.660617968679794,"[28.70541953012557, 26.765982116746265]",115407502950714.12,"[36348087298753.55, 45946134904790.69]",0.0278383493536372,[[0.01811971 0.09099193]],0.0504557796325614,[[0.03164574 0.12747676]],-0.3,2.811335563659668,2.6103828338604584,[[1.12498461 1.40805506]],1.777911901473999,1.518714268930225,[[0.72528794 1.47826019]],60.660617968679794,"[28.70541953012557, 26.765982116746265]",115407502950714.12,"[36348087298753.55, 45946134904790.69]",0.0278383493536372,[[0.01811971 0.09099193]],0.0504557796325614,[[0.03164574 0.12747676]],-0.3,2.811335563659668,2.6103828338604584,[[1.12498461 1.40805506]],1.777911901473999,1.5187142689302253,[[0.72528794 1.47826019]],60.660617968679794,"[28.70541953012557, 26.765982116746265]",115407502950714.12,"[36348087298753.55, 45946134904790.69]",0.027838349353637278,[[0.01811971 0.09099193]],0.05045577963256141,[[0.03164574 0.12747676]]
1,1,-0.6,8.488299369812012,9.45493484476942,[[2.65477466 2.61582847]],6.160837650299072,5.526845405242221,[[1.84383798 2.65721481]],66.674830254494,"[21.686002654143607, 22.047662752701555]",465227744261975.7,"[87236303879965.81, 96285362448419.75]",0.094457930209431,[[0.04925431 0.13640723]],0.1745398031484814,[[0.08685922 0.213909  ]],-0.6,8.488299369812012,9.45493484476942,[[2.65477466 2.61582847]],6.160837650299072,5.526845405242221,[[1.84383798 2.65721481]],66.674830254494,"[21.686002654143607, 22.047662752701555]",465227744261975.7,"[87236303879965.81, 96285362448419.75]",0.094457930209431,[[0.04925431 0.13640723]],0.1745398031484814,[[0.08685922 0.213909  ]],-0.6,8.488299369812012,9.454934844769419,[[2.65477466 2.61582847]],6.160837650299072,5.526845405242221,[[1.84383798 2.65721481]],66.674830254494,"[21.686002654143607, 22.047662752701555]",465227744261975.7,"[87236303879965.81, 96285362448419.75]",0.094457930209431,[[0.04925431 0.13640723]],0.17453980314848141,[[0.08685922 0.213909  ]]
2,2,-0.9,9.474271774291992,10.83666757811309,[[2.22021909 1.86953036]],7.923590660095215,6.938734038434058,[[2.03775555 2.41048538]],51.05248572398651,"[14.48491403354538, 22.063568516585647]",500264802002753.3,"[62081608755209.94, 102908979802234.69]",0.1645275244155063,[[0.08943511 0.18995055]],0.2864436877593266,[[0.14528256 0.27192142]],-0.9,9.474271774291992,10.83666757811309,[[2.22021909 1.86953036]],7.923590660095215,6.938734038434058,[[2.03775555 2.41048538]],51.05248572398651,"[14.48491403354538, 22.063568516585647]",500264802002753.3,"[62081608755209.94, 102908979802234.69]",0.1645275244155063,[[0.08943511 0.18995055]],0.2864436877593266,[[0.14528256 0.27192142]],-0.9,9.474271774291992,10.83666757811309,[[2.22021909 1.86953036]],7.923590660095215,6.938734038434058,[[2.03775555 2.41048538]],51.05248572398651,"[14.48491403354538, 22.063568516585647]",500264802002753.3,"[62081608755209.94, 102908979802234.69]",0.16452752441550636,[[0.08943511 0.18995055]],0.28644368775932666,[[0.14528256 0.27192142]]
3,3,-1.2,7.8979339599609375,9.158502647538269,[[2.01424567 1.86833561]],6.835914611816406,6.000084990546648,[[1.94037901 2.27419357]],46.671485583260704,"[14.153637800185422, 24.996105314503808]",406442992055541.2,"[51093882179858.94, 98093122247812.88]",0.1566774509525247,[[0.09349135 0.20431464]],0.2663657592353849,[[0.14801294 0.27793561]],-1.2,7.8979339599609375,9.158502647538269,[[2.01424567 1.86833561]],6.835914611816406,6.000084990546648,[[1.94037901 2.27419357]],46.671485583260704,"[14.153637800185422, 24.996105314503808]",406442992055541.2,"[51093882179858.94, 98093122247812.88]",0.1566774509525247,[[0.09349135 0.20431464]],0.2663657592353849,[[0.14801294 0.27793561]],-1.2,7.8979339599609375,9.158502647538269,[[2.01424567 1.86833561]],6.835914611816406,6.000084990546648,[[1.94037901 2.27419357]],46.671485583260704,"[14.153637800185422, 24.996105314503808]",406442992055541.2,"[51093882179858.94, 98093122247812.88]",0.1566774509525247,[[0.09349135 0.20431464]],0.2663657592353849,[[0.14801294 0.27793561]]
4,4,-1.5,6.899759769439697,7.518864542878089,[[2.24660116 2.39788765]],4.978403568267822,4.37744521993127,[[1.53326018 2.36985143]],65.57665815515648,"[22.575163347960498, 22.74293519415356]",360561003918578.8,"[71216200764170.12, 82431917087402.31]",0.0754653793390861,[[0.04056677 0.12161296]],0.1389908270457313,[[0.07134405 0.18824061]],-1.5,6.899759769439697,7.518864542878089,[[2.24660116 2.39788765]],4.978403568267822,4.37744521993127,[[1.53326018 2.36985143]],65.57665815515648,"[22.575163347960498, 22.74293519415356]",360561003918578.8,"[71216200764170.12, 82431917087402.31]",0.0754653793390861,[[0.04056677 0.12161296]],0.1389908270457313,[[0.07134405 0.18824061]],-1.5,6.899759769439697,7.518864542878089,[[2.24660116 2.39788765]],4.978403568267822,4.37744521993127,[[1.53326018 2.36985143]],65.57665815515648,"[22.575163347960498, 22.74293519415356]",360561003918578.8,"[71216200764170.12, 82431917087402.31]",0.07546537933908619,[[0.04056677 0.12161296]],0.13899082704573132,[[0.07134405 0.18824061]]
5,5,-1.8,9.581127166748049,10.95784254869058,[[1.4537186  1.05771649]],9.072969436645508,8.131351826903373,[[1.42363865 1.02556663]],36.21607256567421,"[8.027312801126527, 12.700768063158868]",509724559895180.7,"[39007307647192.06, 51581040777382.0]",0.304498602811902,[[0.13748734 0.20261255]],0.4780049721804559,[[0.19043707 0.24179133]],-1.8,9.581127166748049,10.95784254869058,[[1.4537186  1.05771649]],9.072969436645508,8.131351826903373,[[1.42363865 1.02556663]],36.21607256567421,"[8.027312801126527, 12.700768063158868]",509724559895180.7,"[39007307647192.06, 51581040777382.0]",0.304498602811902,[[0.13748734 0.20261255]],0.4780049721804559,[[0.19043707 0.24179133]],-1.8,9.581127166748047,10.957842548690579,[[1.4537186  1.05771649]],9.072969436645508,8.131351826903373,[[1.42363865 1.02556663]],36.21607256567421,"[8.027312801126527, 12.700768063158868]",509724559895180.7,"[39007307647192.06, 51581040777382.0]",0.30449860281190205,[[0.13748734 0.20261255]],0.4780049721804559,[[0.19043707 0.24179133]]
6,6,-2.1,9.657830238342283,10.759618088956408,[[2.77189081 2.7241748 ]],7.087208271026611,6.3020261034356855,[[1.95029675 2.78884576]],67.6063716498471,"[20.884698267748654, 20.20801976696994]",539257273908407.1,"[94343151411254.94, 104702403078670.56]",0.1067404088512797,[[0.05249889 0.14102696]],0.1977659946526323,[[0.09271457 0.22358614]],-2.1,9.657830238342283,10.759618088956408,[[2.77189081 2.7241748 ]],7.087208271026611,6.3020261034356855,[[1.95029675 2.78884576]],67.6063716498471,"[20.884698267748654, 20.20801976696994]",539257273908407.1,"[94343151411254.94, 104702403078670.56]",0.1067404088512797,[[0.05249889 0.14102696]],0.1977659946526323,[[0.09271457 0.22358614]],-2.1,9.657830238342285,10.759618088956408,[[2.77189081 2.7241748 ]],7.087208271026611,6.3020261034356855,[[1.95029675 2.78884576]],67.6063716498471,"[20.884698267748654, 20.20801976696994]",539257273908407.06,"[94343151411254.94, 104702403078670.56]",0.10674040885127971,[[0.05249889 0.14102696]],0.1977659946526323,[[0.09271457 0.22358614]]
7,7,-2.4,11.518710136413574,12.41081308447251,[[2.75097295 2.83063691]],7.865490913391113,7.112850455336605,[[1.87507479 2.56288373]],75.3868970919658,"[19.119103067784067, 16.98113734566317]",661486398184913.8,"[101362748095824.69, 100911650212228.38]",0.10713053616988,[[0.04501767 0.10353624]],0.202470219653292,[[0.08129    0.17303162]],-2.4,11.518710136413574,12.41081308447251,[[2.75097295 2.83063691]],7.865490913391113,7.112850455336605,[[1.87507479 2.56288373]],75.3868970919658,"[19.119103067784067, 16.98113734566317]",661486398184913.8,"[101362748095824.69, 100911650212228.38]",0.10713053616988,[[0.04501767 0.10353624]],0.202470219653292,[[0.08129    0.17303162]],-2.4,11.518710136413574,12.41081308447251,[[2.75097295 2.83063691]],7.865490913391113,7.112850455336605,[[1.87507479 2.56288373]],75.3868970919658,"[19.119103067784067, 16.98113734566317]",661486398184913.8,"[101362748095824.69, 100911650212228.38]",0.10713053616988004,[[0.04501767 0.10353624]],0.20247021965329207,[[0.08129    0.17303162]]
8,8,-2.7,11.658109664916992,13.252103610283076,[[2.16691401 2.09840733]],9.64791774749756,8.610698880351112,[[2.18337966 2.55505405]],51.0916443920365,"[12.63403373619763, 19.47414589604776]",634463848135638.8,"[67236960424731.625, 125510338075547.75]",0.2083784238263455,[[0.10459848 0.2015359 ]],0.3628589553748227,[[0.16902065 0.29408845]],-2.7,11.658109664916992,13.252103610283076,[[2.16691401 2.09840733]],9.64791774749756,8.610698880351112,[[2.18337966 2.55505405]],51.0916443920365,"[12.63403373619763, 19.47414589604776]",634463848135638.8,"[67236960424731.625, 125510338075547.75]",0.2083784238263455,[[0.10459848 0.2015359 ]],0.3628589553748227,[[0.16902065 0.29408845]],-2.7,11.658109664916992,13.252103610283076,[[2.16691401 2.09840733]],9.647917747497559,8.610698880351112,[[2.18337966 2.55505405]],51.0916443920365,"[12.63403373619763, 19.47414589604776]",634463848135638.8,"[67236960424731.625, 125510338075547.75]",0.20837842382634553,[[0.10459848 0.2015359 ]],0.36285895537482277,[[0.16902065 0.29408845]]
9,9,-3.0,12.343557357788086,13.93954586922356,[[1.82951961 1.76326952]],10.33341121673584,9.159427581962468,[[1.99627822 2.24644459]],50.20060076111909,"[11.56573444964527, 16.50605958528307]",673449882570785.5,"[61411636703195.75, 107843564140873.88]",0.2282121295635959,[[0.10405495 0.18990048]],0.395613341736434,[[0.16617378 0.27550284]],-3.0,12.343557357788086,13.93954586922356,[[1.82951961 1.76326952]],10.33341121673584,9.159427581962468,[[1.99627822 2.24644459]],50.20060076111909,"[11.56573444964527, 16.50605958528307]",673449882570785.5,"[61411636703195.75, 107843564140873.88]",0.2282121295635959,[[0.10405495 0.18990048]],0.395613341736434,[[0.16617378 0.27550284]],-3.0,12.343557357788086,13.939545869223561,[[1.82951961 1.76326952]],10.33341121673584,9.159427581962468,[[1.99627822 2.24644459]],50.20060076111909,"[11.56573444964527, 16.50605958528307]",673449882570785.5,"[61411636703195.75, 107843564140873.88]",0.22821212956359596,[[0.10405495 0.18990048]],0.39561334173643403,[[0.16617378 0.27550284]]
