,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r
0,-0.3,2.9996085166931152,1.916771411895752,36.80987811779491,"[22.544153458215767, 19.430758665856928]",1.1585637690447863e+21,"[3.3763039428753084e+20, 5.229002243823959e+20]",-0.3,2.9996085166931152,1.916771411895752,36.80987811779491,"[22.544153458215767, 19.430758665856928]",1.1585637690447863e+21,"[3.3763039428753084e+20, 5.229002243823959e+20]"
1,-0.6,9.505992889404297,6.791179180145264,40.19229237561997,"[13.314182310403762, 15.284512238532656]",4.429812732617222e+21,"[5.7874197666028585e+20, 6.873675261273162e+20]",-0.6,9.505992889404297,6.791179180145264,40.19229237561997,"[13.314182310403762, 15.284512238532656]",4.429812732617222e+21,"[5.7874197666028585e+20, 6.873675261273162e+20]"
2,-0.9,10.6989107131958,8.9989652633667,27.50945732922247,"[12.196842462376518, 16.010551054525216]",6.005533262404748e+21,"[8.986791389448037e+20, 1.1012628605891639e+23]",-0.9,10.6989107131958,8.9989652633667,27.50945732922247,"[12.196842462376518, 16.010551054525216]",6.005533262404748e+21,"[8.986791389448037e+20, 1.1012628605891639e+23]"
3,-1.2,9.755528450012209,9.22134780883789,16.08412069805265,"[1.7250022952876076, 13.630288501569432]",1.5011402509565282e+22,"[9.653571581922716e+21, 1.2294562284803958e+24]",-1.2,9.755528450012207,9.22134780883789,16.08412069805265,"[1.7250022952876076, 13.630288501569432]",1.5011402509565282e+22,"[9.653571581922716e+21, 1.2294562284803958e+24]"
4,-1.5,7.152706623077393,5.836849212646484,29.365938151570013,"[17.34131491048729, 18.645252906698488]",3.5829140067303733e+21,"[5.5440500176210625e+20, 1.6210846267116653e+22]",-1.5,7.152706623077393,5.836849212646484,29.365938151570013,"[17.34131491048729, 18.645252906698488]",3.5829140067303733e+21,"[5.5440500176210625e+20, 1.6210846267116653e+22]"
5,-1.8,6.405479431152344,5.9344258308410645,18.14317356878757,"[7.168986739885916, 18.17324741257512]",3.959063184442193e+21,"[9.334014551632133e+20, 5.316650374326599e+23]",-1.8,6.405479431152344,5.9344258308410645,18.14317356878757,"[7.168986739885916, 18.17324741257512]",3.9590631844421933e+21,"[9.334014551632133e+20, 5.316650374326599e+23]"
6,-2.1,6.428050518035889,5.806877613067627,20.973669148703397,"[9.99065729350454, 18.09497778373511]",3.660426959173762e+21,"[7.23595022317014e+20, 3.240866503145335e+23]",-2.1,6.428050518035889,5.806877613067627,20.973669148703394,"[9.99065729350454, 18.09497778373511]",3.660426959173762e+21,"[7.23595022317014e+20, 3.240866503145335e+23]"
7,-2.4,9.95009708404541,6.509674549102783,44.70428682693522,"[14.1345611175724, 13.011496678245003]",4.4647518774803615e+21,"[5.918184307719678e+20, 7.137217526136696e+20]",-2.4,9.95009708404541,6.509674549102783,44.70428682693522,"[14.1345611175724, 13.011496678245003]",4.4647518774803615e+21,"[5.918184307719678e+20, 7.137217526136696e+20]"
8,-2.7,9.836066246032717,6.170684814453125,46.636994947030445,"[14.631695560434707, 12.279185017111587]",4.309933599893836e+21,"[5.8970555232461154e+20, 6.641327580325814e+20]",-2.7,9.836066246032715,6.170684814453125,46.636994947030445,"[14.631695560434707, 12.279185017111587]",4.3099335998938363e+21,"[5.8970555232461154e+20, 6.641327580325814e+20]"
9,-3.0,10.8198881149292,7.732658863067627,40.99883710078534,"[13.247607556954353, 14.6946300472977]",5.154875624769625e+21,"[6.412716780841075e+20, 7.935945990129865e+20]",-3.0,10.8198881149292,7.732658863067627,40.99883710078534,"[13.247607556954353, 14.6946300472977]",5.154875624769625e+21,"[6.412716780841075e+20, 7.935945990129865e+20]"
