,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r
0,-0.3,2.9996085166931152,1.916771411895752,44.07943209361743,"[15.344465179555144, 13.50353973718515]",1.241887678706096e+21,"[1.5446884562298457e+20, 2.357288173167305e+20]",-0.3,2.9996085166931152,1.916771411895752,44.07943209361743,"[15.344465179555144, 13.50353973718515]",1.241887678706096e+21,"[1.5446884562298457e+20, 2.357288173167305e+20]"
1,-0.6,9.505992889404297,6.791179180145264,40.80644958679688,"[10.90070041864179, 13.751151184582163]",4.3970318291262384e+21,"[4.2504789836527986e+20, 5.224340359264899e+20]",-0.6,9.505992889404297,6.791179180145264,40.80644958679688,"[10.90070041864179, 13.751151184582163]",4.3970318291262384e+21,"[4.2504789836527986e+20, 5.224340359264899e+20]"
2,-0.9,10.6989107131958,8.9989652633667,29.381938349581787,"[10.097388695767272, 11.520173136898535]",5.667860373611861e+21,"[6.027357073209924e+20, 2.0292593865753383e+21]",-0.9,10.6989107131958,8.9989652633667,29.381938349581787,"[10.097388695767272, 11.520173136898535]",5.667860373611861e+21,"[6.027357073209924e+20, 2.0292593865753383e+21]"
3,-1.2,9.755528450012209,9.22134780883789,18.080215577087053,"[3.1524753076795946, 10.311063997495737]",8.095265123228069e+21,"[2.862780612518715e+21, 8.744509694535758e+23]",-1.2,9.755528450012207,9.22134780883789,18.080215577087053,"[3.1524753076795946, 10.311063997495737]",8.095265123228069e+21,"[2.862780612518715e+21, 8.744509694535758e+23]"
4,-1.5,7.152706623077393,5.836849212646484,31.021258959507968,"[8.025819563721747, 11.89707509348495]",3.3364508840229224e+21,"[3.053941906764207e+20, 3.7964763860977215e+20]",-1.5,7.152706623077393,5.836849212646484,31.021258959507968,"[8.025819563721747, 11.89707509348495]",3.3364508840229224e+21,"[3.053941906764207e+20, 3.7964763860977215e+20]"
5,-1.8,6.405479431152344,5.9344258308410645,23.053173889394927,"[10.784462739036465, 7.7031009126854215]",3.2954083356319374e+21,"[3.816146087872949e+20, 1.352560714075169e+22]",-1.8,6.405479431152344,5.9344258308410645,23.053173889394927,"[10.784462739036465, 7.7031009126854215]",3.2954083356319374e+21,"[3.816146087872949e+20, 1.352560714075169e+22]"
6,-2.1,6.428050518035889,5.806877613067627,24.738877413608527,"[6.761249998083649, 8.607388408931648]",3.1897521323517537e+21,"[3.2462843155518744e+20, 6.690331588169134e+20]",-2.1,6.428050518035889,5.806877613067627,24.738877413608527,"[6.761249998083649, 8.607388408931648]",3.1897521323517537e+21,"[3.2462843155518744e+20, 6.690331588169134e+20]"
7,-2.4,9.95009708404541,6.509674549102783,46.34949492919782,"[12.277671250688783, 11.80406913533485]",4.507278256203928e+21,"[4.728533051176596e+20, 5.740102495251658e+20]",-2.4,9.95009708404541,6.509674549102783,46.34949492919782,"[12.277671250688783, 11.80406913533485]",4.507278256203928e+21,"[4.728533051176596e+20, 5.740102495251658e+20]"
8,-2.7,9.836066246032717,6.170684814453125,48.98576746200282,"[11.763468813046138, 10.542941631518673]",4.3781278069051433e+21,"[4.575800609734981e+20, 5.1702184186417984e+20]",-2.7,9.836066246032715,6.170684814453125,48.98576746200282,"[11.763468813046138, 10.542941631518673]",4.3781278069051433e+21,"[4.575800609734981e+20, 5.1702184186417984e+20]"
9,-3.0,10.8198881149292,7.732658863067627,41.38443046101008,"[11.198661221038261, 13.346187631315217]",5.121552214967195e+21,"[4.93723712585987e+20, 5.831820663855346e+20]",-3.0,10.8198881149292,7.732658863067627,41.38443046101008,"[11.198661221038261, 13.346187631315217]",5.121552214967195e+21,"[4.93723712585987e+20, 5.831820663855346e+20]"
