,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb6_empkep_bs_fix_r,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r
0,-0.3,6.010250091552734,1.7372779846191406,48.67163091897552,"[16.396624950530978, 11.587504438971209]",1.7686842760932667e+21,"[4.6348293399818115e+20, 5.248755217996385e+20]",-0.3,6.010250091552734,1.7372779846191406,48.671630918975524,"[16.396624950530978, 11.587504438971209]",1.7686842760932667e+21,"[4.6348293399818115e+20, 5.248755217996385e+20]"
1,-0.6,9.68992805480957,8.239550590515137,21.007790952383623,"[6.9006692326421994, 13.786169399819727]",6.049621302753816e+21,"[1.1012510458470843e+21, 1.7885636605401875e+23]",-0.6,9.68992805480957,8.239550590515137,21.007790952383623,"[6.9006692326421994, 13.786169399819727]",6.049621302753816e+21,"[1.1012510458470843e+21, 1.7885636605401875e+23]"
2,-0.9,10.922607421875,8.531359672546387,28.010181270187324,"[11.325194723208504, 16.061944630584918]",6.23567040215837e+21,"[9.345404820046752e+20, 2.3767319004011624e+21]",-0.9,10.922607421875,8.531359672546387,28.010181270187324,"[11.325194723208504, 16.061944630584918]",6.23567040215837e+21,"[9.345404820046752e+20, 2.3767319004011624e+21]"
3,-1.2,8.140767097473145,4.83017635345459,42.79486756233747,"[15.629405352701411, 15.066692230917745]",3.721037091313922e+21,"[6.613765577255016e+20, 8.409844040639468e+20]",-1.2,8.140767097473145,4.83017635345459,42.79486756233747,"[15.629405352701411, 15.066692230917745]",3.721037091313922e+21,"[6.613765577255016e+20, 8.409844040639468e+20]"
4,-1.5,5.564485549926758,4.167293548583984,28.159095431304564,"[17.38526098005884, 21.788420585838402]",2.7627016012919944e+21,"[5.635073603359906e+20, 1.4629501056990886e+21]",-1.5,5.564485549926758,4.167293548583984,28.159095431304564,"[17.38526098005884, 21.788420585838402]",2.7627016012919944e+21,"[5.635073603359906e+20, 1.4629501056990886e+21]"
5,-1.8,6.699515342712402,5.0923027992248535,28.627994897640622,"[13.505065227571398, 19.515187660056753]",3.359479912671525e+21,"[5.855030555029678e+20, 1.0087614933607703e+21]",-1.8,6.699515342712402,5.0923027992248535,28.627994897640626,"[13.505065227571398, 19.515187660056753]",3.359479912671525e+21,"[5.855030555029678e+20, 1.0087614933607703e+21]"
6,-2.1,9.85396671295166,8.318650245666504,21.19490311160544,"[7.012600426067536, 13.925220163326507]",6.120658238879822e+21,"[1.0983984772329306e+21, 1.9947519528191554e+23]",-2.1,9.85396671295166,8.318650245666504,21.19490311160544,"[7.012600426067536, 13.925220163326507]",6.120658238879822e+21,"[1.0983984772329306e+21, 1.9947519528191554e+23]"
7,-2.4,12.326227188110352,9.123547554016112,32.866138778930306,"[11.393690365552, 16.03712854378078]",6.919938521603476e+21,"[9.673955474130485e+20, 1.3594545500072979e+21]",-2.4,12.326227188110352,9.123547554016113,32.866138778930306,"[11.393690365552, 16.03712854378078]",6.919938521603476e+21,"[9.673955474130485e+20, 1.3594545500072979e+21]"
8,-2.7,7.847309589385986,7.590163230895996,13.803784455764252,"[1.3134457610383414, 7.8692793078947965]",1.6451852831945155e+22,"[1.186643237287967e+22, 1.1935599370177906e+24]",-2.7,7.847309589385986,7.590163230895996,13.803784455764252,"[1.3134457610383414, 7.8692793078947965]",1.6451852831945155e+22,"[1.186643237287967e+22, 1.1935599370177906e+24]"
9,-3.0,7.860769748687744,7.40801191329956,13.80131269964733,"[1.464325748988058, 9.704578139077366]",1.2414651398865946e+22,"[8.024446648440683e+21, 1.1277182265172289e+24]",-3.0,7.860769748687744,7.4080119132995605,13.80131269964733,"[1.464325748988058, 9.704578139077366]",1.2414651398865946e+22,"[8.024446648440683e+21, 1.1277182265172289e+24]"
