,Unnamed: 0,r_rlkep_bs,Tb7_rlkep_bs,Tb6_rlkep_bs,Texe_bs_rlkep,Texe_err_bs_rlkep,Ncol_bs_rlkep,Ncol_err_bs_rlkep,r_rlkep_bs_fix_r,Tb7_rlkep_bs_fix_r,Tb6_rlkep_bs_fix_r,Texe_bs_rlkep_fix_r,Texe_err_bs_rlkep_fix_r,Ncol_bs_rlkep_fix_r,Ncol_err_bs_rlkep_fix_r
0,0,-0.1385664265844137,0.3732672929763794,0.8975797891616821,32.54604926920784,"[20.412231029300592, 22.577036967981556]",362761904569416.8,"[362432069636361.7, 2.320232438503481e+16]",-0.3,1.8271080255508423,1.0389833450317383,35.02926517617597,"[21.883333417598873, 20.267966504816656]",3.030970413980162e+16,"[3.0264001460492892e+16, 3.148903583721578e+16]"
1,1,-0.1459044666301795,0.2633623778820038,0.4930086433887481,35.111258246729435,"[20.51130400645375, 20.7304141579339]",40989926823180.12,"[40851728302929.11, 6806024349387905.0]",-0.6,3.4720094203948975,3.154515266418457,14.789626701070034,"[7.1490147155239505, 24.839446144394906]",1.4587731336848813e+17,"[4.505694974935931e+16, 8.688108479020773e+19]"
2,2,-0.1538412229588723,-0.1711029559373855,0.0883047357201576,35.3139343352238,"[20.556536593939065, 20.70540301091698]",14378410216459.871,"[14273344857306.428, 1935304353414703.5]",-0.9,5.104020118713379,2.4810657501220703,43.16632210157312,"[17.885776378132213, 14.913065153498287]",1.314205320450838e+17,"[3.199400144997469e+16, 3.98306306759088e+16]"
3,3,-0.1624436451075676,0.9401220083236694,0.2260788381099701,36.43403232203632,"[21.102244454916068, 19.782807951238482]",35982389234604.44,"[35845677587771.47, 6452867419010334.0]",-1.2,3.5343780517578125,2.874920129776001,22.50512214462555,"[14.877904789630126, 25.70637459315601]",1.2681825614030131e+17,"[3.500139552946976e+16, 1.0152280191760364e+19]"
4,4,-0.1717883091175204,1.446494460105896,1.2293413877487185,30.683690493062137,"[21.223251810685536, 22.967865221349157]",3.587629141382144e+16,"[3.4731267378928576e+16, 3.4639247390286516e+16]",-1.5,2.495575428009033,2.0197105407714844,25.149612921330252,"[18.52524926598748, 25.661424598242597]",8.582893200238346e+16,"[2.8589591798381696e+16, 4.4571194899292897e+18]"
5,5,-0.1819631275688956,1.2680326700210571,0.234818622469902,35.753920951090834,"[20.86492682689129, 19.90573650079582]",43845985609704.47,"[43690486810444.63, 8413984225222528.0]",-1.8,2.034118413925171,1.0942795276641846,34.78292070401559,"[21.414927372936297, 20.188633816755143]",3.753496203594153e+16,"[3.626657419051723e+16, 3.191722330498976e+16]"
6,6,-0.1930694248493787,1.2969166040420532,1.0452589988708496,32.95739838916136,"[20.905514638386535, 21.696654007291635]",1.990720996785717e+16,"[1.9900122560574324e+16, 3.1868383841393996e+16]",-2.1,1.8263412714004517,1.2541908025741577,31.98436839351223,"[21.678532203740506, 22.339381371178593]",4.387192935217327e+16,"[3.3142296219804256e+16, 3.629135760903831e+16]"
7,7,-0.2052244694993272,0.373438149690628,0.5350130200386047,35.2320539778316,"[20.761773244457213, 20.444915404200444]",45827699787813.92,"[45691018138071.72, 8003691545122552.0]",-2.4,2.3540685176849365,0.17159169912338257,36.93507276619437,"[20.879050190669442, 19.123307776504305]",118200614342081.61,"[117965808039706.8, 1.7516209470207658e+16]"
8,8,-0.2185645824986884,0.1380849927663803,0.3591764867305755,34.98046801001465,"[20.263896435311146, 20.651436037668724]",27091948997597.91,"[26950278445398.547, 4365622641313197.0]",-2.7,3.681978464126587,1.616900086402893,41.14057303809574,"[20.54222978108011, 16.287812868563783]",8.42104840297221e+16,"[2.690463394536287e+16, 3.5501141829231104e+16]"
9,9,-0.233248976161408,0.7500066161155701,1.092973232269287,31.56619339909405,"[20.94731232563359, 22.30278866804254]",1.0032017571108078e+16,"[1.0030500458785682e+16, 3.4929804515979376e+16]",-3.0,1.6228070259094238,1.1813466548919678,32.34407125331562,"[21.364889229174878, 22.04888894555213]",3.5247724729322612e+16,"[3.486078353324812e+16, 3.4329838937733284e+16]"
