,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0.3,4.794351577758789,2.033801555633545,46.61790962556477,"[17.693244818072458, 13.091878723393506]",1.4917606276395526e+21,"[3.581628055473995e+20, 4.3159017603441544e+20]",0.3,4.794351577758789,2.033801555633545,46.617909625564764,"[17.693244818072458, 13.091878723393506]",1.4917606276395526e+21,"[3.581628055473995e+20, 4.3159017603441544e+20]"
1,0.6,10.349794387817385,7.570204257965088,39.36172698511726,"[13.14657541161393, 15.431417675032002]",4.988094364362245e+21,"[6.264924943158954e+20, 7.86423815235468e+20]",0.6,10.349794387817383,7.570204257965088,39.36172698511726,"[13.14657541161393, 15.431417675032002]",4.988094364362245e+21,"[6.264924943158954e+20, 7.86423815235468e+20]"
2,0.9,8.185954093933105,7.425683975219727,20.307089347211804,"[7.495244389146588, 16.230653256388447]",5.025662525875591e+21,"[1.0416618727180662e+21, 4.631442972207904e+23]",0.9,8.185954093933105,7.425683975219727,20.307089347211804,"[7.495244389146588, 16.230653256388447]",5.025662525875591e+21,"[1.0416618727180662e+21, 4.631442972207904e+23]"
3,1.2,5.336268901824951,4.456201553344727,27.7920832565898,"[17.930535077069063, 20.259850089455007]",2.669103103539271e+21,"[4.7455709254609666e+20, 4.984490906926476e+22]",1.2,5.336268901824951,4.456201553344727,27.792083256589798,"[17.930535077069063, 20.259850089455007]",2.669103103539271e+21,"[4.7455709254609666e+20, 4.984490906926476e+22]"
4,1.5,7.247902393341064,8.179085731506348,13.679500560970148,"[1.0754382174659582, 5.2717128275796235]",7.833470707189823e+22,"[7.31451114939508e+22, 2.0911977590527315e+24]",1.5,7.2479023933410645,8.179085731506348,13.679500560970148,"[1.0754382174659582, 5.2717128275796235]",7.833470707189823e+22,"[7.31451114939508e+22, 2.0911977590527315e+24]"
5,1.8,9.06441593170166,9.79521942138672,15.508237790627238,"[1.147690263028359, 4.764357408143482]",7.384317636505403e+22,"[6.711841485780409e+22, 2.037964160708958e+24]",1.8,9.06441593170166,9.795219421386719,15.508237790627238,"[1.147690263028359, 4.764357408143482]",7.384317636505403e+22,"[6.711841485780409e+22, 2.037964160708958e+24]"
6,2.1,11.17001724243164,9.781512260437012,22.51327654377977,"[6.972512537320759, 15.641880107328824]",7.22042358494758e+21,"[1.5002853479408541e+21, 5.612922979724744e+23]",2.1,11.17001724243164,9.781512260437012,22.513276543779774,"[6.972512537320759, 15.641880107328824]",7.22042358494758e+21,"[1.5002853479408541e+21, 5.612922979724744e+23]"
7,2.4,10.415026664733888,9.770057678222656,17.328687239362676,"[2.2493610750810458, 13.984258115148304]",1.13223321239525e+22,"[5.60804918857018e+21, 1.0427544866628665e+24]",2.4,10.415026664733887,9.770057678222656,17.328687239362676,"[2.2493610750810458, 13.984258115148304]",1.1322332123952499e+22,"[5.60804918857018e+21, 1.0427544866628665e+24]"
8,2.7,6.426898002624512,8.790343284606934,13.569881527496866,"[0.9706186853540739, 1.468076737346962]",1.311370665301502e+23,"[1.2207115444519191e+23, 2.461022243246156e+24]",2.7,6.426898002624512,8.790343284606934,13.569881527496866,"[0.9706186853540739, 1.468076737346962]",1.311370665301502e+23,"[1.2207115444519191e+23, 2.461022243246156e+24]"
9,3.0,5.233510494232178,8.1714448928833,12.626600733075495,"[0.8828197315788273, 1.2276211670262267]",1.411143784196972e+23,"[1.317223897401338e+23, 2.463901873701509e+24]",3.0,5.233510494232178,8.1714448928833,12.626600733075495,"[0.8828197315788273, 1.2276211670262267]",1.411143784196972e+23,"[1.317223897401338e+23, 2.463901873701509e+24]"
10,3.3,2.89752459526062,6.538307189941406,10.693044766814843,"[0.8705534504342154, 1.3743748919051288]",8.321179991474576e+22,"[7.747191253093518e+22, 2.1916516016110453e+24]",3.3,2.89752459526062,6.538307189941406,10.693044766814843,"[0.8705534504342154, 1.3743748919051288]",8.321179991474576e+22,"[7.747191253093518e+22, 2.1916516016110453e+24]"
11,3.6,2.884584903717041,6.566549777984619,10.702651532911243,"[0.8586352785304001, 1.299907802065432]",8.664479625781824e+22,"[8.077288140146377e+22, 2.1251179245701182e+24]",3.6,2.884584903717041,6.566549777984619,10.702651532911243,"[0.8586352785304001, 1.299907802065432]",8.664479625781824e+22,"[8.077288140146377e+22, 2.1251179245701182e+24]"
