,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0.3,4.794351577758789,2.033801555633545,48.84380925411875,"[16.808270730950312, 11.333972900266112]",1.520418696405877e+21,"[3.284984563308652e+20, 3.869055867255094e+20]",0.3,4.794351577758789,2.033801555633545,48.84380925411875,"[16.808270730950312, 11.333972900266112]",1.520418696405877e+21,"[3.284984563308652e+20, 3.869055867255094e+20]"
1,0.6,10.349794387817385,7.570204257965088,39.25453372971576,"[10.127830307018655, 12.383261252409639]",4.915844903439631e+21,"[4.237164058775037e+20, 5.883990372776757e+20]",0.6,10.349794387817383,7.570204257965088,39.25453372971576,"[10.127830307018655, 12.383261252409639]",4.915844903439631e+21,"[4.237164058775037e+20, 5.883990372776757e+20]"
2,0.9,8.185954093933105,7.425683975219727,21.57875621321072,"[8.96471377646243, 9.409566661529254]",4.664750939953898e+21,"[5.428343427699447e+20, 3.208385511722828e+23]",0.9,8.185954093933105,7.425683975219727,21.57875621321072,"[8.96471377646243, 9.409566661529254]",4.664750939953898e+21,"[5.428343427699447e+20, 3.208385511722828e+23]"
3,1.2,5.336268901824951,4.456201553344727,27.99145626883982,"[18.114844713342354, 18.504013488900128]",2.626434281155396e+21,"[3.842161931538014e+20, 2.002423781156523e+22]",1.2,5.336268901824951,4.456201553344727,27.99145626883982,"[18.114844713342354, 18.504013488900128]",2.6264342811553956e+21,"[3.842161931538014e+20, 2.002423781156523e+22]"
4,1.5,7.247902393341064,8.179085731506348,13.318413979789646,"[0.5845838435101651, 3.167065348410926]",1.020178707177052e+23,"[9.57707716704225e+22, 2.279418060328863e+24]",1.5,7.2479023933410645,8.179085731506348,13.318413979789646,"[0.5845838435101651, 3.167065348410926]",1.0201787071770521e+23,"[9.57707716704225e+22, 2.279418060328863e+24]"
5,1.8,9.06441593170166,9.79521942138672,15.0793840448198,"[0.5933532979211371, 2.837391465622069]",1.0869269237286976e+23,"[1.0062058410474866e+23, 2.241115216931375e+24]",1.8,9.06441593170166,9.795219421386719,15.0793840448198,"[0.5933532979211371, 2.837391465622069]",1.0869269237286976e+23,"[1.0062058410474866e+23, 2.241115216931375e+24]"
6,2.1,11.17001724243164,9.781512260437012,26.93843775241185,"[6.353165114368174, 6.757657560145418]",6.288767055665367e+21,"[4.484015461972805e+20, 9.84391008523971e+20]",2.1,11.17001724243164,9.781512260437012,26.93843775241185,"[6.353165114368174, 6.757657560145418]",6.288767055665367e+21,"[4.484015461972805e+20, 9.84391008523971e+20]"
7,2.4,10.415026664733888,9.770057678222656,21.46521046689068,"[6.348274533534539, 6.580448066830417]",6.803928672739945e+21,"[8.936172537812468e+20, 2.9444564309544076e+23]",2.4,10.415026664733887,9.770057678222656,21.46521046689068,"[6.348274533534539, 6.580448066830417]",6.803928672739945e+21,"[8.936172537812468e+20, 2.9444564309544076e+23]"
8,2.7,6.426898002624512,8.790343284606934,13.60655100869804,"[0.5163165163941219, 0.7148430151956031]",1.8451896368273605e+23,"[1.7185509644273495e+23, 2.643292620721137e+24]",2.7,6.426898002624512,8.790343284606934,13.606551008698041,"[0.5163165163941219, 0.7148430151956031]",1.8451896368273605e+23,"[1.7185509644273495e+23, 2.643292620721137e+24]"
9,3.0,5.233510494232178,8.1714448928833,12.834412946300382,"[0.5254381645659052, 0.6998790530070309]",1.7932226695668514e+23,"[1.6697878598885105e+23, 2.539656189651273e+24]",3.0,5.233510494232178,8.1714448928833,12.834412946300382,"[0.5254381645659052, 0.6998790530070309]",1.7932226695668514e+23,"[1.6697878598885105e+23, 2.539656189651273e+24]"
