,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0.3,4.252113342285156,3.581673145294189,8.913305768595475,"[0.9358600860663673, 29.05615882107026]",8839671831394326.0,"[8652393056001755.0, 1.5465868804022864e+22]",0.3,4.252113342285156,3.5816731452941895,8.913305768595475,"[0.9358600860663673, 29.05615882107026]",8839671831394327.0,"[8652393056001755.0, 1.5465868804022864e+22]"
1,0.6,8.97927188873291,7.987300395965576,20.074972217109035,"[7.009105348262425, 10.738129756194468]",540243170050477.44,"[82561309635682.88, 9.393631840703899e+20]",0.6,8.97927188873291,7.987300395965576,20.074972217109035,"[7.009105348262425, 10.738129756194468]",540243170050477.44,"[82561309635682.88, 9.393631840703899e+20]"
2,0.9,6.570132732391357,6.116665840148926,11.452979151559369,"[0.7032304931382853, 13.44230216990817]",1.684052373350017e+17,"[1.6806202397104406e+17, 3.3211215384425246e+22]",0.9,6.570132732391357,6.116665840148926,11.452979151559369,"[0.7032304931382853, 13.44230216990817]",1.684052373350017e+17,"[1.6806202397104406e+17, 3.3211215384425246e+22]"
3,1.2,6.346589088439941,5.444021701812744,15.454395133916936,"[5.23758061063751, 20.29593904021539]",403101516584748.5,"[111171485671566.38, 6.455027464729292e+21]",1.2,6.346589088439941,5.444021701812744,15.454395133916936,"[5.23758061063751, 20.29593904021539]",403101516584748.5,"[111171485671566.38, 6.455027464729292e+21]"
4,1.5,7.599102020263672,7.332788944244385,12.57315287954829,"[0.5581497781090796, 7.323205018416436]",2.866684917773698e+18,"[2.8662219816567014e+18, 8.635341739911529e+22]",1.5,7.599102020263672,7.332788944244385,12.57315287954829,"[0.5581497781090796, 7.323205018416436]",2.866684917773698e+18,"[2.8662219816567014e+18, 8.635341739911529e+22]"
5,1.8,9.568395614624023,7.256082057952881,31.56691245843148,"[18.893847044033162, 14.48780476033124]",478647820796295.3,"[54216009949876.06, 1.1192897892106314e+20]",1.8,9.568395614624023,7.256082057952881,31.566912458431478,"[18.893847044033162, 14.48780476033124]",478647820796295.3,"[54216009949876.06, 1.1192897892106314e+20]"
6,2.1,11.17001724243164,9.781512260437012,23.841843215278864,"[8.693320453978869, 8.074795189939127]",662281400712960.8,"[68156693598747.125, 1.2935386248744095e+20]",2.1,11.17001724243164,9.781512260437012,23.841843215278864,"[8.693320453978869, 8.074795189939127]",662281400712960.8,"[68156693598747.125, 1.2935386248744095e+20]"
7,2.4,8.950225830078125,9.482054710388184,14.592484800093851,"[0.5046477930972557, 0.6247055933489687]",2.5782748584180425e+19,"[2.577705532304257e+19, 1.6259048732903366e+23]",2.4,8.950225830078125,9.482054710388184,14.592484800093853,"[0.5046477930972557, 0.6247055933489687]",2.5782748584180425e+19,"[2.577705532304257e+19, 1.6259048732903366e+23]"
8,2.7,6.426898002624512,8.790343284606934,13.513749782903874,"[0.48673271267410456, 0.5240539054095628]",4.476712399277512e+19,"[4.475006036645212e+19, 1.8625802972516225e+23]",2.7,6.426898002624512,8.790343284606934,13.513749782903874,"[0.48673271267410456, 0.5240539054095628]",4.4767123992775115e+19,"[4.475006036645212e+19, 1.8625802972516225e+23]"
9,3.0,2.733532190322876,6.60666561126709,10.950817289574026,"[0.5154581753666214, 0.5899647314662158]",2.2262865628525744e+19,"[2.2258728479102525e+19, 1.608488478519388e+23]",3.0,2.733532190322876,6.60666561126709,10.950817289574026,"[0.5154581753666214, 0.5899647314662158]",2.2262865628525744e+19,"[2.2258728479102525e+19, 1.608488478519388e+23]"
10,3.3,2.89752459526062,6.538307189941406,10.894989287629,"[0.5131113609998597, 0.5915645321427405]",3.1346628589310267e+19,"[3.13411196509688e+19, 1.7585645761087018e+23]",3.3,2.89752459526062,6.538307189941406,10.894989287628999,"[0.5131113609998597, 0.5915645321427405]",3.1346628589310267e+19,"[3.13411196509688e+19, 1.7585645761087018e+23]"
