,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0.3,4.252113342285156,3.581673145294189,31.99868383512139,"[13.154824822524759, 18.74892557978537]",198668047103885.25,"[29562180164553.406, 43133665980077.375]",0.3,4.252113342285156,3.5816731452941895,31.99868383512139,"[13.154824822524759, 18.74892557978537]",198668047103885.25,"[29562180164553.406, 43133665980077.375]"
1,0.6,8.97927188873291,7.987300395965576,26.3006089542773,"[5.870934289420251, 7.915225395585033]",480716649844730.0,"[37379741268473.69, 54523438145945.94]",0.6,8.97927188873291,7.987300395965576,26.3006089542773,"[5.870934289420251, 7.915225395585033]",480716649844730.0,"[37379741268473.69, 54523438145945.94]"
2,0.9,6.570132732391357,6.116665840148926,23.741999942310517,"[7.443103283037075, 10.365645390926055]",350094307478977.3,"[35838151353882.81, 68134898324115.81]",0.9,6.570132732391357,6.116665840148926,23.741999942310514,"[7.443103283037075, 10.365645390926055]",350094307478977.3,"[35838151353882.81, 68134898324115.81]"
3,1.2,6.346589088439941,5.444021701812744,29.10610349914365,"[9.069487996638234, 14.280765847552807]",310567679349153.7,"[33050744003866.844, 42672081047084.625]",1.2,6.346589088439941,5.444021701812744,29.10610349914365,"[9.069487996638234, 14.280765847552807]",310567679349153.7,"[33050744003866.844, 42672081047084.625]"
4,1.5,7.599102020263672,7.332788944244385,22.1321829351834,"[6.140240641160267, 7.49488214001078]",438511028546630.06,"[44146279819561.375, 121220363751700.56]",1.5,7.599102020263672,7.332788944244385,22.1321829351834,"[6.140240641160267, 7.49488214001078]",438511028546630.06,"[44146279819561.375, 121220363751700.56]"
5,1.8,9.568395614624023,7.256082057952881,37.1469027208266,"[8.840148482562633, 12.397288301362984]",453129363559675.2,"[38597577118466.625, 47611151125185.0]",1.8,9.568395614624023,7.256082057952881,37.1469027208266,"[8.840148482562633, 12.397288301362984]",453129363559675.2,"[38597577118466.625, 47611151125185.0]"
6,2.1,11.17001724243164,9.781512260437012,27.59283357142917,"[5.236841722362879, 6.261293784302175]",622635417467241.8,"[42126288642555.875, 61520477386234.75]",2.1,11.17001724243164,9.781512260437012,27.592833571429175,"[5.236841722362879, 6.261293784302175]",622635417467241.8,"[42126288642555.875, 61520477386234.75]"
7,2.4,8.950225830078125,9.482054710388184,19.00446563802351,"[3.2815737374203575, 4.706578541072936]",692662283830218.0,"[116810677411943.12, 366627183147520.1]",2.4,8.950225830078125,9.482054710388184,19.00446563802351,"[3.2815737374203575, 4.706578541072936]",692662283830218.0,"[116810677411943.12, 366627183147520.1]"
8,2.7,6.426898002624512,8.790343284606934,14.999850767392262,"[1.2086085048466781, 2.7621963484110292]",863653130509145.0,"[258176547187820.25, 415749910286052.25]",2.7,6.426898002624512,8.790343284606934,14.999850767392262,"[1.2086085048466781, 2.7621963484110292]",863653130509145.0,"[258176547187820.25, 415749910286052.25]"
9,3.0,2.733532190322876,6.60666561126709,11.997878803032156,"[1.0237055761541285, 2.097588125792896]",669835512439351.6,"[224771280916616.88, 440738245068315.75]",3.0,2.733532190322876,6.60666561126709,11.997878803032156,"[1.0237055761541285, 2.097588125792896]",669835512439351.6,"[224771280916616.88, 440738245068315.75]"
10,3.3,2.89752459526062,6.538307189941406,11.98124606380183,"[1.0241629754974184, 2.2493449187857824]",667940999952027.4,"[236718752680305.75, 458968792497958.6]",3.3,2.89752459526062,6.538307189941406,11.98124606380183,"[1.0241629754974184, 2.2493449187857824]",667940999952027.4,"[236718752680305.75, 458968792497958.6]"
11,3.6,2.884584903717041,6.566549777984619,11.974308762729752,"[1.0223787712061565, 2.085971052671246]",687393105347295.8,"[245042145992345.44, 440357137166049.5]",3.6,2.884584903717041,6.566549777984619,11.974308762729752,"[1.0223787712061565, 2.085971052671246]",687393105347295.8,"[245042145992345.44, 440357137166049.5]"
12,3.9,3.0371499061584477,6.320858955383301,11.870133124234789,"[1.0664194506639646, 2.5914646012472264]",630989119598946.4,"[225448591552697.44, 464056650008484.1]",3.9,3.0371499061584473,6.320858955383301,11.870133124234787,"[1.0664194506639646, 2.5914646012472264]",630989119598946.4,"[225448591552697.44, 464056650008484.1]"
13,4.2,0.390979528427124,2.975175380706787,9.325559982038508,"[2.1033582621315654, 6.180656854612934]",229439386103829.47,"[101915767500872.28, 422348452259273.6]",4.2,0.390979528427124,2.975175380706787,9.325559982038508,"[2.1033582621315654, 6.180656854612934]",229439386103829.47,"[101915767500872.28, 422348452259273.6]"
14,4.5,0.2436690628528595,3.692347288131714,9.08273388627455,"[1.3296857556803987, 3.462926593405202]",351126547818554.2,"[158851180570344.6, 442396507755463.2]",4.5,0.2436690628528595,3.692347288131714,9.08273388627455,"[1.3296857556803987, 3.462926593405202]",351126547818554.2,"[158851180570344.6, 442396507755463.2]"
15,4.8,1.044074296951294,4.506292819976807,9.948045799534714,"[1.2223972667209058, 2.9429640098679393]",435144738844234.06,"[178934803819731.5, 460175762017373.06]",4.8,1.044074296951294,4.506292819976807,9.948045799534714,"[1.2223972667209058, 2.9429640098679393]",435144738844234.06,"[178934803819731.5, 460175762017373.06]"
16,5.1,1.180476188659668,4.305109024047852,9.86566492376486,"[1.307118303712624, 3.370430518107227]",412041624904762.8,"[176263475397135.53, 447962043879002.4]",5.1,1.180476188659668,4.305109024047852,9.86566492376486,"[1.307118303712624, 3.370430518107227]",412041624904762.75,"[176263475397135.53, 447962043879002.4]"
17,5.4,0.461954265832901,3.6548526287078857,9.157696235808077,"[1.3565384565738423, 3.6723255752752557]",343313849638279.5,"[153267816777056.66, 453880519662289.9]",5.4,0.461954265832901,3.6548526287078857,9.157696235808075,"[1.3565384565738423, 3.6723255752752557]",343313849638279.5,"[153267816777056.66, 453880519662289.9]"
18,5.7,1.2266136407852173,3.2509937286376958,10.444609747041268,"[2.7771880917404435, 7.403180286847677]",227524546808114.03,"[85305943083667.62, 445983227241740.75]",5.7,1.2266136407852173,3.2509937286376953,10.444609747041268,"[2.7771880917404435, 7.403180286847677]",227524546808114.03,"[85305943083667.62, 445983227241740.75]"
