,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0.3,4.794351577758789,2.033801555633545,44.86213032145356,"[37.34780718834778, 14.419538273868206]",158094450482096.84,"[36946758414640.81, 4605042983728756.0]",0.3,4.794351577758789,2.033801555633545,44.86213032145356,"[37.34780718834778, 14.419538273868206]",158094450482096.84,"[36946758414640.81, 4605042983728756.0]"
1,0.6,10.349794387817385,7.570204257965088,35.98999498851231,"[22.62905903701399, 13.897476869517213]",504812740916702.9,"[51684209321688.125, 7.472055096911081e+17]",0.6,10.349794387817383,7.570204257965088,35.98999498851231,"[22.62905903701399, 13.897476869517213]",504812740916702.94,"[51684209321688.125, 7.472055096911081e+17]"
2,0.9,8.185954093933105,7.425683975219727,13.007725009293402,"[0.7311933372200006, 13.454715962110235]",9.525974754470376e+16,"[9.48279934655603e+16, 2.80365245782767e+22]",0.9,8.185954093933105,7.425683975219727,13.007725009293402,"[0.7311933372200006, 13.454715962110235]",9.525974754470376e+16,"[9.48279934655603e+16, 2.80365245782767e+22]"
3,1.2,5.336268901824951,4.456201553344727,16.434898499304232,"[7.336147150226086, 23.894646716258244]",321707622241312.5,"[87980444674606.5, 4.1934460939408365e+21]",1.2,5.336268901824951,4.456201553344727,16.434898499304232,"[7.336147150226086, 23.894646716258244]",321707622241312.5,"[87980444674606.5, 4.1934460939408365e+21]"
4,1.5,7.247902393341064,8.179085731506348,13.132781487243529,"[0.5067998761162009, 0.5719428921268843]",3.6942873487394185e+19,"[3.693501352839867e+19, 1.9409520484231873e+23]",1.5,7.2479023933410645,8.179085731506348,13.132781487243527,"[0.5067998761162009, 0.5719428921268843]",3.6942873487394185e+19,"[3.693501352839867e+19, 1.9409520484231873e+23]"
5,1.8,9.06441593170166,9.79521942138672,14.899678160205845,"[0.5000814429888099, 0.637424532767902]",2.5094133591623594e+19,"[2.5089454564911067e+19, 1.589175897177286e+23]",1.8,9.06441593170166,9.795219421386719,14.899678160205843,"[0.5000814429888099, 0.637424532767902]",2.5094133591623594e+19,"[2.5089454564911067e+19, 1.589175897177286e+23]"
6,2.1,11.17001724243164,9.781512260437012,23.841843215278864,"[8.693320453978869, 8.074795189939127]",662281400712960.8,"[68156693598747.125, 1.2935386248744095e+20]",2.1,11.17001724243164,9.781512260437012,23.841843215278864,"[8.693320453978869, 8.074795189939127]",662281400712960.8,"[68156693598747.125, 1.2935386248744095e+20]"
7,2.4,10.415026664733888,9.770057678222656,15.36516367894314,"[0.6589013439110598, 9.007665266466798]",3.2277073500762234e+17,"[3.221400526302923e+17, 3.7086958341064753e+22]",2.4,10.415026664733887,9.770057678222656,15.36516367894314,"[0.6589013439110598, 9.007665266466798]",3.2277073500762234e+17,"[3.221400526302923e+17, 3.7086958341064753e+22]"
8,2.7,6.426898002624512,8.790343284606934,13.513749782903874,"[0.48673271267410456, 0.5240539054095628]",4.476712399277512e+19,"[4.475006036645212e+19, 1.8625802972516225e+23]",2.7,6.426898002624512,8.790343284606934,13.513749782903874,"[0.48673271267410456, 0.5240539054095628]",4.4767123992775115e+19,"[4.475006036645212e+19, 1.8625802972516225e+23]"
9,3.0,5.233510494232178,8.1714448928833,12.757640906028964,"[0.49854719310980045, 0.5231349643594037]",8.505909356852285e+19,"[8.504065074557354e+19, 2.2121460810143684e+23]",3.0,5.233510494232178,8.1714448928833,12.757640906028964,"[0.49854719310980045, 0.5231349643594037]",8.505909356852285e+19,"[8.504065074557354e+19, 2.2121460810143684e+23]"
10,3.3,2.89752459526062,6.538307189941406,10.894989287629,"[0.5131113609998597, 0.5915645321427405]",3.1346628589310267e+19,"[3.13411196509688e+19, 1.7585645761087018e+23]",3.3,2.89752459526062,6.538307189941406,10.894989287628999,"[0.5131113609998597, 0.5915645321427405]",3.1346628589310267e+19,"[3.13411196509688e+19, 1.7585645761087018e+23]"
11,3.6,2.884584903717041,6.566549777984619,10.940852941450522,"[0.5158102676988552, 0.6199127185286208]",1.871627233463302e+19,"[1.87130346925476e+19, 1.539797356412903e+23]",3.6,2.884584903717041,6.566549777984619,10.940852941450522,"[0.5158102676988552, 0.6199127185286208]",1.871627233463302e+19,"[1.87130346925476e+19, 1.539797356412903e+23]"
12,3.9,3.0371499061584477,6.320858955383301,10.728355266415598,"[0.5241074018398404, 0.5703608093496637]",2.219869062723884e+19,"[2.219448731470147e+19, 1.6225481184585758e+23]",3.9,3.0371499061584473,6.320858955383301,10.728355266415598,"[0.5241074018398404, 0.5703608093496637]",2.219869062723884e+19,"[2.219448731470147e+19, 1.6225481184585758e+23]"
13,4.2,2.5922048091888428,5.969081401824951,10.331266258762817,"[0.5303522523708839, 0.604106109813733]",2.107056194581664e+19,"[2.10673620699645e+19, 1.5166680182513986e+23]",4.2,2.5922048091888428,5.969081401824951,10.331266258762817,"[0.5303522523708839, 0.604106109813733]",2.1070561945816637e+19,"[2.10673620699645e+19, 1.5166680182513986e+23]"
14,4.5,0.2436690628528595,3.692347288131714,7.798498133525442,"[0.5999908935192684, 0.8860523859175657]",4.420534537634309e+18,"[4.42003424880019e+18, 1.029590270350373e+23]",4.5,0.2436690628528595,3.692347288131714,7.798498133525442,"[0.5999908935192684, 0.8860523859175657]",4.420534537634309e+18,"[4.42003424880019e+18, 1.029590270350373e+23]"
