,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl,bff_tb7,bff_err_tb7,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,5.139361382,184.2261785,[[12.34327541  5.92697334]],0.01202302,0.09,3.73771143,186.5904994,[[14.66172809  5.95999995]],192.0689987,"[12.329172542134074, 5.930216325479677]",3.18E+17,"[1.7986577706160973e+17, 3.7748341353638675e+17]",8.695477714,[[ 5.13217141 12.92618708]],18.25845933,[[10.76103961 26.92989913]]
1,0.6,7.939404488,165.1213406,[[16.96212006 18.71242488]],0.042886174,0.09,7.092316151,157.0229378,[[21.53693573 29.20295571]],173.5223351,"[16.01456852794854, 18.154026529323602]",8.18E+16,"[2.655387753748021e+16, 3.170068594215469e+17]",2.721352689,[[ 1.20584855 13.27676165]],5.672671085,[[ 2.49091355 27.42044189]]
2,0.9,6.148114204,74.54074407,[[14.86314579  9.03346572]],0.088886008,0.09,4.37981081,45.87371373,[[13.60829607 11.05268282]],132.12198,"[48.68991191034762, 45.07853747919617]",7.99432E+15,"[1481494880033113.0, 1748909907574751.0]",0.449535246,[[0.24145921 0.8575097 ]],0.91516041,[[0.48074453 1.59657671]]
3,1.2,5.741756439,47.86909826,[[17.22148087 59.4969446 ]],0.146868423,0.09,5.112181664,35.05110904,[[13.18107631 45.18736146]],70.11879384,"[29.83098751656123, 60.156286583510806]",4.21004E+15,"[876373141527857.5, 1.3604697777306304e+16]",0.779328113,[[0.58675069 8.09278522]],1.453905503,[[ 1.06240785 12.98291175]]
4,1.5,8.852046013,48.30470716,[[9.25795965 6.84822253]],0.213704069,0.09,7.334933758,30.97811979,[[9.8123267  7.58129676]],89.68809837,"[26.68768184525505, 49.88126487571469]",3.90879E+15,"[516469903933267.5, 998986267897349.5]",0.45806406,[[0.28633986 0.6470688 ]],0.889905217,[[0.53845787 1.12908626]]
5,1.8,10.79886913,42.62513729,[[5.81769326 5.45905199]],0.286325881,0.09,9.996609688,31.62449358,[[3.90605114 2.20174563]],63.61328135,"[12.279860992691432, 18.0337238449179]",3.53731E+15,"[303206317957926.5, 389926285069191.5]",0.782604845,[[0.33091296 0.49642885]],1.432600737,[[0.56754736 0.79729927]]
6,2.1,12.29673576,38.02797385,[[4.39348335 4.36863234]],0.361840014,0.09,11.62173176,28.93308249,[[2.51667744 1.557209  ]],57.00725995,"[8.924803984774165, 12.355181555721444]",3.0411E+15,"[222244397693608.5, 262815143301368.5]",0.820788065,[[0.28847643 0.38766428]],1.467389257,[[0.47632136 0.60385616]]
7,2.4,10.46678925,26.09077294,[[ 6.39964947 12.43124368]],0.437637413,0.09,10.68962097,22.18424012,[[ 3.18922417 11.67859992]],39.35920365,"[10.079961796053862, 10.067219839493063]",2.02842E+15,"[201900438897707.5, 2160181503171347.8]",1.051513739,[[0.41525326 2.50785227]],1.698177431,[[0.59964282 3.4399822 ]]
8,2.7,10.87427235,22.92106431,[[ 5.58010712 12.90794816]],0.511482129,0.09,11.44824123,20.20562539,[[ 3.09322113 16.29443228]],35.08208959,"[8.361769323409387, 8.427373060084825]",1.79246E+15,"[190150156273991.5, 5313883609917030.0]",1.12981013,[[0.4314036  5.86272336]],1.753364834,[[0.58965139 7.92814396]]
9,3,10.15962029,17.9938,[[ 4.25211377 10.81098311]],0.581567389,0.09,11.13132286,17.43103182,[[ 3.21259146 13.51133956]],27.77698994,"[5.0554893219678405, 8.405458292159341]",1.59262E+15,"[294937287812751.5, 6.443093463915662e+16]",1.473211885,[[ 0.6967839 82.0684088]],2.077098629,[[  0.85865609 104.30502038]]
