,Unnamed: 0.1,Unnamed: 0,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl,bff_tb7,bff_err_tb7,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl,bff_tb6,bff_err_tb6,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r.1,Tb7_empkep_rs_fix_r.1,Tb7_empkep_rs_fix_r_prediction.1,Tb7_empkep_rs_err_qtl.1,bff_tb7.1,bff_err_tb7.1,Tb6_empkep_rs_fix_r.1,Tb6_empkep_rs_fix_r_prediction.1,Tb6_empkep_rs_err_qtl.1,bff_tb6.1,bff_err_tb6.1,Texe_rs_empkep_fix_r.1,Texe_err_rs_empkep_fix_r.1,Ncol_rs_empkep_fix_r.1,Ncol_err_rs_empkep_fix_r.1,Tau_nu_b6.1,Tau_nu_errs_b6.1,Tau_nu_b7.1,Tau_nu_errs_b7.1,r_empkep_rs_fix_r.2,Tb7_empkep_rs_fix_r.2,Tb7_empkep_rs_fix_r_prediction.2,Tb7_empkep_rs_err_qtl.2,bff_tb7.2,bff_err_tb7.2,Tb6_empkep_rs_fix_r.2,Tb6_empkep_rs_fix_r_prediction.2,Tb6_empkep_rs_err_qtl.2,bff_tb6.2,bff_err_tb6.2,Texe_rs_empkep_fix_r.2,Texe_err_rs_empkep_fix_r.2,Ncol_rs_empkep_fix_r.2,Ncol_err_rs_empkep_fix_r.2,Tau_nu_b6.2,Tau_nu_errs_b6.2,Tau_nu_b7.2,Tau_nu_errs_b7.2,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl,bff_tb7,bff_err_tb7,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl,bff_tb6,bff_err_tb6,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0,0,0.3,0.1808606535196304,83.8609736447246,[[76.51412815 76.57721334]],0.0120230203261417,0.09,0.0587430521845817,64.53084997218652,[[60.90182361 98.26762532]],0.0120230203261417,0.09,102.54527751178952,"[65.3025609970777, 65.72040316920794]",1.198573412614012e+16,"[1.1347423669259692e+16, 2.3478415468684394e+17]",1.0915592711388535,[[  1.06901928 139.49788302]],2.159674150955155,[[  2.11280016 220.70961123]],0.3,0.1808606535196304,83.8609736447246,[[76.51412815 76.57721334]],0.0120230203261417,0.09,0.0587430521845817,64.53084997218652,[[60.90182361 98.26762532]],0.0120230203261417,0.09,102.54527751178952,"[65.3025609970777, 65.72040316920794]",1.198573412614012e+16,"[1.1347423669259692e+16, 2.3478415468684394e+17]",1.0915592711388535,[[  1.06901928 139.49788302]],2.159674150955155,[[  2.11280016 220.70961123]],0.3,0.1808606535196304,83.8609736447246,[[76.51412815 76.57721334]],0.0120230203261417,0.09,0.0587430521845817,64.53084997218652,[[60.90182361 98.26762532]],0.0120230203261417,0.09,102.54527751178952,"[65.3025609970777, 65.72040316920794]",1.198573412614012e+16,"[1.1347423669259692e+16, 2.3478415468684394e+17]",1.0915592711388535,[[  1.06901928 139.49788302]],2.159674150955155,[[  2.11280016 220.70961123]],0.3,0.18086065351963043,186.13995180324616,[[9.43085165 4.46430366]],0.012023020326141776,0.09,0.05874305218458176,188.50849773105898,[[11.36895002  4.49323812]],0.012023020326141776,0.09,193.98384103702722,"[9.422235150398876, 4.4667166993526735]",3.2936801242164365e+17,"[1.767366456819337e+17, 3.700533287944169e+17]",8.82930177315957,[[ 4.91473575 11.82176093]],18.551955381655684,[[10.3142225  24.69019522]]
1,1,1,0.6,0.2883378863334656,88.3476151406472,[[80.78030089 73.6352758 ]],0.0428861736770619,0.09,0.1315499544143676,71.08642463821216,[[67.35069389 93.27024082]],0.0428861736770619,0.09,103.56817686900082,"[66.64681084171629, 66.24333188007655]",1.441042729136726e+16,"[1.3747768266687632e+16, 2.5592953310865194e+17]",1.2879855336092745,[[  1.26499579 155.01401726]],2.5515151085825107,[[  2.50367191 244.48249203]],0.6,0.2883378863334656,88.3476151406472,[[80.78030089 73.6352758 ]],0.0428861736770619,0.09,0.1315499544143676,71.08642463821216,[[67.35069389 93.27024082]],0.0428861736770619,0.09,103.56817686900082,"[66.64681084171629, 66.24333188007655]",1.441042729136726e+16,"[1.3747768266687632e+16, 2.5592953310865194e+17]",1.2879855336092745,[[  1.26499579 155.01401726]],2.5515151085825107,[[  2.50367191 244.48249203]],0.6,0.2883378863334656,88.3476151406472,[[80.78030089 73.6352758 ]],0.0428861736770619,0.09,0.1315499544143676,71.08642463821216,[[67.35069389 93.27024082]],0.0428861736770619,0.09,103.56817686900082,"[66.64681084171629, 66.24333188007655]",1.441042729136726e+16,"[1.3747768266687632e+16, 2.5592953310865194e+17]",1.2879855336092745,[[  1.26499579 155.01401726]],2.5515151085825107,[[  2.50367191 244.48249203]],0.6,0.2883378863334656,187.31753362637724,[[6.36231044 3.56461527]],0.042886173677061934,0.09,0.13154995441436768,189.6915820501786,[[8.31162536 3.58812927]],0.042886173677061934,0.09,195.1620699407275,"[6.3522677183816825, 3.566527948536134]",3.4128406572379846e+17,"[1.810545419378297e+17, 3.674644510164254e+17]",9.041775330770577,[[ 4.94350299 10.98112043]],19.006154932053384,[[10.38103688 22.98770954]]
2,2,2,0.9,0.2099069207906723,85.49840514900275,[[78.04879903 74.51251352]],0.0888860078653254,0.09,0.0868582725524902,68.24014836733278,[[64.55874395 94.13014079]],0.0888860078653254,0.09,101.236947211113,"[64.86155381790431, 66.6011502539838]",1.3343526082750202e+16,"[1.2697357863324692e+16, 2.313696775094918e+17]",1.2450532877199691,[[  1.22212334 143.85939339]],2.459314952588947,[[  2.41163946 225.6814903 ]],0.9,0.2099069207906723,85.49840514900275,[[78.04879903 74.51251352]],0.0888860078653254,0.09,0.0868582725524902,68.24014836733278,[[64.55874395 94.13014079]],0.0888860078653254,0.09,101.236947211113,"[64.86155381790431, 66.6011502539838]",1.3343526082750202e+16,"[1.2697357863324692e+16, 2.313696775094918e+17]",1.2450532877199691,[[  1.22212334 143.85939339]],2.459314952588947,[[  2.41163946 225.6814903 ]],0.9,0.2099069207906723,85.49840514900275,[[78.04879903 74.51251352]],0.0888860078653254,0.09,0.0868582725524902,68.24014836733278,[[64.55874395 94.13014079]],0.0888860078653254,0.09,101.236947211113,"[64.86155381790431, 66.6011502539838]",1.3343526082750202e+16,"[1.2697357863324692e+16, 2.313696775094918e+17]",1.2450532877199691,[[  1.22212334 143.85939339]],2.459314952588947,[[  2.41163946 225.6814903 ]],0.9,0.2099069207906723,87.96539629878727,[[19.76032384 56.51095041]],0.08888600786532541,0.09,0.08685827255249023,71.13999030549317,[[14.91123698 74.39703734]],0.08888600786532541,0.09,102.82290288142937,"[24.04826340025059, 49.476766825630506]",1.4461232739275784e+16,"[3184496834341684.0, 9.548567612040634e+16]",1.3102942999668759,[[ 0.82763461 15.10277475]],2.5933377840365286,[[ 1.59776051 28.65764804]]
3,3,3,1.2,0.1704866141080856,79.40816652005589,[[72.03338253 78.09370248]],0.1468684226890785,0.09,0.0632792338728904,61.39834316896439,[[57.74854808 98.45635522]],0.1468684226890785,0.09,97.51124628774376,"[62.85284484710871, 67.81591976675949]",1.096725208652245e+16,"[1.033520135569977e+16, 2.2130644639627725e+17]",1.0983265703390768,[[  1.07523475 148.32651128]],2.158827211503912,[[  2.11087206 228.69989469]],1.2,0.1704866141080856,79.40816652005589,[[72.03338253 78.09370248]],0.1468684226890785,0.09,0.0632792338728904,61.39834316896439,[[57.74854808 98.45635522]],0.1468684226890785,0.09,97.51124628774376,"[62.85284484710871, 67.81591976675949]",1.096725208652245e+16,"[1.033520135569977e+16, 2.2130644639627725e+17]",1.0983265703390768,[[  1.07523475 148.32651128]],2.158827211503912,[[  2.11087206 228.69989469]],1.2,0.1704866141080856,79.40816652005589,[[72.03338253 78.09370248]],0.1468684226890785,0.09,0.0632792338728904,61.39834316896439,[[57.74854808 98.45635522]],0.1468684226890785,0.09,97.51124628774376,"[62.85284484710871, 67.81591976675949]",1.096725208652245e+16,"[1.033520135569977e+16, 2.2130644639627725e+17]",1.0983265703390768,[[  1.07523475 148.32651128]],2.158827211503912,[[  2.11087206 228.69989469]],1.2,0.17048661410808563,53.97265961403351,[[18.24199107 80.28796599]],0.14686842268907851,0.09,0.06327923387289047,36.59375024870014,[[16.4040055  64.99917901]],0.14686842268907851,0.09,86.1027978110254,"[38.76885599630242, 71.13157195959485]",4775116526928289.0,"[1229298704358533.0, 2.2713632622862976e+16]",0.6039850558968909,[[0.46126388 9.73268245]],1.166311304956543,[[ 0.8711262  16.47520142]]
4,4,4,1.5,0.2315607517957687,77.37481654417148,[[70.14537782 80.08021152]],0.2137040687296383,0.09,0.1161451786756515,59.09979798600107,[[ 55.52271343 100.68860879]],0.2137040687296383,0.09,96.4945058213913,"[61.36433859255964, 68.78578927282712]",1.0243684748506096e+16,"[9624524756961496.0, 2.0922278546871136e+17]",1.046318296568705,[[  1.02368504 136.96802887]],2.053703251999118,[[  2.00670147 212.23962855]],1.5,0.2315607517957687,77.37481654417148,[[70.14537782 80.08021152]],0.2137040687296383,0.09,0.1161451786756515,59.09979798600107,[[ 55.52271343 100.68860879]],0.2137040687296383,0.09,96.4945058213913,"[61.36433859255964, 68.78578927282712]",1.0243684748506096e+16,"[9624524756961496.0, 2.0922278546871136e+17]",1.046318296568705,[[  1.02368504 136.96802887]],2.053703251999118,[[  2.00670147 212.23962855]],1.5,0.2315607517957687,77.37481654417148,[[70.14537782 80.08021152]],0.2137040687296383,0.09,0.1161451786756515,59.09979798600107,[[ 55.52271343 100.68860879]],0.2137040687296383,0.09,96.4945058213913,"[61.36433859255964, 68.78578927282712]",1.0243684748506096e+16,"[9624524756961496.0, 2.0922278546871136e+17]",1.046318296568705,[[  1.02368504 136.96802887]],2.053703251999118,[[  2.00670147 212.23962855]],1.5,0.23156075179576874,45.10796979061481,[[ 8.70278247 31.36892541]],0.21370406872963832,0.09,0.11614517867565155,45.77538273057238,[[12.64180892 33.01999939]],0.21370406872963832,0.09,52.796402679842934,"[6.554628011719721, 31.38453445103334]",1.0747723996769834e+16,"[6519838163651420.0, 2.3225728601067155e+17]",3.329177078035034,[[ 2.77138519 91.88170366]],5.844887259711474,[[  4.7714927  155.60620776]]
5,5,5,1.8,0.2895959317684173,69.17547692585786,[[61.84111284 84.67312387]],0.2863258809287944,0.09,0.1390946954488754,51.10100122416949,[[ 47.46269401 105.04149737]],0.2863258809287944,0.09,91.25065607178294,"[59.00797912548248, 70.42042195607604]",7970987122775344.0,"[7353291114042506.0, 1.8746414531759213e+17]",0.9043379343557112,[[  0.88077477 140.91013597]],1.7612858149146116,[[  1.71243942 211.34756046]],1.8,0.2895959317684173,69.17547692585786,[[61.84111284 84.67312387]],0.2863258809287944,0.09,0.1390946954488754,51.10100122416949,[[ 47.46269401 105.04149737]],0.2863258809287944,0.09,91.25065607178294,"[59.00797912548248, 70.42042195607604]",7970987122775344.0,"[7353291114042506.0, 1.8746414531759213e+17]",0.9043379343557112,[[  0.88077477 140.91013597]],1.7612858149146116,[[  1.71243942 211.34756046]],1.8,0.2895959317684173,69.17547692585786,[[61.84111284 84.67312387]],0.2863258809287944,0.09,0.1390946954488754,51.10100122416949,[[ 47.46269401 105.04149737]],0.2863258809287944,0.09,91.25065607178294,"[59.00797912548248, 70.42042195607604]",7970987122775344.0,"[7353291114042506.0, 1.8746414531759213e+17]",0.9043379343557112,[[  0.88077477 140.91013597]],1.7612858149146116,[[  1.71243942 211.34756046]],1.8,0.28959593176841736,43.08248889180159,[[ 8.76617336 50.79410784]],0.2863258809287944,0.09,0.13909469544887543,38.41049033270226,[[11.60901013 57.80799454]],0.2863258809287944,0.09,53.34021727380811,"[8.208590023356294, 48.28280319102551]",5290534250816484.0,"[1766230770931175.0, 1.4079271641418042e+17]",1.609020062170757,[[ 1.28253095 58.12044982]],2.831959712680572,[[ 2.18673986 97.75890445]]
6,6,6,2.1,0.3568670451641083,63.11511351853723,[[56.82252461 87.62078902]],0.3618400135277045,0.09,0.1389000564813614,45.448087185745386,[[ 42.32564908 107.38722723]],0.3618400135277045,0.09,87.737327861404,"[55.43786477163742, 70.81882751896282]",6573761630402189.0,"[6053562253598783.0, 1.5226259918746698e+17]",0.8027551397729189,[[  0.78215212 114.11920826]],1.5545209143196776,[[  1.51187883 171.26286473]],2.1,0.3568670451641083,63.11511351853723,[[56.82252461 87.62078902]],0.3618400135277045,0.09,0.1389000564813614,45.448087185745386,[[ 42.32564908 107.38722723]],0.3618400135277045,0.09,87.737327861404,"[55.43786477163742, 70.81882751896282]",6573761630402189.0,"[6053562253598783.0, 1.5226259918746698e+17]",0.8027551397729189,[[  0.78215212 114.11920826]],1.5545209143196776,[[  1.51187883 171.26286473]],2.1,0.3568670451641083,63.11511351853723,[[56.82252461 87.62078902]],0.3618400135277045,0.09,0.1389000564813614,45.448087185745386,[[ 42.32564908 107.38722723]],0.3618400135277045,0.09,87.737327861404,"[55.43786477163742, 70.81882751896282]",6573761630402189.0,"[6053562253598783.0, 1.5226259918746698e+17]",0.8027551397729189,[[  0.78215212 114.11920826]],1.5545209143196776,[[  1.51187883 171.26286473]],2.1,0.3568670451641083,46.98390606929251,[[13.55402029  9.89272161]],0.36184001352770456,0.09,0.1389000564813614,30.034374801547763,[[12.53503306  8.63781835]],0.36184001352770456,0.09,88.83248063701241,"[38.862177483480714, 68.17209833816777]",3739811170411785.0,"[700430077825804.0, 1478667413077154.0]",0.44620381428301853,[[0.32352155 1.33668202]],0.8656504108713086,[[0.61194199 2.22137194]]
7,7,7,2.4,0.3327460587024688,56.235886094434186,[[50.26971771 93.90583317]],0.4376374130815039,0.09,0.1387374103069305,39.297215153181135,[[ 36.33724917 112.63748315]],0.4376374130815039,0.09,84.20262922668877,"[54.183520264526855, 73.76005273438471]",5234973856722192.0,"[4743738057844300.0, 1.3396275757755798e+17]",0.6903267016164517,[[  0.6707296  112.89463028]],1.3284927642343327,[[  1.28794521 164.41225191]],2.4,0.3327460587024688,56.235886094434186,[[50.26971771 93.90583317]],0.4376374130815039,0.09,0.1387374103069305,39.297215153181135,[[ 36.33724917 112.63748315]],0.4376374130815039,0.09,84.20262922668877,"[54.183520264526855, 73.76005273438471]",5234973856722192.0,"[4743738057844300.0, 1.3396275757755798e+17]",0.6903267016164517,[[  0.6707296  112.89463028]],1.3284927642343327,[[  1.28794521 164.41225191]],2.4,0.3327460587024688,56.235886094434186,[[50.26971771 93.90583317]],0.4376374130815039,0.09,0.1387374103069305,39.297215153181135,[[ 36.33724917 112.63748315]],0.4376374130815039,0.09,84.20262922668877,"[54.183520264526855, 73.76005273438471]",5234973856722192.0,"[4743738057844300.0, 1.3396275757755798e+17]",0.6903267016164517,[[  0.6707296  112.89463028]],1.3284927642343327,[[  1.28794521 164.41225191]],2.4,0.33274605870246887,40.22511721114685,[[13.82201276 56.57191665]],0.43763741308150395,0.09,0.13873741030693054,26.631312833365996,[[12.92070688 34.74665378]],0.43763741308150395,0.09,74.9661291415626,"[35.050777566308916, 75.7144471087041]",2947604932337462.0,"[678215701682515.5, 9621990969347990.0]",0.4823457082939861,[[0.38319321 5.87844534]],0.9107210466352473,[[0.70638905 9.40879976]]
8,8,8,2.7,0.2053307294845581,44.96538647745041,[[ 39.84158033 104.25309716]],0.5114821287208138,0.09,0.1248251870274543,29.910382410105857,[[ 27.37058487 118.78897573]],0.5114821287208138,0.09,79.32197148573803,"[52.37519102607732, 77.75822027340524]",3517318138101940.5,"[3098482229576630.5, 9.422580642285882e+16]",0.5183625363041047,[[ 0.50147224 94.37965722]],0.988104842451248,[[  0.95317409 130.93059795]],2.7,0.2053307294845581,44.96538647745041,[[ 39.84158033 104.25309716]],0.5114821287208138,0.09,0.1248251870274543,29.910382410105857,[[ 27.37058487 118.78897573]],0.5114821287208138,0.09,79.32197148573803,"[52.37519102607732, 77.75822027340524]",3517318138101940.5,"[3098482229576630.5, 9.422580642285882e+16]",0.5183625363041047,[[ 0.50147224 94.37965722]],0.988104842451248,[[  0.95317409 130.93059795]],2.7,0.2053307294845581,44.96538647745041,[[ 39.84158033 104.25309716]],0.5114821287208138,0.09,0.1248251870274543,29.910382410105857,[[ 27.37058487 118.78897573]],0.5114821287208138,0.09,79.32197148573803,"[52.37519102607732, 77.75822027340524]",3517318138101940.5,"[3098482229576630.5, 9.422580642285882e+16]",0.5183625363041047,[[ 0.50147224 94.37965722]],0.988104842451248,[[  0.95317409 130.93059795]],2.7,0.2053307294845581,23.58458221845838,[[ 7.76575209 87.46586704]],0.5114821287208138,0.09,0.12482518702745438,22.42368748546072,[[12.62858761 90.97438605]],0.5114821287208138,0.09,33.052209716908,"[7.116397783392209, 85.77429108552619]",2351581782706083.0,"[1039740080061151.5, 1.3206059148967794e+17]",1.6376180836922356,[[  1.54728875 136.99604379]],2.484978346815278,[[  2.30311217 186.71272025]]
9,9,9,3.0,0.1672036200761795,41.20631103566316,[[ 35.9262155  109.18115831]],0.5815673892199709,0.09,0.1160366684198379,27.30282904994662,[[ 24.68697886 121.84155671]],0.5815673892199709,0.09,75.89095881073192,"[49.98767850604378, 82.38406300416787]",3061104978353882.5,"[2626717503052669.0, 9.061267370382664e+16]",0.4896817591809326,[[ 0.47241842 96.31706427]],0.926530965333495,[[  0.89080626 131.10725756]],3.0,0.1672036200761795,41.20631103566316,[[ 35.9262155  109.18115831]],0.5815673892199709,0.09,0.1160366684198379,27.30282904994662,[[ 24.68697886 121.84155671]],0.5815673892199709,0.09,75.89095881073192,"[49.98767850604378, 82.38406300416787]",3061104978353882.5,"[2626717503052669.0, 9.061267370382664e+16]",0.4896817591809326,[[ 0.47241842 96.31706427]],0.926530965333495,[[  0.89080626 131.10725756]],3.0,0.1672036200761795,41.20631103566316,[[ 35.9262155  109.18115831]],0.5815673892199709,0.09,0.1160366684198379,27.30282904994662,[[ 24.68697886 121.84155671]],0.5815673892199709,0.09,75.89095881073192,"[49.98767850604378, 82.38406300416787]",3061104978353882.5,"[2626717503052669.0, 9.061267370382664e+16]",0.4896817591809326,[[ 0.47241842 96.31706427]],0.926530965333495,[[  0.89080626 131.10725756]],3.0,0.1672036200761795,21.50461703208058,[[  9.31739461 102.81345995]],0.5815673892199709,0.09,0.11603666841983795,19.088415119776744,[[ 12.44447743 106.69802708]],0.5815673892199709,0.09,33.633036430479684,"[11.173972059803575, 98.48401895051074]",1647144605452951.0,"[689269489646981.5, 8.622130656272922e+16]",1.1142459808435266,[[  1.06037906 112.03922501]],1.7021646405989084,[[  1.59250318 141.45228408]]
