,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl,bff_tb7,bff_err_tb7,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl,bff_tb7,bff_err_tb7,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.252113342285156,182.54700488238316,[[13.69205385  7.23741534]],0.0120230203261417,0.09,3.581673145294189,184.9033682818408,[[16.15635957  7.27829005]],190.38887027104363,"[13.675148634773961, 7.24141697521415]",3.048067344935476e+17,"[1.7349786269124205e+17, 3.8293037683589e+17]",8.473064690137429,[[ 5.07814821 13.61656058]],17.780730120874125,[[10.6384962  28.32803409]],0.3,4.252113342285156,182.54700488238313,[[13.69205385  7.23741534]],0.012023020326141776,0.09,3.5816731452941895,184.9033682818408,[[16.15635957  7.27829005]],190.38887027104363,"[13.675148634773961, 7.24141697521415]",3.048067344935476e+17,"[1.7349786269124205e+17, 3.8293037683589e+17]",8.473064690137429,[[ 5.07814821 13.61656058]],17.780730120874125,[[10.6384962  28.32803409]]
1,0.6,8.97927188873291,177.87839063957705,[[12.18055899  9.65957924]],0.0428861736770619,0.09,7.987300395965576,178.35491093559858,[[21.79352464 11.57952233]],185.730770209942,"[11.503286513605701, 9.651855311255446]",1.5555120611956803e+17,"[7.602820413894754e+16, 3.893052571063131e+17]",4.536898929336189,[[ 2.43468092 13.45011947]],9.50425681666096,[[ 5.08497961 28.00122067]],0.6,8.97927188873291,177.87839063957705,[[12.18055899  9.65957924]],0.042886173677061934,0.09,7.987300395965576,178.35491093559858,[[21.79352464 11.57952233]],185.730770209942,"[11.503286513605701, 9.651855311255446]",1.5555120611956803e+17,"[7.602820413894754e+16, 3.893052571063131e+17]",4.536898929336189,[[ 2.43468092 13.45011947]],9.504256816660961,[[ 5.08497961 28.00122067]]
2,0.9,6.570132732391357,76.87317640785749,[[16.61739261 50.72300317]],0.0888860078653254,0.09,6.116665840148926,65.41898383960876,[[10.52032309 64.46011084]],88.68031718996932,"[19.061221877478445, 46.71337634404841]",1.2859158788013538e+16,"[2586992325505110.0, 1.2325330132781285e+17]",1.5391839232383289,[[ 0.98800116 23.99033595]],2.9853164958950758,[[ 1.86053427 44.5788935 ]],0.9,6.570132732391357,76.87317640785749,[[16.61739261 50.72300317]],0.08888600786532541,0.09,6.116665840148926,65.41898383960876,[[10.52032309 64.46011084]],88.68031718996932,"[19.061221877478445, 46.71337634404841]",1.2859158788013538e+16,"[2586992325505110.0, 1.2325330132781285e+17]",1.5391839232383289,[[ 0.98800116 23.99033595]],2.9853164958950753,[[ 1.86053427 44.5788935 ]]
3,1.2,6.346589088439941,52.43882560982426,[[17.39244513 13.77228176]],0.1468684226890785,0.09,5.444021701812744,36.10710661523245,[[13.15885625 10.46086125]],82.16578364405636,"[36.6070359400278, 58.67264261547477]",4603054395003365.0,"[870444700109214.5, 2153893343511449.0]",0.6353485441801785,[[0.4496525  2.08214529]],1.218008347141644,[[0.83764521 3.37084068]],1.2,6.346589088439941,52.43882560982426,[[17.39244513 13.77228176]],0.14686842268907851,0.09,5.444021701812744,36.10710661523245,[[13.15885625 10.46086125]],82.16578364405636,"[36.6070359400278, 58.67264261547477]",4603054395003365.0,"[870444700109214.5, 2153893343511449.0]",0.6353485441801785,[[0.4496525  2.08214529]],1.218008347141644,[[0.83764521 3.37084068]]
4,1.5,7.599102020263672,38.97288266792508,[[10.32631779 32.73424993]],0.2137040687296383,0.09,7.332788944244385,32.44359495367953,[[ 5.50601683 41.00706658]],52.21174044125812,"[14.234946285768231, 27.191361663833845]",3725556235474771.0,"[581806122155962.0, 2.931708950235495e+16]",1.1771962574821917,[[ 0.71476714 17.03236135]],2.061081269944016,[[ 1.17944903 26.99899838]],1.5,7.599102020263672,38.97288266792508,[[10.32631779 32.73424993]],0.21370406872963832,0.09,7.332788944244385,32.44359495367953,[[ 5.50601683 41.00706658]],52.211740441258115,"[14.234946285768231, 27.191361663833845]",3725556235474771.0,"[581806122155962.0, 2.931708950235495e+16]",1.1771962574821917,[[ 0.71476714 17.03236135]],2.0610812699440157,[[ 1.17944903 26.99899838]]
5,1.8,9.568395614624023,38.44977540971232,[[11.76478926  8.62703541]],0.2863258809287944,0.09,7.256082057952881,22.41392528862298,[[ 8.62325014 10.55729202]],103.24779652008895,"[35.320948396025756, 52.7412315023047]",2893920662368162.5,"[543415402672276.5, 920957971543448.5]",0.2601745155079844,[[0.16410383 0.48842147]],0.515207269717773,[[0.3166398  0.87303184]],1.8,9.568395614624023,38.449775409712316,[[11.76478926  8.62703541]],0.2863258809287944,0.09,7.256082057952881,22.41392528862298,[[ 8.62325014 10.55729202]],103.24779652008895,"[35.320948396025756, 52.7412315023047]",2893920662368162.5,"[543415402672276.5, 920957971543448.5]",0.2601745155079844,[[0.16410383 0.48842147]],0.515207269717773,[[0.3166398  0.87303184]]
6,2.1,11.17001724243164,35.19507455037841,[[4.10651494 3.15575176]],0.3618400135277045,0.09,9.781512260437012,24.35329645885887,[[4.37145948 2.8347451 ]],63.5837668485084,"[13.869965269420675, 22.0194575188884]",2446037581922536.0,"[205582667737798.25, 302009391078867.5]",0.5416264609487341,[[0.25514251 0.40585418]],0.9913827240538218,[[0.43866315 0.64696594]],2.1,11.17001724243164,35.19507455037841,[[4.10651494 3.15575176]],0.36184001352770456,0.09,9.781512260437012,24.35329645885887,[[4.37145948 2.8347451 ]],63.583766848508404,"[13.869965269420675, 22.0194575188884]",2446037581922536.0,"[205582667737798.25, 302009391078867.5]",0.5416264609487341,[[0.25514251 0.40585418]],0.9913827240538218,[[0.43866315 0.64696594]]
7,2.4,8.950225830078125,20.96185989223632,[[ 4.81983559 14.34389038]],0.4376374130815039,0.09,9.482054710388184,19.740034373861345,[[ 3.47289074 17.75196652]],31.06778065399777,"[5.866446192351791, 11.70354913798975]",1866611140153098.5,"[325194153701420.0, 6.298118229008234e+16]",1.4399452666182937,[[ 0.74777143 68.52504098]],2.1315852292886497,[[ 0.98414499 91.99639719]],2.4,8.950225830078125,20.96185989223632,[[ 4.81983559 14.34389038]],0.43763741308150395,0.09,9.482054710388184,19.740034373861345,[[ 3.47289074 17.75196652]],31.06778065399777,"[5.866446192351791, 11.70354913798975]",1866611140153098.5,"[325194153701420.0, 6.298118229008234e+16]",1.4399452666182935,[[ 0.74777143 68.52504098]],2.1315852292886497,[[ 0.98414499 91.99639719]]
8,2.7,6.426898002624512,13.653983306785566,[[1.26254102 1.3859478 ]],0.5114821287208138,0.09,8.790343284606934,15.556291066238584,[[1.58621998 1.42143123]],20.604614698173684,"[0.9976957489006253, 1.45060898314048]",2.4247348096975264e+16,"[2.2231472162226524e+16, 2.702487559475409e+17]",35.49943018572305,[[ 32.83157832 427.93424042]],42.693291162733,[[ 39.35274982 497.57241847]],2.7,6.426898002624512,13.653983306785566,[[1.26254102 1.3859478 ]],0.5114821287208138,0.09,8.790343284606934,15.556291066238584,[[1.58621998 1.42143123]],20.604614698173684,"[0.9976957489006253, 1.45060898314048]",2.4247348096975264e+16,"[2.2231472162226524e+16, 2.702487559475409e+17]",35.49943018572305,[[ 32.83157832 427.93424042]],42.693291162733,[[ 39.35274982 497.57241847]]
9,3.0,2.733532190322876,8.020721527737598,[[1.04714365 0.93828474]],0.5815673892199709,0.09,6.60666561126709,9.704549772112106,[[1.04321049 0.98660839]],14.57042048326877,"[0.8912942778415545, 1.0274346969864094]",2.0514619581652096e+16,"[1.9008682350748292e+16, 2.744693719391097e+17]",48.25948665431855,[[ 45.01326869 702.00585458]],45.13760432729176,[[ 41.92597409 618.81259787]],3.0,2.733532190322876,8.020721527737598,[[1.04714365 0.93828474]],0.5815673892199709,0.09,6.60666561126709,9.704549772112106,[[1.04321049 0.98660839]],14.57042048326877,"[0.8912942778415545, 1.0274346969864094]",2.0514619581652096e+16,"[1.9008682350748292e+16, 2.744693719391097e+17]",48.25948665431855,[[ 45.01326869 702.00585458]],45.13760432729176,[[ 41.92597409 618.81259787]]
