,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.794351577758789,3.6460685276544953,[[0.97593506 0.94774328]],2.033801555633545,2.274562686876456,[[0.71744181 1.10570753]],48.88811865654026,"[15.761881718219577, 11.304130943414577]",150918700060285.4,"[33194447950790.47, 35158468085022.125]",0.0536019161923311,[[0.02480269 0.07549905]],0.0922799794281802,[[0.04016949 0.10379222]],0.3,4.794351577758789,3.6460685276544953,[[0.97593506 0.94774328]],2.033801555633545,2.274562686876456,[[0.71744181 1.10570753]],48.88811865654026,"[15.761881718219577, 11.304130943414577]",150918700060285.4,"[33194447950790.47, 35158468085022.125]",0.05360191619233114,[[0.02480269 0.07549905]],0.09227997942818027,[[0.04016949 0.10379222]]
1,0.6,10.349794387817385,10.69338887228248,[[1.23937751 0.91318152]],7.570204257965088,7.585131185091433,[[1.39346186 1.23165692]],39.6189563747852,"[8.999180317995133, 12.284153656596807]",486676535331844.5,"[40093668343911.06, 52322484206630.375]",0.2494558984422724,[[0.10684467 0.17636051]],0.4037324339128063,[[0.15441109 0.22282573]],0.6,10.349794387817383,10.69338887228248,[[1.23937751 0.91318152]],7.570204257965088,7.585131185091433,[[1.39346186 1.23165692]],39.6189563747852,"[8.999180317995133, 12.284153656596807]",486676535331844.44,"[40093668343911.06, 52322484206630.375]",0.24945589844227245,[[0.10684467 0.17636051]],0.4037324339128063,[[0.15441109 0.22282573]]
2,0.9,8.185954093933105,8.526175484037973,[[2.14014612 2.08721935]],7.425683975219727,7.600443437076263,[[0.83679061 0.80448477]],25.10891095837771,"[6.292243900872364, 7.997997905024537]",441112508391901.6,"[37968128588507.81, 61917505239406.875]",0.4786577376277885,[[0.1986831 0.3609085]],0.642771287124596,[[0.21765566 0.30996651]],0.9,8.185954093933105,8.526175484037973,[[2.14014612 2.08721935]],7.425683975219727,7.600443437076263,[[0.83679061 0.80448477]],25.10891095837771,"[6.292243900872364, 7.997997905024537]",441112508391901.6,"[37968128588507.81, 61917505239406.875]",0.47865773762778857,[[0.1986831 0.3609085]],0.642771287124596,[[0.21765566 0.30996651]]
3,1.2,5.336268901824951,5.963228611048777,[[1.69312865 0.91801951]],4.456201553344727,4.54634237826417,[[1.24251323 0.90397504]],31.54933207982824,"[11.553706378953457, 16.25646637530097]",251833742253114.2,"[32847359378344.812, 44349584571005.125]",0.1894172394588191,[[0.10849966 0.26362173]],0.2821682972654934,[[0.14369405 0.25261657]],1.2,5.336268901824951,5.963228611048777,[[1.69312865 0.91801951]],4.456201553344727,4.54634237826417,[[1.24251323 0.90397504]],31.549332079828236,"[11.553706378953457, 16.25646637530097]",251833742253114.2,"[32847359378344.812, 44349584571005.125]",0.1894172394588191,[[0.10849966 0.26362173]],0.2821682972654934,[[0.14369405 0.25261657]]
4,1.5,7.247902393341064,7.139280390261851,[[2.29105828 5.03187174]],8.179085731506348,8.211541037582085,[[1.91743419 4.36906396]],16.773298540991433,"[2.9151092025872707, 4.985567263181068]",605633189962583.9,"[128045561808090.06, 432553636767473.75]",1.1853776260772366,[[0.54039058 1.41364678]],1.2403378932402809,[[0.43900411 1.08668274]],1.5,7.2479023933410645,7.139280390261851,[[2.29105828 5.03187174]],8.179085731506348,8.211541037582085,[[1.91743419 4.36906396]],16.773298540991433,"[2.9151092025872707, 4.985567263181068]",605633189962583.9,"[128045561808090.06, 432553636767473.75]",1.1853776260772366,[[0.54039058 1.41364678]],1.2403378932402809,[[0.43900411 1.08668274]]
5,1.8,9.06441593170166,8.993248890192662,[[2.31197718 4.37832736]],9.79521942138672,9.836090869072445,[[1.90082866 3.73599313]],18.618175653714065,"[2.7493666150967044, 4.414474116876001]",756278907907443.0,"[144511012804191.0, 383866522308428.25]",1.2813399263790868,[[0.5230734  1.12150841]],1.44374758449186,[[0.47086697 0.96612927]],1.8,9.06441593170166,8.993248890192662,[[2.31197718 4.37832736]],9.795219421386719,9.836090869072443,[[1.90082866 3.73599313]],18.618175653714065,"[2.7493666150967044, 4.414474116876001]",756278907907443.0,"[144511012804191.0, 383866522308428.25]",1.2813399263790868,[[0.5230734  1.12150841]],1.4437475844918601,[[0.47086697 0.96612927]]
6,2.1,11.17001724243164,11.430292953871774,[[2.0107994  1.97216878]],9.781512260437012,9.915889460384866,[[0.76669417 0.69937121]],27.67382885481705,"[5.2857781282976894, 6.345952991426522]",624001488511226.4,"[42589500065578.125, 61387581457211.75]",0.5806627568323516,[[0.1947951 0.3061818]],0.8172827352560987,[[0.22525448 0.30269103]],2.1,11.17001724243164,11.430292953871774,[[2.0107994  1.97216878]],9.781512260437012,9.915889460384866,[[0.76669417 0.69937121]],27.673828854817046,"[5.2857781282976894, 6.345952991426522]",624001488511226.4,"[42589500065578.125, 61387581457211.75]",0.5806627568323516,[[0.1947951 0.3061818]],0.8172827352560987,[[0.22525448 0.30269103]]
7,2.4,10.415026664733888,10.525454333925897,[[2.37010989 2.86136952]],9.770057678222656,9.87768477405226,[[1.22652895 1.59083971]],24.078111697655583,"[4.849922490153112, 5.293686777056056]",635297889109097.8,"[55458777484319.375, 124807189900499.25]",0.7356737905314085,[[0.24545595 0.49444455]],0.9667374833885471,[[0.25810445 0.44930435]],2.4,10.415026664733887,10.525454333925897,[[2.37010989 2.86136952]],9.770057678222656,9.877684774052259,[[1.22652895 1.59083971]],24.078111697655586,"[4.849922490153112, 5.293686777056056]",635297889109097.8,"[55458777484319.375, 124807189900499.25]",0.7356737905314085,[[0.24545595 0.49444455]],0.9667374833885471,[[0.25810445 0.44930435]]
8,2.7,6.426898002624512,7.114789042407453,[[1.66521016 3.0554139 ]],8.790343284606934,8.671648880500085,[[1.66097257 2.9164986 ]],15.02940021473426,"[1.182236931330955, 2.837972747433133]",853228061111472.8,"[252980432336723.75, 425343755808531.75]",1.9296629820937456,[[0.85229784 1.27426458]],1.8523972627130785,[[0.67237573 1.01418288]],2.7,6.426898002624512,7.114789042407453,[[1.66521016 3.0554139 ]],8.790343284606934,8.671648880500085,[[1.66097257 2.9164986 ]],15.029400214734261,"[1.182236931330955, 2.837972747433133]",853228061111472.8,"[252980432336723.75, 425343755808531.75]",1.9296629820937459,[[0.85229784 1.27426458]],1.8523972627130783,[[0.67237573 1.01418288]]
9,3.0,5.233510494232178,6.315822299082127,[[1.56017712 2.70749867]],8.1714448928833,7.9621844996774,[[1.56229336 2.62753929]],14.03016623752059,"[1.1022500758105807, 2.4226763206202655]",816861176201133.5,"[249830402590765.38, 437840072011576.25]",2.01422240677005,[[0.87521572 1.39931944]],1.8232567407223776,[[0.64860051 1.04342247]],3.0,5.233510494232178,6.315822299082127,[[1.56017712 2.70749867]],8.1714448928833,7.9621844996774,[[1.56229336 2.62753929]],14.03016623752059,"[1.1022500758105807, 2.4226763206202655]",816861176201133.5,"[249830402590765.38, 437840072011576.25]",2.01422240677005,[[0.87521572 1.39931944]],1.8232567407223776,[[0.64860051 1.04342247]]
10,3.3,2.89752459526062,4.486259501750847,[[1.41803583 2.6759215 ]],6.538307189941406,6.234172358593175,[[1.46896798 2.60963664]],12.015475182081438,"[1.0421270534677518, 2.3237661871129394]",655904062570573.8,"[224038721661932.38, 467624033451612.25]",1.939985227103796,[[0.90347541 1.72305659]],1.5158351903045455,[[0.55958058 1.08308642]],3.3,2.89752459526062,4.486259501750847,[[1.41803583 2.6759215 ]],6.538307189941406,6.234172358593175,[[1.46896798 2.60963664]],12.015475182081438,"[1.0421270534677518, 2.3237661871129394]",655904062570573.8,"[224038721661932.38, 467624033451612.25]",1.939985227103796,[[0.90347541 1.72305659]],1.5158351903045455,[[0.55958058 1.08308642]]
11,3.6,2.884584903717041,4.484919431662595,[[1.38783281 2.56817492]],6.566549777984619,6.2375911642031925,[[1.43683409 2.50420521]],11.954855476729168,"[0.9849947992255732, 2.2306643144989433]",669547067708148.6,"[230176353915348.75, 462527840299009.4]",1.991486813077538,[[0.92273037 1.70063333]],1.5480562523510264,[[0.57123646 1.07057315]],3.6,2.884584903717041,4.484919431662595,[[1.38783281 2.56817492]],6.566549777984619,6.2375911642031925,[[1.43683409 2.50420521]],11.954855476729168,"[0.9849947992255732, 2.2306643144989433]",669547067708148.6,"[230176353915348.75, 462527840299009.4]",1.991486813077538,[[0.92273037 1.70063333]],1.5480562523510264,[[0.57123646 1.07057315]]
12,3.9,3.0371499061584477,4.32779000313539,[[1.46754053 2.93418824]],6.320858955383301,6.0753877614420375,[[1.53412364 2.85675006]],11.902711063111797,"[1.1151785723466396, 2.610532886346748]",627644427327774.9,"[221598667846191.06, 471579132437021.75]",1.8759005256992891,[[0.91596579 1.77127249]],1.4516802619540137,[[0.55684795 1.09071648]],3.9,3.0371499061584473,4.32779000313539,[[1.46754053 2.93418824]],6.320858955383301,6.0753877614420375,[[1.53412364 2.85675006]],11.902711063111797,"[1.1151785723466396, 2.610532886346748]",627644427327774.9,"[221598667846191.06, 471579132437021.75]",1.8759005256992893,[[0.91596579 1.77127249]],1.4516802619540135,[[0.55684795 1.09071648]]
13,4.2,2.5922048091888428,3.96251046654692,[[1.43915966 2.92492288]],5.969081401824951,5.715265404909184,[[1.52793913 2.85961036]],11.547179039310608,"[1.1675902507593747, 2.5475904151762396]",583825288520172.4,"[207467460351411.0, 483853008599846.9]",1.8036568623974465,[[0.8808761  1.87821502]],1.352322272009521,[[0.51364586 1.12075515]],4.2,2.5922048091888428,3.9625104665469197,[[1.43915966 2.92492288]],5.969081401824951,5.715265404909184,[[1.52793913 2.85961036]],11.547179039310608,"[1.1675902507593747, 2.5475904151762396]",583825288520172.4,"[207467460351411.0, 483853008599846.9]",1.8036568623974465,[[0.8808761  1.87821502]],1.352322272009521,[[0.51364586 1.12075515]]
14,4.5,0.2436690628528595,1.7808223233376286,[[1.02668856 3.30281605]],3.692347288131714,3.4144049776465737,[[1.43397891 3.41437381]],9.074503701392803,"[1.2796322430992593, 3.283522970082645]",351367471661010.94,"[156838081341190.22, 446026722565758.3]",1.3707069041056086,[[0.81323118 2.12456342]],0.7725087435355529,[[0.38502431 1.06423917]],4.5,0.2436690628528595,1.7808223233376286,[[1.02668856 3.30281605]],3.692347288131714,3.4144049776465737,[[1.43397891 3.41437381]],9.074503701392805,"[1.2796322430992593, 3.283522970082645]",351367471661010.94,"[156838081341190.22, 446026722565758.3]",1.3707069041056086,[[0.81323118 2.12456342]],0.7725087435355529,[[0.38502431 1.06423917]]
15,4.8,1.044074296951294,2.496103829404773,[[1.2130001 3.2334057]],4.506292819976807,4.214572268794331,[[1.48007726 3.237956  ]],9.964565037989567,"[1.228728512463606, 3.0449305682230072]",426296080087262.9,"[172757926507084.22, 452779649740645.94]",1.5290401254891544,[[0.84433581 2.01024169]],0.9700682235739662,[[0.42343629 1.03557255]],4.8,1.044074296951294,2.496103829404773,[[1.2130001 3.2334057]],4.506292819976807,4.214572268794331,[[1.48007726 3.237956  ]],9.964565037989567,"[1.228728512463606, 3.0449305682230072]",426296080087262.94,"[172757926507084.22, 452779649740645.94]",1.5290401254891544,[[0.84433581 2.01024169]],0.9700682235739662,[[0.42343629 1.03557255]]
16,5.1,1.180476188659668,2.376010310494558,[[1.2238974  3.63572685]],4.305109024047852,4.070832582114069,[[1.52458969 3.64283932]],9.933159323151102,"[1.3433791568518867, 3.4921861108033863]",397381330857336.5,"[163971153720581.34, 471430377869280.06]",1.429576259440629,[[0.82235128 2.11589752]],0.9034971487596908,[[0.40513752 1.0718571 ]],5.1,1.180476188659668,2.376010310494558,[[1.2238974  3.63572685]],4.305109024047852,4.070832582114069,[[1.52458969 3.64283932]],9.933159323151102,"[1.3433791568518867, 3.4921861108033863]",397381330857336.44,"[163971153720581.34, 471430377869280.06]",1.429576259440629,[[0.82235128 2.11589752]],0.9034971487596909,[[0.40513752 1.0718571 ]]
17,5.4,0.461954265832901,1.7900741621474583,[[1.06309447 3.55037594]],3.6548526287078857,3.409152293897728,[[1.48630712 3.65458809]],9.200059117955622,"[1.39696415791766, 3.621527994563907]",336791891789408.9,"[151473399990454.16, 430830671443978.9]",1.298464751347319,[[0.78940189 2.06389011]],0.7451095301023951,[[0.37564737 1.0117877 ]],5.4,0.461954265832901,1.7900741621474585,[[1.06309447 3.55037594]],3.6548526287078857,3.4091522938977277,[[1.48630712 3.65458809]],9.200059117955622,"[1.39696415791766, 3.621527994563907]",336791891789408.9,"[151473399990454.16, 430830671443978.9]",1.2984647513473193,[[0.78940189 2.06389011]],0.7451095301023951,[[0.37564737 1.0117877 ]]
18,5.7,1.2266136407852173,1.8111978119864829,[[1.25098654 6.53926371]],3.2509937286376958,3.125877213700504,[[1.55185921 5.93374125]],10.629230404772468,"[2.906062991110778, 8.018706292124605]",219053591949890.1,"[77547007687679.88, 425950912772258.8]",0.737763880373713,[[0.4985543  2.10721747]],0.5050071437779845,[[0.23518779 0.98198916]],5.7,1.2266136407852173,1.8111978119864827,[[1.25098654 6.53926371]],3.2509937286376953,3.125877213700504,[[1.55185921 5.93374125]],10.629230404772468,"[2.906062991110778, 8.018706292124605]",219053591949890.06,"[77547007687679.88, 425950912772258.8]",0.737763880373713,[[0.4985543  2.10721747]],0.5050071437779845,[[0.23518779 0.98198916]]
