,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.252113342285156,4.987817215026111,[[1.745317   1.58691958]],3.581673145294189,3.020188693888226,[[1.26455916 2.11104566]],54.84614090645439,"[24.365171640276373, 28.96362059431366]",217500672943936.4,"[47301343214316.75, 67438154298346.19]",0.0629292921335131,[[0.04028873 0.16385582]],0.1115001097225396,[[0.0679613  0.22156343]],0.3,4.252113342285156,4.987817215026111,[[1.745317   1.58691958]],3.5816731452941895,3.020188693888226,[[1.26455916 2.11104566]],54.84614090645439,"[24.365171640276373, 28.96362059431366]",217500672943936.38,"[47301343214316.75, 67438154298346.19]",0.06292929213351316,[[0.04028873 0.16385582]],0.11150010972253968,[[0.0679613  0.22156343]]
1,0.6,8.97927188873291,10.319244301214871,[[1.51135187 1.48581089]],7.987300395965576,7.038688291231301,[[1.79569311 1.84431734]],43.03967906179768,"[11.518708308635478, 18.799724027083307]",464437449337938.5,"[46289095019832.19, 82199444393867.38]",0.206299770037038,[[0.10889968 0.20546378]],0.3426340322891826,[[0.16537898 0.27053186]],0.6,8.97927188873291,10.319244301214871,[[1.51135187 1.48581089]],7.987300395965576,7.038688291231301,[[1.79569311 1.84431734]],43.03967906179768,"[11.518708308635478, 18.799724027083307]",464437449337938.5,"[46289095019832.19, 82199444393867.38]",0.20629977003703806,[[0.10889968 0.20546378]],0.3426340322891826,[[0.16537898 0.27053186]]
2,0.9,6.570132732391357,7.875610285967213,[[1.5641795  1.48518527]],6.116665840148926,5.397645892330941,[[1.72020589 1.79839196]],40.837357504515,"[13.27724420680471, 23.263911811410665]",338289640720863.0,"[42024539914923.5, 75414541976657.38]",0.164585354314851,[[0.09994591 0.22292826]],0.2689707507649652,[[0.15046064 0.27541826]],0.9,6.570132732391357,7.8756102859672135,[[1.5641795  1.48518527]],6.116665840148926,5.397645892330941,[[1.72020589 1.79839196]],40.837357504515,"[13.27724420680471, 23.263911811410665]",338289640720863.0,"[42024539914923.5, 75414541976657.38]",0.16458535431485105,[[0.09994591 0.22292826]],0.2689707507649652,[[0.15046064 0.27541826]]
3,1.2,6.346589088439941,7.444357453752266,[[2.08772872 1.83494619]],5.444021701812744,4.703956062359595,[[1.73817402 2.36075388]],50.09890218395327,"[17.88180032663893, 27.808737970254285]",326269187318561.0,"[52286526104672.5, 91073009502459.75]",0.1109618595485468,[[0.06921246 0.19227392]],0.1922554512008281,[[0.11290944 0.26328226]],1.2,6.346589088439941,7.444357453752266,[[2.08772872 1.83494619]],5.444021701812744,4.703956062359595,[[1.73817402 2.36075388]],50.09890218395327,"[17.88180032663893, 27.808737970254285]",326269187318561.0,"[52286526104672.5, 91073009502459.75]",0.11096185954854684,[[0.06921246 0.19227392]],0.19225545120082813,[[0.11290944 0.26328226]]
4,1.5,7.599102020263672,8.939267263651704,[[1.52479584 1.06715914]],7.332788944244385,6.58451102085895,[[1.55206865 1.22382113]],35.49343256580052,"[9.884090639611475, 16.83605625303123]",397050968100875.9,"[37281370242549.31, 59406571283918.81]",0.2454020540846621,[[0.13217874 0.23485301]],0.3824616540560935,[[0.18411518 0.26887031]],1.5,7.599102020263672,8.939267263651704,[[1.52479584 1.06715914]],7.332788944244385,6.58451102085895,[[1.55206865 1.22382113]],35.49343256580052,"[9.884090639611475, 16.83605625303123]",397050968100875.9,"[37281370242549.31, 59406571283918.81]",0.2454020540846621,[[0.13217874 0.23485301]],0.38246165405609356,[[0.18411518 0.26887031]]
5,1.8,9.568395614624023,10.703703200639566,[[2.71488644 2.62843131]],7.256082057952881,6.400837832605903,[[2.02415544 2.81888607]],62.78777469744911,"[18.88433659727911, 22.66950812477012]",521464066843136.8,"[83261074493439.19, 114266368287759.56]",0.1181485093266327,[[0.0619372 0.1546295]],0.2156974566532877,[[0.10727599 0.24002798]],1.8,9.568395614624023,10.703703200639566,[[2.71488644 2.62843131]],7.256082057952881,6.4008378326059026,[[2.02415544 2.81888607]],62.78777469744911,"[18.88433659727911, 22.66950812477012]",521464066843136.8,"[83261074493439.19, 114266368287759.56]",0.11814850932663272,[[0.0619372 0.1546295]],0.21569745665328777,[[0.10727599 0.24002798]]
6,2.1,11.17001724243164,12.656151335298595,[[1.35260682 1.31163491]],9.781512260437012,8.6545789386977,[[1.77115328 1.70370834]],44.53298818501532,"[9.965575626349526, 15.19154363449779]",595251017648635.0,"[49826930522349.5, 78718029074321.5]",0.2491362133068423,[[0.11380785 0.18635384]],0.4179614341889766,[[0.17350593 0.25420723]],2.1,11.17001724243164,12.656151335298597,[[1.35260682 1.31163491]],9.781512260437012,8.6545789386977,[[1.77115328 1.70370834]],44.53298818501532,"[9.965575626349526, 15.19154363449779]",595251017648635.0,"[49826930522349.5, 78718029074321.5]",0.24913621330684232,[[0.11380785 0.18635384]],0.41796143418897663,[[0.17350593 0.25420723]]
7,2.4,8.950225830078125,10.163270670573612,[[1.91309801 1.71110809]],9.482054710388184,8.580120099861391,[[0.9083588  0.60416682]],28.237929154063988,"[6.141945454574145, 8.51020134222767]",516246165050544.06,"[37396604364326.06, 47275734713870.56]",0.465097967395905,[[0.18602404 0.27861383]],0.6606832877819716,[[0.22033285 0.27153894]],2.4,8.950225830078125,10.163270670573612,[[1.91309801 1.71110809]],9.482054710388184,8.580120099861391,[[0.9083588  0.60416682]],28.237929154063988,"[6.141945454574145, 8.51020134222767]",516246165050544.06,"[37396604364326.06, 47275734713870.56]",0.465097967395905,[[0.18602404 0.27861383]],0.6606832877819716,[[0.22033285 0.27153894]]
8,2.7,6.426898002624512,6.85821047950651,[[2.40141764 5.40091416]],8.790343284606934,7.863313568662401,[[1.94313961 4.63882084]],16.822934844740747,"[3.3577150310287465, 5.390949467844074]",556772575848544.2,"[111870380871687.38, 442429508993452.44]",1.0853986838439298,[[0.50291445 1.50482121]],1.138222854944376,[[0.40587202 1.12137134]],2.7,6.426898002624512,6.85821047950651,[[2.40141764 5.40091416]],8.790343284606934,7.863313568662401,[[1.94313961 4.63882084]],16.822934844740747,"[3.3577150310287465, 5.390949467844074]",556772575848544.2,"[111870380871687.38, 442429508993452.44]",1.0853986838439298,[[0.50291445 1.50482121]],1.138222854944376,[[0.40587202 1.12137134]]
9,3.0,2.733532190322876,3.950886007499341,[[1.5144538  3.38140082]],6.60666561126709,5.685814522886654,[[1.61403717 3.29382464]],11.693152028907196,"[1.300745290584139, 3.0316420072165755]",553259539690101.75,"[198445032105991.8, 490864525616248.75]",1.686110698764992,[[0.86246359 1.91016627]],1.2809997793992205,[[0.50372803 1.13653232]],3.0,2.733532190322876,3.9508860074993404,[[1.5144538  3.38140082]],6.60666561126709,5.685814522886654,[[1.61403717 3.29382464]],11.693152028907196,"[1.300745290584139, 3.0316420072165755]",553259539690101.75,"[198445032105991.8, 490864525616248.75]",1.686110698764992,[[0.86246359 1.91016627]],1.2809997793992203,[[0.50372803 1.13653232]]
