,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.970211505889893,3.862030247922738,[[1.38421505 1.94251605]],1.923558235168457,2.1721013616997857,[[0.85354755 1.65542777]],70.90752330927336,"[27.4921304771743, 19.856625181741933]",185848809977045.38,"[50020203046486.25, 55911679661110.06]",0.0337019204636563,[[0.01813635 0.07207368]],0.06300378469879,[[0.03271155 0.1131306 ]],0.3,4.970211505889893,3.8620302479227386,[[1.38421505 1.94251605]],1.923558235168457,2.1721013616997857,[[0.85354755 1.65542777]],70.90752330927336,"[27.4921304771743, 19.856625181741933]",185848809977045.38,"[50020203046486.25, 55911679661110.06]",0.033701920463656304,[[0.01813635 0.07207368]],0.06300378469879007,[[0.03271155 0.1131306 ]]
1,0.6,8.867889404296875,9.406446287329,[[1.82561914 1.70524117]],6.3262248039245605,6.256380936907397,[[1.8763448  2.09571866]],45.07944235930659,"[13.19123561509926, 22.48641697939683]",417550858058443.6,"[49096157851957.31, 90488266360091.75]",0.1710715004845554,[[0.09805951 0.2043772 ]],0.2880074137398363,[[0.1527482  0.27370379]],0.6,8.867889404296875,9.406446287328999,[[1.82561914 1.70524117]],6.3262248039245605,6.256380936907397,[[1.8763448  2.09571866]],45.07944235930659,"[13.19123561509926, 22.48641697939683]",417550858058443.56,"[49096157851957.31, 90488266360091.75]",0.17107150048455544,[[0.09805951 0.2043772 ]],0.2880074137398363,[[0.1527482  0.27370379]]
2,0.9,7.502863883972168,8.025732030196515,[[2.1307775 1.9886489]],5.204370498657227,5.08847538833585,[[1.80614768 2.51834664]],50.09397054368047,"[17.886961612269047, 26.518506786954973]",354591179079469.2,"[54502549055256.0, 100643539628435.06]",0.120615054353834,[[0.07344413 0.21032448]],0.2089755173681795,[[0.11957869 0.28811836]],0.9,7.502863883972168,8.025732030196515,[[2.1307775 1.9886489]],5.204370498657227,5.0884753883358504,[[1.80614768 2.51834664]],50.09397054368047,"[17.886961612269047, 26.518506786954973]",354591179079469.2,"[54502549055256.0, 100643539628435.06]",0.12061505435383406,[[0.07344413 0.21032448]],0.20897551736817957,[[0.11957869 0.28811836]]
3,1.2,4.182346343994141,5.131055051356913,[[1.96814992 1.26282513]],3.877713441848755,4.034088406927688,[[1.54151225 1.04784613]],29.393747356435068,"[12.37555681322226, 26.747827934591545]",215837733733331.2,"[34537227104996.688, 63151699541531.66]",0.1822563830972946,[[0.1319563  0.35316889]],0.2635458279214296,[[0.17393515 0.30274541]],1.2,4.182346343994141,5.131055051356913,[[1.96814992 1.26282513]],3.877713441848755,4.034088406927688,[[1.54151225 1.04784613]],29.393747356435068,"[12.37555681322226, 26.747827934591545]",215837733733331.16,"[34537227104996.688, 63151699541531.66]",0.1822563830972946,[[0.1319563  0.35316889]],0.2635458279214296,[[0.17393515 0.30274541]]
4,1.5,7.015799045562744,7.242739850835123,[[2.60378884 3.3605221 ]],6.814337730407715,6.982598051066718,[[1.29816762 1.66218555]],21.813922737170937,"[6.627252885633702, 8.38966734828671]",401163129572433.75,"[41225994342321.875, 123708943929546.88]",0.5397317629466682,[[0.2489443  0.63156058]],0.671548762449409,[[0.24613227 0.46251172]],1.5,7.015799045562744,7.242739850835123,[[2.60378884 3.3605221 ]],6.814337730407715,6.982598051066718,[[1.29816762 1.66218555]],21.813922737170937,"[6.627252885633702, 8.38966734828671]",401163129572433.75,"[41225994342321.875, 123708943929546.88]",0.5397317629466682,[[0.2489443  0.63156058]],0.671548762449409,[[0.24613227 0.46251172]]
5,1.8,11.677614212036133,11.91916666279693,[[1.96917958 1.99994622]],10.221548080444336,10.3427544096128,[[0.76651047 0.6844478 ]],27.932159918449216,"[5.005462019553146, 6.254411881526323]",660614949144802.0,"[43727244300142.375, 61806321305954.375]",0.6056551686073992,[[0.19957976 0.29606184]],0.8561021126100825,[[0.23192178 0.2978919 ]],1.8,11.677614212036133,11.91916666279693,[[1.96917958 1.99994622]],10.221548080444336,10.3427544096128,[[0.76651047 0.6844478 ]],27.932159918449216,"[5.005462019553146, 6.254411881526323]",660614949144802.0,"[43727244300142.375, 61806321305954.375]",0.6056551686073992,[[0.19957976 0.29606184]],0.8561021126100825,[[0.23192178 0.2978919 ]]
6,2.1,12.296735763549805,12.300124074641964,[[2.29700796 3.1187691 ]],11.621731758117676,11.687778381482511,[[1.35022693 1.97667109]],24.55327958760304,"[3.878782082969977, 4.607461093172045]",818713129814619.9,"[74903863859793.75, 167357872839222.5]",0.9198553283130646,[[0.28361836 0.51664713]],1.2211697510359218,[[0.30435075 0.51001596]],2.1,12.296735763549805,12.300124074641964,[[2.29700796 3.1187691 ]],11.621731758117676,11.687778381482513,[[1.35022693 1.97667109]],24.55327958760304,"[3.878782082969977, 4.607461093172045]",818713129814619.9,"[74903863859793.75, 167357872839222.5]",0.9198553283130646,[[0.28361836 0.51664713]],1.2211697510359218,[[0.30435075 0.51001596]]
7,2.4,13.025872230529783,13.075202471232467,[[2.2081266 2.7781912]],11.91960334777832,11.992169629938893,[[1.14977687 1.5266652 ]],26.302588756806323,"[4.137855746553111, 4.876747315087094]",829216287207876.4,"[62790638822562.875, 128812572159695.38]",0.8365361195596035,[[0.2487692  0.42194023]],1.1494891811866408,[[0.27812009 0.43078102]],2.4,13.025872230529785,13.075202471232467,[[2.2081266 2.7781912]],11.91960334777832,11.992169629938891,[[1.14977687 1.5266652 ]],26.302588756806323,"[4.137855746553111, 4.876747315087094]",829216287207876.4,"[62790638822562.875, 128812572159695.38]",0.8365361195596035,[[0.2487692  0.42194023]],1.1494891811866408,[[0.27812009 0.43078102]]
8,2.7,10.874272346496582,10.864092076171396,[[2.13201411 3.6128129 ]],11.448241233825684,11.464899537856232,[[1.75428612 2.99680473]],20.443052497666294,"[2.386370367499257, 3.7996147077335465]",921491645748039.8,"[153484800357186.5, 309720987782397.0]",1.3647657636533617,[[0.48471336 0.81290224]],1.6334087340533612,[[0.4727985  0.76937185]],2.7,10.874272346496582,10.864092076171396,[[2.13201411 3.6128129 ]],11.448241233825684,11.464899537856233,[[1.75428612 2.99680473]],20.443052497666294,"[2.386370367499257, 3.7996147077335465]",921491645748039.8,"[153484800357186.5, 309720987782397.0]",1.3647657636533617,[[0.48471336 0.81290224]],1.6334087340533612,[[0.4727985  0.76937185]]
9,3.0,10.15962028503418,10.210375501131535,[[1.98565676 3.43406248]],11.131322860717772,11.11302180964635,[[1.75872248 2.99447249]],19.23241571695516,"[1.9570980549624863, 3.443408249152238]",940810346594521.6,"[182350502798932.5, 335809532423705.0]",1.5220845034666963,[[0.5594524  0.87831221]],1.7523885045113148,[[0.52794612 0.8143159 ]],3.0,10.15962028503418,10.210375501131537,[[1.98565676 3.43406248]],11.131322860717773,11.11302180964635,[[1.75872248 2.99447249]],19.23241571695516,"[1.9570980549624863, 3.443408249152238]",940810346594521.5,"[182350502798932.5, 335809532423705.0]",1.5220845034666965,[[0.5594524  0.87831221]],1.7523885045113148,[[0.52794612 0.8143159 ]]
10,3.3,5.532732963562012,7.858270819571489,[[1.23031093 1.60006324]],9.9361572265625,9.468746461202386,[[1.24556027 1.57683077]],15.322634159761298,"[0.8077410074873779, 1.4400174502134018]",1082319584404479.8,"[273997755281864.75, 311684092432567.75]",2.387658487383112,[[0.80420973 0.90744191]],2.3286159598317484,[[0.67253412 0.74331006]],3.3,5.532732963562012,7.858270819571489,[[1.23031093 1.60006324]],9.9361572265625,9.468746461202386,[[1.24556027 1.57683077]],15.322634159761298,"[0.8077410074873779, 1.4400174502134018]",1082319584404479.8,"[273997755281864.75, 311684092432567.75]",2.387658487383112,[[0.80420973 0.90744191]],2.3286159598317484,[[0.67253412 0.74331006]]
11,3.6,5.90240478515625,7.813268415912552,[[1.33941971 1.80608793]],9.757672309875488,9.406923819274535,[[1.35228636 1.77802105]],15.368270119959725,"[0.8904902258309129, 1.6075401484289582]",1040758033056629.0,"[274139998562431.38, 342989838576083.25]",2.2871499899419856,[[0.81089119 0.99423788]],2.2359754263460827,[[0.67747545 0.81647706]],3.6,5.90240478515625,7.813268415912552,[[1.33941971 1.80608793]],9.757672309875488,9.406923819274537,[[1.35228636 1.77802105]],15.368270119959723,"[0.8904902258309129, 1.6075401484289582]",1040758033056629.0,"[274139998562431.38, 342989838576083.25]",2.2871499899419856,[[0.81089119 0.99423788]],2.2359754263460827,[[0.67747545 0.81647706]]
