,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl_err,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl_err,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0.3,4.970211505889893,3.860255889232853,[[1.33392775 1.91119504]],1.923558235168457,2.1567816833299296,[[0.81582809 1.53240047]],72.9727650827671,"[25.801679695962747, 19.17531205542518]",188513386849097.2,"[48662341411344.484, 55279192064820.0]",0.0324231247774271,[[0.01684528 0.05980944]],0.0609287352516832,[[0.0305471  0.09633554]],0.3,4.970211505889893,3.860255889232853,[[1.33392775 1.91119504]],1.923558235168457,2.1567816833299296,[[0.81582809 1.53240047]],72.9727650827671,"[25.801679695962747, 19.17531205542518]",188513386849097.2,"[48662341411344.484, 55279192064820.0]",0.032423124777427155,[[0.01684528 0.05980944]],0.06092873525168329,[[0.0305471  0.09633554]]
1,0.6,8.867889404296875,9.722883278824373,[[2.63850875 2.44065506]],6.3262248039245605,5.852651097781905,[[1.97213095 2.75827398]],60.44011729086765,"[19.616228450497907, 23.84323624601734]",462485425665332.5,"[79336201644879.44, 107192624452942.56]",0.1122991659768142,[[0.06186422 0.16501958]],0.2033784457593529,[[0.10630499 0.24977771]],0.6,8.867889404296875,9.722883278824373,[[2.63850875 2.44065506]],6.3262248039245605,5.852651097781905,[[1.97213095 2.75827398]],60.44011729086765,"[19.616228450497907, 23.84323624601734]",462485425665332.44,"[79336201644879.44, 107192624452942.56]",0.11229916597681426,[[0.06186422 0.16501958]],0.20337844575935296,[[0.10630499 0.24977771]]
2,0.9,7.502863883972168,8.18976610333433,[[2.46693478 2.4015694 ]],5.204370498657227,4.855227315727533,[[1.74854275 2.63512569]],62.091491021904574,"[22.282662112670494, 24.071382811221923]",386850999746033.7,"[76370786925074.81, 93894555937596.25]",0.0894458401895647,[[0.05022562 0.15495382]],0.1629182128449192,[[0.08717492 0.23324481]],0.9,7.502863883972168,8.18976610333433,[[2.46693478 2.4015694 ]],5.204370498657227,4.855227315727533,[[1.74854275 2.63512569]],62.091491021904574,"[22.282662112670494, 24.071382811221923]",386850999746033.7,"[76370786925074.81, 93894555937596.25]",0.08944584018956472,[[0.05022562 0.15495382]],0.16291821284491922,[[0.08717492 0.23324481]]
3,1.2,4.182346343994141,5.291191451546223,[[1.62422808 1.58097884]],3.877713441848755,3.632197309728486,[[1.57873035 1.76274832]],38.995048363375474,"[17.469710603944993, 33.02137019887492]",216266587112721.72,"[38688535082843.03, 73147052404533.69]",0.1139118742961536,[[0.08261729 0.28328738]],0.1834045905468022,[[0.12473567 0.3069757 ]],1.2,4.182346343994141,5.291191451546223,[[1.62422808 1.58097884]],3.877713441848755,3.632197309728486,[[1.57873035 1.76274832]],38.995048363375474,"[17.469710603944993, 33.02137019887492]",216266587112721.75,"[38688535082843.03, 73147052404533.69]",0.11391187429615367,[[0.08261729 0.28328738]],0.18340459054680222,[[0.12473567 0.3069757 ]]
4,1.5,7.015799045562744,8.01248895955746,[[1.82717897 1.45505207]],6.814337730407715,6.5109926842915415,[[1.24732757 0.72185572]],29.01921996524679,"[8.020220138389494, 13.442388183235892]",369955533573829.2,"[34311799724668.812, 49346594475728.875]",0.3189526103978434,[[0.16631666 0.27803075]],0.4586304578856675,[[0.2061567 0.2676384]],1.5,7.015799045562744,8.01248895955746,[[1.82717897 1.45505207]],6.814337730407715,6.5109926842915415,[[1.24732757 0.72185572]],29.01921996524679,"[8.020220138389494, 13.442388183235892]",369955533573829.2,"[34311799724668.812, 49346594475728.875]",0.3189526103978434,[[0.16631666 0.27803075]],0.45863045788566753,[[0.2061567 0.2676384]]
5,1.8,11.677614212036133,12.752401835193607,[[1.47170083 1.16170374]],10.221548080444336,9.615686698989869,[[1.22342503 0.84354028]],36.2461249209305,"[6.935246643668243, 9.818691153328622]",622335072613075.9,"[38047345404176.0, 47462541492537.125]",0.3712483532453808,[[0.14077334 0.19693351]],0.5829609234571121,[[0.19255889 0.23763036]],1.8,11.677614212036133,12.752401835193607,[[1.47170083 1.16170374]],10.221548080444336,9.615686698989869,[[1.22342503 0.84354028]],36.2461249209305,"[6.935246643668243, 9.818691153328622]",622335072613075.9,"[38047345404176.0, 47462541492537.125]",0.37124835324538086,[[0.14077334 0.19693351]],0.5829609234571121,[[0.19255889 0.23763036]]
6,2.1,12.296735763549805,13.286443881389086,[[1.78039883 1.62423307]],11.621731758117676,10.959147750854722,[[0.78733412 0.55663798]],31.17311921256644,"[5.225541032800191, 6.405965439326867]",714412676265001.1,"[41064649886898.625, 49244043975436.5]",0.5480580612821818,[[0.17026299 0.23902093]],0.812433863496335,[[0.21168012 0.26195657]],2.1,12.296735763549805,13.286443881389086,[[1.78039883 1.62423307]],11.621731758117676,10.959147750854722,[[0.78733412 0.55663798]],31.173119212566437,"[5.225541032800191, 6.405965439326867]",714412676265001.1,"[41064649886898.625, 49244043975436.5]",0.5480580612821818,[[0.17026299 0.23902093]],0.812433863496335,[[0.21168012 0.26195657]]
7,2.4,13.025872230529783,14.070654157137604,[[1.66467213 1.47052713]],11.91960334777832,11.244349642504243,[[0.89793406 0.52848129]],33.41091812200703,"[5.433012399323928, 6.918032796650138]",744034085901827.6,"[40667752783755.125, 46316318778965.75]",0.5089100557845967,[[0.15923426 0.21378862]],0.7754615765244904,[[0.20627891 0.24684654]],2.4,13.025872230529785,14.070654157137605,[[1.66467213 1.47052713]],11.91960334777832,11.244349642504243,[[0.89793406 0.52848129]],33.41091812200703,"[5.433012399323928, 6.918032796650138]",744034085901827.6,"[40667752783755.125, 46316318778965.75]",0.5089100557845967,[[0.15923426 0.21378862]],0.7754615765244904,[[0.20627891 0.24684654]]
8,2.7,10.874272346496582,11.53147075060212,[[2.26903436 2.95497349]],11.448241233825684,10.758419853126272,[[1.18561064 1.61556421]],24.799156932866914,"[4.427931161036739, 5.398345495703531]",715355627937476.9,"[57336746998496.5, 129548088550594.0]",0.791393026387956,[[0.25961516 0.46640041]],1.0560323251919097,[[0.27811791 0.44607626]],2.7,10.874272346496582,11.531470750602121,[[2.26903436 2.95497349]],11.448241233825684,10.758419853126272,[[1.18561064 1.61556421]],24.799156932866914,"[4.427931161036739, 5.398345495703531]",715355627937476.9,"[57336746998496.5, 129548088550594.0]",0.791393026387956,[[0.25961516 0.46640041]],1.0560323251919097,[[0.27811791 0.44607626]]
9,3.0,10.15962028503418,10.729642751841322,[[2.44201851 3.54855017]],11.131322860717772,10.448982286723131,[[1.46238722 2.33069657]],22.891351375910062,"[4.246466503401443, 5.116172778285556]",706940042916244.8,"[71178457965031.12, 191147316092542.25]",0.8844640360561165,[[0.30410752 0.63405766]],1.1309484622142627,[[0.30959724 0.58169773]],3.0,10.15962028503418,10.729642751841322,[[2.44201851 3.54855017]],11.131322860717773,10.448982286723133,[[1.46238722 2.33069657]],22.891351375910062,"[4.246466503401443, 5.116172778285556]",706940042916244.8,"[71178457965031.12, 191147316092542.25]",0.8844640360561165,[[0.30410752 0.63405766]],1.1309484622142627,[[0.30959724 0.58169773]]
