,Unnamed: 0,r_empkep_rs,Tb7_empkep_rs,Tb6_empkep_rs,Texe_rs_empkep,Texe_err_rs_empkep,Ncol_rs_empkep,Ncol_err_rs_empkep,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0,7.499648109064775,0.6403179168701172,-0.9509415030479432,34.93924735798484,"[20.889461763115573, 20.38461498383173]",8127205927930.15,"[8041550833797.1, 730211117758520.8]",0.3,4.794351577758789,2.033801555633545,44.46530296844776,"[17.956697444763677, 14.48403545561132]",1.1414345522972094e+17,"[3.043566563135379e+16, 3.675834345342277e+16]"
1,1,5.114095849198065,1.180476188659668,4.305109024047852,8.36303792849193,"[0.7261847817479081, 0.8736846146077877]",1.9002189817196667e+19,"[1.8636646172477022e+19, 1.5006679823667078e+21]",0.6,10.349794387817383,7.570204257965088,32.63370667692725,"[12.150385807893361, 17.168974751099427]",3.680138053496931e+17,"[5.287068424643808e+16, 7.829653469107757e+16]"
2,2,3.7091072733296113,2.983046054840088,6.493600368499756,10.518989553144522,"[0.763712714128232, 0.8072591388555139]",4.335748181133693e+19,"[4.2350975031375634e+19, 1.8092474288116723e+21]",0.9,8.185954093933105,7.425683975219727,14.008040165089351,"[1.5377065314767187, 11.220444039049962]",7.726026275923935e+17,"[4.740125324294822e+17, 5.895995679964926e+20]"
3,3,2.812578800251262,5.739008903503418,8.485126495361328,12.90341773308364,"[0.8288338962250474, 0.9422043282709431]",4.276722546955984e+19,"[4.147995513926785e+19, 1.718222563085465e+21]",1.2,5.336268901824951,4.456201553344727,20.472114617954084,"[10.8645528726215, 20.79256345013092]",1.97641323393751e+17,"[4.348388690817168e+16, 2.5987852223019594e+19]"
4,4,2.2057778721163106,11.192421913146973,10.194398880004885,17.057585465241466,"[1.5392882421515939, 8.89845635509555]",2.2348998264279304e+18,"[1.7774016792654725e+18, 6.93387600868384e+20]",1.5,7.2479023933410645,8.179085731506348,13.416300266113232,"[0.9426240268564836, 1.4165179324161308]",2.3579087451319276e+19,"[2.304282279505089e+19, 1.4209191035364096e+21]"
5,5,1.7760907573066569,9.06441593170166,9.79521942138672,15.261387715377612,"[1.018769820137246, 1.4607691732676322]",3.098069642406405e+19,"[3.022767163458877e+19, 1.530688613671206e+21]",1.8,9.06441593170166,9.795219421386719,15.252618524786385,"[1.0076512635832735, 1.3912839243930932]",3.189438498802005e+19,"[3.1119077836316905e+19, 1.546039786581508e+21]"
6,6,1.460741020323409,7.003013610839844,7.669294834136963,13.026524541483573,"[0.9455163145457846, 2.252337071812386]",1.6473157472471134e+19,"[1.6079840421048787e+19, 1.2050181268658455e+21]",2.1,11.17001724243164,9.781512260437012,17.583716991524728,"[2.2774954613815463, 11.91242023740828]",6.827831110195233e+17,"[2.5345440174145453e+17, 3.414303443340832e+20]"
7,7,1.2224877956753166,5.336268901824951,4.456201553344727,19.535498028408107,"[10.054299086670081, 20.742217944799584]",2.02794541126716e+17,"[4.736857780756752e+16, 4.81822032685831e+19]",2.4,10.415026664733887,9.770057678222656,16.054217361280404,"[1.2639753939822835, 5.678575786218964]",6.55413270054657e+18,"[6.095037914913457e+18, 1.0375060841292798e+21]"
8,8,1.038104263628389,5.721372604370117,5.194309711456299,13.464478793575598,"[3.4288158514296505, 17.91802740405997]",2.636651637644121e+17,"[7.840079032071878e+16, 1.7823553362031765e+20]",2.7,6.426898002624512,8.790343284606934,13.376273062284472,"[0.8682517417845599, 0.9616917021843303]",5.19742556951657e+19,"[5.052285841915112e+19, 1.819880432239525e+21]"
9,9,0.8924946066871363,8.185954093933105,7.425683975219727,13.92500552521953,"[1.4887904377004801, 10.735928605970338]",8.936953602698753e+17,"[5.924125142854802e+17, 5.611038226831591e+20]",3.0,5.233510494232178,8.1714448928833,12.489701726294008,"[0.8625353402789404, 0.8782366446000633]",5.6154771957794636e+19,"[5.456956936289843e+19, 1.8519832036483835e+21]"
10,10,0.7755029203960523,9.087442398071287,9.072509765625,14.886175445635992,"[1.0569331861125857, 3.070198417764086]",1.2961879014203202e+19,"[1.2496657249983945e+19, 1.3391022806723668e+21]",3.3,2.89752459526062,6.538307189941406,10.485008697529768,"[0.7930269950173479, 0.8133586478438986]",4.197130282943046e+19,"[4.083321618473703e+19, 1.6869235053438367e+21]"
11,11,0.6800931044269458,9.014219284057615,8.245838165283203,14.70434098413553,"[1.406915436178993, 9.712502504846931]",1.75260809806984e+18,"[1.3991670642362424e+18, 7.139324788506583e+20]",3.6,2.884584903717041,6.566549777984619,10.498380928790656,"[0.7791670523662582, 0.8179047069766447]",4.520170527406165e+19,"[4.40383652306393e+19, 1.774656156061832e+21]"
12,12,0.6012656756185554,10.349794387817385,7.570204257965088,31.764787325875748,"[13.519709092937077, 19.008612081756052]",3.749725567155284e+17,"[5.547400731732186e+16, 1.0044421789692467e+17]",3.9,3.0371499061584473,6.320858955383301,10.405023310053993,"[0.7548767637448925, 0.8260026915706931]",4.474507008988733e+19,"[4.373480522341595e+19, 1.690593010972173e+21]"
13,13,0.535389238491009,10.219103813171388,7.134740352630615,35.35602150941074,"[13.24799841119069, 17.4842954072761]",3.548796209515999e+17,"[5.244112092784819e+16, 7.3730018185397e+16]",4.2,2.5922048091888428,5.969081401824951,10.001178754674058,"[0.7432744296554592, 0.8068262029379465]",3.806185519021576e+19,"[3.719530390655088e+19, 1.6447699659422903e+21]"
