,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,r_empkep_rs_fix_r.1,Tb7_empkep_rs_fix_r.1,Tb6_empkep_rs_fix_r.1,Texe_rs_empkep_fix_r.1,Texe_err_rs_empkep_fix_r.1,Ncol_rs_empkep_fix_r.1,Ncol_err_rs_empkep_fix_r.1,r_empkep_rs_fix_r.2,Tb7_empkep_rs_fix_r.2,Tb6_empkep_rs_fix_r.2,Texe_rs_empkep_fix_r.2,Texe_err_rs_empkep_fix_r.2,Ncol_rs_empkep_fix_r.2,Ncol_err_rs_empkep_fix_r.2,r_empkep_rs_fix_r.3,Tb7_empkep_rs_fix_r.3,Tb6_empkep_rs_fix_r.3,Texe_rs_empkep_fix_r.3,Texe_err_rs_empkep_fix_r.3,Ncol_rs_empkep_fix_r.3,Ncol_err_rs_empkep_fix_r.3,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0,0,0,0.3,7.083143711090088,6.244529724121094,21.893891779236093,"[10.364857601154394, 17.203098114408007]",4.014132959320586e+21,"[7.597359022508647e+20, 3.2781192921592585e+23]",0.3,7.083143711090088,6.244529724121094,21.893891779236093,"[10.364857601154394, 17.203098114408007]",4.014132959320586e+21,"[7.597359022508647e+20, 3.2781192921592585e+23]",0.3,4.794351577758789,2.033801555633545,46.61790962556477,"[17.693244818072458, 13.091878723393506]",1.4917606276395526e+21,"[3.581628055473995e+20, 4.3159017603441544e+20]",0.3,4.794351577758789,2.033801555633545,48.84380925411875,"[16.808270730950312, 11.333972900266112]",1.520418696405877e+21,"[3.284984563308652e+20, 3.869055867255094e+20]",0.3,4.794351577758789,2.033801555633545,48.84380925411875,"[16.808270730950312, 11.333972900266112]",1.520418696405877e+21,"[3.284984563308652e+20, 3.869055867255094e+20]"
1,1,1,1,0.6,9.025039672851562,9.263909339904783,15.27781554154849,"[1.2329004284627025, 7.607520858477686]",4.902913820089492e+22,"[4.327251528217728e+22, 1.6723964098164472e+24]",0.6,9.025039672851562,9.263909339904783,15.27781554154849,"[1.2329004284627025, 7.607520858477686]",4.902913820089492e+22,"[4.327251528217728e+22, 1.6723964098164472e+24]",0.6,10.349794387817385,7.570204257965088,39.36172698511726,"[13.14657541161393, 15.431417675032002]",4.988094364362245e+21,"[6.264924943158954e+20, 7.86423815235468e+20]",0.6,10.349794387817385,7.570204257965088,39.25453372971576,"[10.127830307018655, 12.383261252409639]",4.915844903439631e+21,"[4.237164058775037e+20, 5.883990372776757e+20]",0.6,10.349794387817383,7.570204257965088,39.25453372971576,"[10.127830307018655, 12.383261252409639]",4.915844903439631e+21,"[4.237164058775037e+20, 5.883990372776757e+20]"
2,2,2,2,0.9,6.387248992919922,4.731057643890381,37.59603728863476,"[15.838123253742495, 16.73509611332232]",2.889889700183128e+21,"[4.424518695424051e+20, 6.295822786943931e+20]",0.9,6.387248992919922,4.731057643890381,37.59603728863476,"[15.838123253742495, 16.73509611332232]",2.889889700183128e+21,"[4.424518695424051e+20, 6.295822786943931e+20]",0.9,8.185954093933105,7.425683975219727,20.307089347211804,"[7.495244389146588, 16.230653256388447]",5.025662525875591e+21,"[1.0416618727180662e+21, 4.631442972207904e+23]",0.9,8.185954093933105,7.425683975219727,21.57875621321072,"[8.96471377646243, 9.409566661529254]",4.664750939953898e+21,"[5.428343427699447e+20, 3.208385511722828e+23]",0.9,8.185954093933105,7.425683975219727,21.57875621321072,"[8.96471377646243, 9.409566661529254]",4.664750939953898e+21,"[5.428343427699447e+20, 3.208385511722828e+23]"
3,3,3,3,1.2,6.848659515380859,4.654444694519043,41.62720256439425,"[15.1912183325968, 15.062825117773173]",2.946293051753383e+21,"[4.58312807233879e+20, 5.715596261212527e+20]",1.2,6.848659515380859,4.654444694519043,41.62720256439425,"[15.1912183325968, 15.062825117773173]",2.946293051753383e+21,"[4.58312807233879e+20, 5.715596261212527e+20]",1.2,5.336268901824951,4.456201553344727,27.7920832565898,"[17.930535077069063, 20.259850089455007]",2.669103103539271e+21,"[4.7455709254609666e+20, 4.984490906926476e+22]",1.2,5.336268901824951,4.456201553344727,27.99145626883982,"[18.114844713342354, 18.504013488900128]",2.626434281155396e+21,"[3.842161931538014e+20, 2.002423781156523e+22]",1.2,5.336268901824951,4.456201553344727,27.99145626883982,"[18.114844713342354, 18.504013488900128]",2.6264342811553956e+21,"[3.842161931538014e+20, 2.002423781156523e+22]"
4,4,4,4,1.5,7.746789455413818,5.106610298156738,43.53849931785719,"[15.53932107468836, 13.75104747837328]",3.3471122802104777e+21,"[4.948884189502447e+20, 6.235368049973595e+20]",1.5,7.746789455413818,5.106610298156738,43.53849931785719,"[15.53932107468836, 13.75104747837328]",3.3471122802104777e+21,"[4.948884189502447e+20, 6.235368049973595e+20]",1.5,7.247902393341064,8.179085731506348,13.679500560970148,"[1.0754382174659582, 5.2717128275796235]",7.833470707189823e+22,"[7.31451114939508e+22, 2.0911977590527315e+24]",1.5,7.247902393341064,8.179085731506348,13.318413979789646,"[0.5845838435101651, 3.167065348410926]",1.020178707177052e+23,"[9.57707716704225e+22, 2.279418060328863e+24]",1.5,7.2479023933410645,8.179085731506348,13.318413979789646,"[0.5845838435101651, 3.167065348410926]",1.0201787071770521e+23,"[9.57707716704225e+22, 2.279418060328863e+24]"
5,5,5,5,1.8,9.568395614624023,7.256082057952881,36.27177858426101,"[14.180668630105117, 16.208699653477318]",4.662138835857294e+21,"[6.128592769908096e+20, 8.935024698612777e+20]",1.8,9.568395614624023,7.256082057952881,36.27177858426101,"[14.180668630105117, 16.208699653477318]",4.662138835857294e+21,"[6.128592769908096e+20, 8.935024698612777e+20]",1.8,9.06441593170166,9.79521942138672,15.508237790627238,"[1.147690263028359, 4.764357408143482]",7.384317636505403e+22,"[6.711841485780409e+22, 2.037964160708958e+24]",1.8,9.06441593170166,9.79521942138672,15.0793840448198,"[0.5933532979211371, 2.837391465622069]",1.0869269237286976e+23,"[1.0062058410474866e+23, 2.241115216931375e+24]",1.8,9.06441593170166,9.795219421386719,15.0793840448198,"[0.5933532979211371, 2.837391465622069]",1.0869269237286976e+23,"[1.0062058410474866e+23, 2.241115216931375e+24]"
6,6,6,6,2.1,10.299619674682615,8.81693172454834,25.6378692634773,"[10.767318211097418, 15.787031986967307]",5.903899410283882e+21,"[9.400537587545916e+20, 1.7590142329107124e+23]",2.1,10.299619674682615,8.81693172454834,25.6378692634773,"[10.767318211097418, 15.787031986967307]",5.903899410283882e+21,"[9.400537587545916e+20, 1.7590142329107124e+23]",2.1,11.17001724243164,9.781512260437012,22.51327654377977,"[6.972512537320759, 15.641880107328824]",7.22042358494758e+21,"[1.5002853479408541e+21, 5.612922979724744e+23]",2.1,11.17001724243164,9.781512260437012,26.93843775241185,"[6.353165114368174, 6.757657560145418]",6.288767055665367e+21,"[4.484015461972805e+20, 9.84391008523971e+20]",2.1,11.17001724243164,9.781512260437012,26.93843775241185,"[6.353165114368174, 6.757657560145418]",6.288767055665367e+21,"[4.484015461972805e+20, 9.84391008523971e+20]"
7,7,7,7,2.4,8.950225830078125,9.482054710388184,15.31017437788326,"[1.192061332684009, 6.187225123724408]",6.6808180078573626e+22,"[6.069370948112343e+22, 2.0151512177125334e+24]",2.4,8.950225830078125,9.482054710388184,15.31017437788326,"[1.192061332684009, 6.187225123724408]",6.6808180078573626e+22,"[6.069370948112343e+22, 2.0151512177125334e+24]",2.4,10.415026664733888,9.770057678222656,17.328687239362676,"[2.2493610750810458, 13.984258115148304]",1.13223321239525e+22,"[5.60804918857018e+21, 1.0427544866628665e+24]",2.4,10.415026664733888,9.770057678222656,21.46521046689068,"[6.348274533534539, 6.580448066830417]",6.803928672739945e+21,"[8.936172537812468e+20, 2.9444564309544076e+23]",2.4,10.415026664733887,9.770057678222656,21.46521046689068,"[6.348274533534539, 6.580448066830417]",6.803928672739945e+21,"[8.936172537812468e+20, 2.9444564309544076e+23]"
8,8,8,8,2.7,2.666654348373413,6.770061492919922,10.738268869648934,"[0.8625461870579194, 1.3337801568274763]",8.36295440948255e+22,"[7.777878199549895e+22, 2.045487540501497e+24]",2.7,2.666654348373413,6.770061492919922,10.738268869648934,"[0.8625461870579194, 1.3337801568274763]",8.36295440948255e+22,"[7.777878199549895e+22, 2.045487540501497e+24]",2.7,6.426898002624512,8.790343284606934,13.569881527496866,"[0.9706186853540739, 1.468076737346962]",1.311370665301502e+23,"[1.2207115444519191e+23, 2.461022243246156e+24]",2.7,6.426898002624512,8.790343284606934,13.60655100869804,"[0.5163165163941219, 0.7148430151956031]",1.8451896368273605e+23,"[1.7185509644273495e+23, 2.643292620721137e+24]",2.7,6.426898002624512,8.790343284606934,13.606551008698041,"[0.5163165163941219, 0.7148430151956031]",1.8451896368273605e+23,"[1.7185509644273495e+23, 2.643292620721137e+24]"
9,9,9,9,3.0,2.733532190322876,6.60666561126709,10.68106225165647,"[0.8751387657165353, 1.3287667861306822]",8.356155330025442e+22,"[7.767311374635541e+22, 2.0813899052189934e+24]",3.0,2.733532190322876,6.60666561126709,10.68106225165647,"[0.8751387657165353, 1.3287667861306822]",8.356155330025442e+22,"[7.767311374635541e+22, 2.0813899052189934e+24]",3.0,5.233510494232178,8.1714448928833,12.626600733075495,"[0.8828197315788273, 1.2276211670262267]",1.411143784196972e+23,"[1.317223897401338e+23, 2.463901873701509e+24]",3.0,5.233510494232178,8.1714448928833,12.834412946300382,"[0.5254381645659052, 0.6998790530070309]",1.7932226695668514e+23,"[1.6697878598885105e+23, 2.539656189651273e+24]",3.0,5.233510494232178,8.1714448928833,12.834412946300382,"[0.5254381645659052, 0.6998790530070309]",1.7932226695668514e+23,"[1.6697878598885105e+23, 2.539656189651273e+24]"
